node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
MLP27,27,1.0,1.0,0.7991147656450098,0.7991147656450098
L5H5,5,1.0,1.0,0.03840017501920943,0.03840017501920943
L21H12,21,1.0,1.0,1.061833006061641,1.061833006061641
L23H6,23,1.0,1.0,0.9526380944249979,0.9526380944249979
L21H1,21,1.0,1.0,1.3145009818150772,1.3145009818150772
L24H6,24,1.0,1.0,0.6700354307180056,0.6700354307180056
MLP16,16,1.0,1.0,0.9268094211559805,0.9268094211559805
L16H8,16,0.5637391725936897,0.5,0.7601809954751131,0.7601809954751131
L11H5,11,0.5637391725936897,0.5,0.34615384615384615,0.34615384615384615
L12H0,12,0.5637391725936897,0.5,0.19117647058823528,0.19117647058823528
L2H14,2,0.5637391725936897,0.5,0.07748868778280543,0.07748868778280543
MLP10,10,0.5637391725936897,0.5,0.45248868778280543,0.45248868778280543
MLP17,17,0.5637391725936897,0.5,0.9462669683257918,0.9462669683257918
MLP6,6,0.5637391725936897,0.5,0.3257918552036199,0.3257918552036199
L18H14,18,0.5637391725936897,0.5,0.751131221719457,0.751131221719457
MLP18,18,0.5637391725936897,0.5,0.8506787330316742,0.8506787330316742
MLP13,13,0.43626082740631034,0.5,0.6132075471698113,0.6132075471698113
L20H5,20,0.43626082740631034,0.5,0.5188679245283019,0.5188679245283019
L16H9,16,0.43626082740631034,0.5,0.4410377358490566,0.4410377358490566
MLP21,21,0.43626082740631034,0.5,0.7570754716981132,0.7570754716981132
L12H6,12,0.43626082740631034,0.5,0.16863207547169812,0.16863207547169812
MLP1,1,0.43626082740631034,0.5,0.2830188679245283,0.2830188679245283
L13H9,13,0.43626082740631034,0.5,0.23231132075471697,0.23231132075471697
L4H4,4,0.43626082740631034,0.5,0.03744103773584906,0.03744103773584906
MLP19,19,0.43626082740631034,0.5,0.7877358490566038,0.7877358490566038
