group,set,n_points,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool
forward_only_core_heads,contrast,6,0.004189809144008905,0.005908925668336451,0.0017191165243275464
forward_only_core_heads,prefix_16,6,0.13690762966871262,0.15915977209806442,0.022252142429351807
forward_only_core_heads,recent_32,6,0.11264664679765701,0.11496571823954582,0.002319071441888809
forward_only_core_heads,tool_call_tags,6,0.004444519057869911,0.00423719547688961,-0.0002073235809803009
forward_only_core_heads,tools_block,6,0.14687927067279816,0.15081119537353516,0.0039319247007369995
forward_only_core_heads,user_block,6,0.2831411808729172,0.3114723712205887,0.02833119034767151
forward_selective_heads,contrast,12,0.004710709443315864,0.0041830065893009305,-0.0005277028540149331
forward_selective_heads,prefix_16,12,0.1653907224535942,0.1746504306793213,0.009259708225727081
forward_selective_heads,recent_32,12,0.17409425973892212,0.18779797106981277,0.013703711330890656
forward_selective_heads,tool_call_tags,12,0.002747268183156848,0.0027219154872000217,-2.535269595682621e-05
forward_selective_heads,tools_block,12,0.09077854827046394,0.09438058733940125,0.0036020390689373016
forward_selective_heads,user_block,12,0.1615520790219307,0.18509981036186218,0.023547731339931488
reverse_only_core_heads,contrast,6,0.005337718641385436,0.0032576058292761445,-0.0020801128121092916
reverse_only_core_heads,prefix_16,6,0.22294499725103378,0.28647391498088837,0.06352891772985458
reverse_only_core_heads,recent_32,6,0.11319885402917862,0.10894636809825897,-0.004252485930919647
reverse_only_core_heads,tool_call_tags,6,0.013370450120419264,0.010041661560535431,-0.003328788559883833
reverse_only_core_heads,tools_block,6,0.067193903028965,0.042211273685097694,-0.024982629343867302
reverse_only_core_heads,user_block,6,0.17725499719381332,0.1599201336503029,-0.017334863543510437
reverse_selective_heads,contrast,14,0.0055294642224907875,0.003696096478961408,-0.0018333677435293794
reverse_selective_heads,prefix_16,14,0.1954740509390831,0.22793646901845932,0.03246241807937622
reverse_selective_heads,recent_32,14,0.16696325689554214,0.1834574192762375,0.016494162380695343
reverse_selective_heads,tool_call_tags,14,0.0023536168737336993,0.00207929196767509,-0.0002743249060586095
reverse_selective_heads,tools_block,14,0.067193903028965,0.042211273685097694,-0.024982629343867302
reverse_selective_heads,user_block,14,0.25470880419015884,0.2405376136302948,-0.014171190559864044
shared_core_heads,contrast,14,0.002205683500505984,0.0027786247665062547,0.0005729412660002708
shared_core_heads,prefix_16,14,0.20625880360603333,0.2660861760377884,0.059827372431755066
shared_core_heads,recent_32,14,0.132929477840662,0.12340986728668213,-0.009519610553979874
shared_core_heads,tool_call_tags,14,0.002043509215582162,0.002019314677454531,-2.419453812763095e-05
shared_core_heads,tools_block,14,0.014884574804455042,0.023005974479019642,0.0081213996745646
shared_core_heads,user_block,14,0.06268284283578396,0.048192085698246956,-0.014490757137537003
