node,group,group_label,semantic_hint,n_samples,promote_nec_drop_median,suppress_nec_drop_median,promote_nec_top1_drop_mean,suppress_nec_top1_drop_mean,promote_suff_ratio_median,suppress_suff_ratio_median,promote_suff_top1_rate,suppress_suff_top1_rate
MLP27,symmetric_backbone,Symmetric Backbone,shared writer MLP,2,0.00017257230568634707,-0.0021851938296778006,0.0,0.0,0.7714025014940664,0.6493971977842945,0.0,0.0
L16H4,no_tool_tail,No-Tool Tail,no-tool-tail router,2,-8.200703499350315e-05,-0.0015050764385284299,0.0,0.0,0.2315269358832067,0.1121700879765396,0.0,0.0
MLP19,symmetric_backbone,Symmetric Backbone,shared writer MLP,2,5.086740685766866e-05,-0.0014386915080746854,0.0,0.0,0.6819879620934004,0.3024600847181492,0.0,0.0
L17H8,no_tool_tail,No-Tool Tail,no-tool-tail router,2,-8.58308513168593e-05,-0.0008913837531056568,0.0,0.0,0.22218902074617947,0.1169762137504073,0.0,0.0
MLP16,symmetric_backbone,Symmetric Backbone,shared writer MLP,2,0.00016208473791146094,-0.0007752200686298449,0.0,0.0,0.8737620592504055,0.5809404529162594,0.5,0.5
MLP13,symmetric_backbone,Symmetric Backbone,shared writer MLP,2,5.667494392291861e-06,-0.0008923980225643557,0.0,0.0,0.10847989413472212,0.016617790811339198,0.0,0.0
L17H12,no_tool_tail,No-Tool Tail,no-tool-tail router,2,-8.557388929664178e-05,-0.0007539999605429282,0.0,0.0,0.33261120122940324,0.13620071684587814,0.0,0.0
L13H9,symmetric_backbone,Symmetric Backbone,shared router,2,-9.121337515438643e-05,-0.0007292796284417147,0.0,0.0,0.1589366515837104,0.04292929292929293,0.0,0.0
L2H14,tool_tail,Tool Tail,tool-tail router,2,-8.86219343499417e-05,-0.0007227167084148389,0.0,0.0,0.15394220097327754,-0.010101010101010102,0.0,0.0
L23H6,symmetric_backbone,Symmetric Backbone,format/prefix router,2,-8.917526574703238e-05,-0.0007200915404040886,0.0,0.0,0.6671967045163494,0.26392961876832843,0.0,0.0
L12H6,tool_tail,Tool Tail,tool-tail router,2,-1.575382362611899e-05,-0.0007456471532359954,0.0,0.0,0.1188423119610689,-0.03543499511241447,0.0,0.0
MLP21,tool_tail,Tool Tail,tool-tail writer MLP,2,1.4073311554896328e-05,-0.0006613633499816807,0.0,0.0,0.6044512507470332,0.1264255457803845,0.0,0.0
MLP1,tool_tail,Tool Tail,tool-tail writer MLP,2,-8.692969777579496e-05,-0.0004596828287919408,0.0,0.0,0.1740053786391189,0.03413163897034865,0.0,0.0
L5H5,tool_tail,Tool Tail,tool-tail router,2,-8.35377339730714e-05,-0.00042748474538734094,0.0,0.0,0.15235208742422948,-0.02891821440208537,0.0,0.0
MLP17,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased writer MLP,2,0.0001899675597076267,0.00021349377723811624,0.0,0.0,0.7107273969094169,0.4992261322906484,0.5,0.0
L18H14,symmetric_backbone,Symmetric Backbone,shared router,2,-8.235535043149556e-05,0.0002989111757698004,0.0,0.0,0.4654977375565611,0.19338546757901595,0.0,0.0
L24H6,symmetric_backbone,Symmetric Backbone,format/prefix router,2,4.154382166887682e-06,0.000290777132463782,0.0,0.0,0.56267075044822,0.3293418051482567,0.0,0.0
L15H5,no_tool_tail,No-Tool Tail,no-tool-tail router,2,-9.053172558748379e-05,-0.00016079154065856693,0.0,0.0,0.030820455903696753,0.1229227761485826,0.0,0.0
MLP10,symmetric_backbone,Symmetric Backbone,shared writer MLP,2,2.1037991912220555e-05,0.0001535723286290036,0.0,0.0,0.22446213608810722,0.04887585532746823,0.0,0.0
L21H12,tool_bias_backbone,Tool-Bias Backbone,format/prefix router,2,-8.948433666861044e-05,8.090290505863296e-05,0.0,0.0,0.6518558439340904,0.17253176930596287,0.0,0.0
L16H8,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,2,-8.583671356826583e-05,-7.161537883876301e-05,0.0,0.0,0.43069666182873734,0.21766047572499186,0.0,0.0
MLP18,symmetric_backbone,Symmetric Backbone,shared writer MLP,2,1.2848101009932389e-05,-0.00014086412894059874,0.0,0.0,0.5349824980790574,0.2824617139133268,0.0,0.0
MLP6,tool_tail,Tool Tail,tool-tail writer MLP,2,-8.428093717982588e-05,-5.184706821231844e-05,0.0,0.0,-0.05164133868351405,0.0024437927663734094,0.0,0.0
L21H1,symmetric_backbone,Symmetric Backbone,format/prefix router,2,-7.093063663232702e-05,6.377965007942077e-05,0.0,0.0,0.7355182276103475,0.26392961876832843,0.0,0.0
L4H4,tool_tail,Tool Tail,tool-tail router,2,-7.448413802951803e-05,-6.019987551930672e-05,0.0,0.0,0.08346495347050287,-0.01881720430107527,0.0,0.0
L12H0,no_tool_bias_backbone,No-Tool-Bias Backbone,no-tool-biased router,2,-7.195001701665316e-05,-4.496594600233994e-05,0.0,0.0,0.15471057799026722,0.015314434669273378,0.0,0.0
MLP4,no_tool_tail,No-Tool Tail,no-tool-tail writer MLP,2,-8.362729614741493e-05,-2.957291539384954e-05,0.0,0.0,0.13323870912661145,0.0314434669273379,0.0,0.0
MLP5,no_tool_tail,No-Tool Tail,no-tool-tail writer MLP,2,-8.732637678798838e-05,1.1465222410578235e-05,0.0,0.0,0.1173162298301033,0.03901922450309547,0.0,0.0
L16H9,tool_tail,Tool Tail,tool-tail router,2,-8.017508142743601e-05,-1.5870333883172272e-05,0.0,0.0,0.1710599334073252,0.06810035842293907,0.0,0.0
L20H14,no_tool_tail,No-Tool Tail,format/prefix router,2,-8.230014756405168e-05,-1.0232188951020404e-05,0.0,0.0,0.2674912490395287,0.22234441186054088,0.0,0.0
L11H5,symmetric_backbone,Symmetric Backbone,shared router,2,3.085172645550527e-05,-4.924178783805022e-05,0.0,0.0,0.07958038077349952,0.03372434017595308,0.0,0.0
