node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
L23H6,23,1.0,1.0,0.20170454545454547,0.20170454545454547
L21H1,21,1.0,1.0,0.14853168784620396,0.14853168784620396
MLP17,17,1.0,1.0,0.5308528836754642,0.5308528836754642
L16H8,16,1.0,1.0,0.26239206581948515,0.26239206581948515
L12H0,12,1.0,1.0,0.08352170902574128,0.08352170902574128
MLP16,16,1.0,1.0,0.5648419680677745,0.5648419680677745
MLP27,27,1.0,1.0,0.6576857282502444,0.6576857282502444
L24H6,24,1.0,1.0,0.2524437927663734,0.2524437927663734
MLP5,5,0.519801535236432,0.5,0.043010752688172046,0.043010752688172046
MLP18,18,0.519801535236432,0.5,0.3951612903225806,0.3951612903225806
L20H14,20,0.519801535236432,0.5,0.23655913978494625,0.23655913978494625
L15H5,15,0.519801535236432,0.5,0.2768817204301075,0.2768817204301075
MLP10,10,0.519801535236432,0.5,0.11827956989247312,0.11827956989247312
L18H14,18,0.519801535236432,0.5,0.28763440860215056,0.28763440860215056
L11H5,11,0.519801535236432,0.5,0.1774193548387097,0.1774193548387097
L17H8,17,0.519801535236432,0.5,0.1814516129032258,0.1814516129032258
L20H5,20,0.48019846476356787,0.5,0.09406565656565656,0.09406565656565656
MLP13,13,0.48019846476356787,0.5,0.12626262626262627,0.12626262626262627
L17H12,17,0.48019846476356787,0.5,0.0946969696969697,0.0946969696969697
MLP19,19,0.48019846476356787,0.5,0.23232323232323232,0.23232323232323232
L21H12,21,0.48019846476356787,0.5,0.14962121212121213,0.14962121212121213
MLP4,4,0.48019846476356787,0.5,0.04040404040404041,0.04040404040404041
L13H9,13,0.48019846476356787,0.5,0.07828282828282829,0.07828282828282829
L16H4,16,0.48019846476356787,0.5,0.09595959595959595,0.09595959595959595
