role,head,variant,set,n_samples,mass_median
no_tool_reader,L16H4,clean_full,tools_block,8,0.023891586810350418
no_tool_reader,L16H4,clean_full,tool_call_tags,8,0.00014364824892254546
no_tool_reader,L16H4,clean_full,user_block,8,0.4275001883506775
no_tool_reader,L16H4,clean_full,prefix_16,8,0.11686839163303375
no_tool_reader,L16H4,clean_no_protocol,tools_block,8,0.013662040699273348
no_tool_reader,L16H4,clean_no_protocol,tool_call_tags,8,2.024199056904763e-05
no_tool_reader,L16H4,clean_no_protocol,user_block,8,0.4660339057445526
no_tool_reader,L16H4,clean_no_protocol,prefix_16,8,0.07093998044729233
no_tool_reader,L16H4,clean_no_schema,tools_block,8,0.006584351882338524
no_tool_reader,L16H4,clean_no_schema,tool_call_tags,8,0.0001755415796651505
no_tool_reader,L16H4,clean_no_schema,user_block,8,0.3766293227672577
no_tool_reader,L16H4,clean_no_schema,prefix_16,8,0.1041613258421421
no_tool_reader,L16H4,clean_schema_mismatch,tools_block,8,0.01854330115020275
no_tool_reader,L16H4,clean_schema_mismatch,tool_call_tags,8,0.00011818996790680103
no_tool_reader,L16H4,clean_schema_mismatch,user_block,8,0.4889735281467438
no_tool_reader,L16H4,clean_schema_mismatch,prefix_16,8,0.11728836968541145
no_tool_reader,L16H4,corrupt_full,tools_block,8,0.02051957044750452
no_tool_reader,L16H4,corrupt_full,tool_call_tags,8,0.00014103163266554475
no_tool_reader,L16H4,corrupt_full,user_block,8,0.5101878792047501
no_tool_reader,L16H4,corrupt_full,prefix_16,8,0.11071642860770226
query_reader,L2H14,clean_full,tools_block,8,0.13978346437215805
query_reader,L2H14,clean_full,tool_call_tags,8,0.0033919040579348803
query_reader,L2H14,clean_full,user_block,8,0.32257573306560516
query_reader,L2H14,clean_full,prefix_16,8,0.1387636587023735
query_reader,L2H14,clean_no_protocol,tools_block,8,0.14233005791902542
query_reader,L2H14,clean_no_protocol,tool_call_tags,8,0.0030906518222764134
query_reader,L2H14,clean_no_protocol,user_block,8,0.30851049721241
query_reader,L2H14,clean_no_protocol,prefix_16,8,0.14091945439577103
query_reader,L2H14,clean_no_schema,tools_block,8,0.043585555627942085
query_reader,L2H14,clean_no_schema,tool_call_tags,8,0.004028157563880086
query_reader,L2H14,clean_no_schema,user_block,8,0.3518161028623581
query_reader,L2H14,clean_no_schema,prefix_16,8,0.15444746613502502
query_reader,L2H14,clean_schema_mismatch,tools_block,8,0.14306604117155075
query_reader,L2H14,clean_schema_mismatch,tool_call_tags,8,0.0033460857812315226
query_reader,L2H14,clean_schema_mismatch,user_block,8,0.32194438576698303
query_reader,L2H14,clean_schema_mismatch,prefix_16,8,0.13910672068595886
query_reader,L2H14,corrupt_full,tools_block,8,0.12808184325695038
query_reader,L2H14,corrupt_full,tool_call_tags,8,0.0032815427985042334
query_reader,L2H14,corrupt_full,user_block,8,0.3769820034503937
query_reader,L2H14,corrupt_full,prefix_16,8,0.12909773737192154
schema_reader,L21H12,clean_full,tools_block,8,0.21837513893842697
schema_reader,L21H12,clean_full,tool_call_tags,8,0.015053353738039732
schema_reader,L21H12,clean_full,user_block,8,0.02902151085436344
schema_reader,L21H12,clean_full,prefix_16,8,0.06625719368457794
schema_reader,L21H12,clean_no_protocol,tools_block,8,0.2290007546544075
schema_reader,L21H12,clean_no_protocol,tool_call_tags,8,0.031056344509124756
schema_reader,L21H12,clean_no_protocol,user_block,8,0.1538173332810402
schema_reader,L21H12,clean_no_protocol,prefix_16,8,0.1721946895122528
schema_reader,L21H12,clean_no_schema,tools_block,8,0.24564145505428314
schema_reader,L21H12,clean_no_schema,tool_call_tags,8,0.008717739023268223
schema_reader,L21H12,clean_no_schema,user_block,8,0.09830011054873466
schema_reader,L21H12,clean_no_schema,prefix_16,8,0.20178644359111786
schema_reader,L21H12,clean_schema_mismatch,tools_block,8,0.3513137102127075
schema_reader,L21H12,clean_schema_mismatch,tool_call_tags,8,0.01571666356176138
schema_reader,L21H12,clean_schema_mismatch,user_block,8,0.1501307189464569
schema_reader,L21H12,clean_schema_mismatch,prefix_16,8,0.17709728330373764
schema_reader,L21H12,corrupt_full,tools_block,8,0.2967774122953415
schema_reader,L21H12,corrupt_full,tool_call_tags,8,0.01040447736158967
schema_reader,L21H12,corrupt_full,user_block,8,0.1238456442952156
schema_reader,L21H12,corrupt_full,prefix_16,8,0.18601960688829422
