sample_id,variant,tool_endpoint_score,no_tool_endpoint_score,tool_top1_id,tool_top1_is_tool_call,tool_boundary_flip
apps_python_1,clean_full,0.0,-2.90625,151657,True,True
apps_python_1,corrupt_full,-3.453125,0.0,40,False,False
apps_python_1,clean_no_schema,-0.453125,-0.70703125,151657,True,True
apps_python_1,clean_schema_mismatch,-4.21875,-0.038330078125,40,False,False
apps_python_1,clean_no_protocol,-10.9375,-0.275390625,40,False,False
codecontests_cpp_1,clean_full,0.0,-6.1875,151657,True,True
codecontests_cpp_1,corrupt_full,-6.625,0.0,40,False,False
codecontests_cpp_1,clean_no_schema,-2.390625,-0.140625,40,False,False
codecontests_cpp_1,clean_schema_mismatch,-7.0625,-0.072265625,40,False,False
codecontests_cpp_1,clean_no_protocol,-14.25,-0.1552734375,40,False,False
codecontests_java_1,clean_full,0.0,-6.875,151657,True,True
codecontests_java_1,corrupt_full,-12.6875,0.0,40,False,False
codecontests_java_1,clean_no_schema,-10.25,-0.099609375,40,False,False
codecontests_java_1,clean_schema_mismatch,-13.375,-0.60546875,40,False,False
codecontests_java_1,clean_no_protocol,-10.1875,-0.33984375,40,False,False
mbpp_python_1,clean_full,0.0,-2.171875,151657,True,True
mbpp_python_1,corrupt_full,-3.1875,0.0,40,False,False
mbpp_python_1,clean_no_schema,-0.083984375,-1.296875,151657,True,True
mbpp_python_1,clean_schema_mismatch,-4.5625,-0.0791015625,40,False,False
mbpp_python_1,clean_no_protocol,-17.25,-0.58984375,40,False,False
codecontests_java_2,clean_full,0.0,-4.4375,151657,True,True
codecontests_java_2,corrupt_full,-6.75,0.0,40,False,False
codecontests_java_2,clean_no_schema,-4.5625,-0.2236328125,40,False,False
codecontests_java_2,clean_schema_mismatch,-2.359375,-0.166015625,40,False,False
codecontests_java_2,clean_no_protocol,-20.875,-0.1162109375,40,False,False
codecontests_cpp_3,clean_full,0.0,-3.03125,151657,True,True
codecontests_cpp_3,corrupt_full,-3.8125,0.0,40,False,False
codecontests_cpp_3,clean_no_schema,-5.78125,-0.05126953125,40,False,False
codecontests_cpp_3,clean_schema_mismatch,-7.6875,-0.1015625,40,False,False
codecontests_cpp_3,clean_no_protocol,-15.25,-0.32421875,40,False,False
codecontests_java_3,clean_full,0.0,-6.5625,151657,True,True
codecontests_java_3,corrupt_full,-9.25,0.0,40,False,False
codecontests_java_3,clean_no_schema,-11.75,-0.2138671875,40,False,False
codecontests_java_3,clean_schema_mismatch,-1.9609375,-0.4609375,40,False,False
codecontests_java_3,clean_no_protocol,-7.65625,-0.349609375,40,False,False
apps_python_4,clean_full,0.0,-4.875,151657,True,True
apps_python_4,corrupt_full,-4.15625,0.0,40,False,False
apps_python_4,clean_no_schema,-0.0234375,-3.578125,151657,True,True
apps_python_4,clean_schema_mismatch,-5.09375,-0.7421875,8420,False,False
apps_python_4,clean_no_protocol,-16.0,-1.1640625,8420,False,False
