edge,n_samples,source_ratio_median,blocked_ratio_median,edge_ratio_median,edge_ratio_mean,edge_ratio_ci_lo,edge_ratio_ci_hi,positive_frac
L24H6->MLP27,1071,0.3684210526315789,0.1746031746031746,0.196078431372549,0.19377053013201004,0.19217081850533807,0.19999999999999998,1.0
MLP16->MLP17,1071,0.33584905660377357,0.19047619047619047,0.1506849315068493,0.15988672573522983,0.1428571428571429,0.15999999999999992,0.9551820728291317
L23H6->L24H6,1071,0.32926829268292684,0.17647058823529413,0.1553398058252427,0.1572899941591564,0.15384615384615383,0.15841584158415845,1.0
L21H1->L23H6,1071,0.34210526315789475,0.2696245733788396,0.06611570247933884,0.06577372123139472,0.06410256410256415,0.06779661016949157,0.9906629318394025
L24H6->Residual Output: <tool_call>,1071,0.3684210526315789,0.0,0.3684210526315789,0.37181833396047953,0.36363636363636365,0.375,1.0
L23H6->Residual Output: <tool_call>,1071,0.32926829268292684,0.0,0.32926829268292684,0.33715613121738447,0.3269230769230769,0.3333333333333333,1.0
L21H12->L23H6,1071,0.46601941747572817,0.375,0.09411764705882347,0.0937971615328605,0.09230769230769231,0.09523809523809523,1.0
MLP27->Residual Output: <tool_call>,1071,0.5512820512820513,0.0,0.5512820512820513,0.544910473002994,0.5454545454545454,0.5571428571428572,1.0
MLP17->L21H1,1071,0.3559322033898305,0.32,0.03749999999999998,0.039181597007318276,0.03448275862068961,0.04081632653061218,0.7880485527544351
MLP17->L21H12,1071,0.3559322033898305,0.27184466019417475,0.07407407407407407,0.07552688243266793,0.06976744186046513,0.07999999999999996,0.8944911297852475
MLP16->MLP19,1071,0.33584905660377357,0.24242424242424243,0.10091743119266056,0.09937564073147255,0.0975609756097561,0.10416666666666663,0.9757236227824463
L21H12->MLP27,1071,0.46601941747572817,0.23214285714285715,0.23529411764705882,0.23110292022771478,0.23157894736842108,0.2380952380952381,1.0
L21H1->MLP27,1071,0.34210526315789475,0.15789473684210525,0.17763157894736845,0.17144577651291312,0.17301038062283738,0.18333333333333332,0.9953314659197012
MLP19->L21H12,1071,0.3333333333333333,0.27800829875518673,0.060240963855421714,0.05083408321737154,0.057142857142857134,0.06382978723404253,0.8160597572362278
MLP19->L21H1,1071,0.3333333333333333,0.2777777777777778,0.05172413793103453,0.05459099212828795,0.047619047619047616,0.05555555555555558,0.9056956115779645
L21H12->L24H6,1071,0.46601941747572817,0.3157894736842105,0.15476190476190477,0.1526708022920481,0.15151515151515155,0.1585365853658537,0.9971988795518207
MLP17->MLP19,1071,0.3559322033898305,0.25842696629213485,0.10480349344978165,0.10224206376058283,0.10000000000000003,0.10952380952380955,0.9169000933706816
MLP16->L17H8,1071,0.33584905660377357,0.3116883116883117,0.022988505747126436,0.024589632941991534,0.02040816326530609,0.02631578947368421,0.6451914098972923
Input Embed->MLP11,1071,1.0,0.920863309352518,0.07913669064748197,0.07521223755564169,0.07199999999999995,0.08333333333333337,0.7675070028011205
MLP11->MLP16,1071,0.24324324324324326,0.06306306306306306,0.1818181818181818,0.17509454697992832,0.17333333333333334,0.18705035971223022,0.938375350140056
L17H8->MLP19,1071,0.19298245614035087,0.1509433962264151,0.044117647058823525,0.04326458872254561,0.04166666666666666,0.04545454545454547,0.8748832866479925
