sample_id,sample_rank,q_index,cluster_id,cluster_size,weight
apps_python_1,1,,0,58,1.0
apps_python_8,18,,0,58,1.0
humaneval_python_11,25,,0,58,0.8534971644612477
mbpp_python_17,42,,0,58,1.0
apps_python_22,51,,0,58,1.0
apps_python_23,54,,0,58,1.0
mbpp_python_42,103,,0,58,1.0
humaneval_python_44,110,,0,58,1.0
apps_python_51,128,,0,58,1.0
apps_python_58,144,,0,58,1.0
apps_python_59,146,,0,58,1.0
humaneval_python_60,149,,0,58,1.0
humaneval_python_78,188,,0,58,1.0
apps_python_82,199,,0,58,0.8889601025476687
codecontests_cpp_87,214,,0,58,0.9838709677419355
apps_python_97,239,,0,58,1.0
apps_python_98,241,,0,58,0.9714285714285714
humaneval_python_100,250,,0,58,1.0
mbpp_python_103,255,,0,58,1.0
apps_python_108,264,,0,58,1.0
codecontests_cpp_108,265,,0,58,0.9827586206896551
humaneval_python_109,271,,0,58,0.9841269841269841
mbpp_python_115,290,,0,58,0.9521331945889698
mbpp_python_117,298,,0,58,0.9795918367346939
apps_python_120,304,,0,58,0.9830508474576272
apps_python_123,312,,0,58,1.0
apps_python_125,319,,0,58,1.0
mbpp_python_130,336,,0,58,1.0
apps_python_135,350,,0,58,1.0
apps_python_142,370,,0,58,1.0
humaneval_python_145,381,,0,58,0.9722222222222222
humaneval_python_148,390,,0,58,1.0
humaneval_python_149,394,,0,58,1.0
humaneval_python_154,404,,0,58,1.0
humaneval_python_161,415,,0,58,1.0
mbpp_python_165,422,,0,58,1.0
mbpp_python_177,443,,0,58,1.0
mbpp_python_185,455,,0,58,1.0
mbpp_python_204,491,,0,58,1.0
mbpp_python_235,542,,0,58,1.0
mbpp_python_273,602,,0,58,1.0
mbpp_python_281,617,,0,58,0.8971991381963681
mbpp_python_302,655,,0,58,0.929705215419501
mbpp_python_308,665,,0,58,0.9807692307692307
mbpp_python_321,688,,0,58,1.0
mbpp_python_325,695,,0,58,1.0
mbpp_python_327,700,,0,58,1.0
codecontests_java_330,706,,0,58,0.9754610577655844
mbpp_python_335,716,,0,58,0.9622641509433962
mbpp_python_406,829,,0,58,1.0
codecontests_cpp_432,876,,0,58,1.0
codecontests_cpp_490,963,,0,58,0.9394082840236686
codecontests_java_522,1011,,0,58,0.8634215500945179
