sample_id,sample_rank,forward_node_count,reverse_node_count,shared_node_count,union_node_count,node_jaccard,forward_target,reverse_target
apps_python_1,1,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_1,2,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_java_1,3,16,16,11,21,0.5238095238095238,<tool_call>,I
mbpp_python_1,4,16,16,12,20,0.6,<tool_call>,I
codecontests_java_2,5,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_3,6,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_java_3,7,16,16,8,24,0.3333333333333333,<tool_call>,I
apps_python_4,8,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_4,9,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_4,10,16,16,11,21,0.5238095238095238,<tool_call>,I
mbpp_python_4,11,16,14,8,22,0.36363636363636365,<tool_call>,I
apps_python_5,12,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_cpp_5,13,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_java_5,14,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_6,15,16,16,12,20,0.6,<tool_call>,I
codecontests_java_6,16,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_java_7,17,16,16,11,21,0.5238095238095238,<tool_call>,I
apps_python_8,18,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_9,19,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_9,20,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_9,21,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_10,22,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_11,23,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_11,24,16,16,7,25,0.28,<tool_call>,I
humaneval_python_11,25,16,16,11,21,0.5238095238095238,<tool_call>,I
mbpp_python_11,26,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_12,27,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_12,28,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_13,29,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_13,30,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_14,31,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_14,32,16,16,13,19,0.6842105263157895,<tool_call>,The
codecontests_java_14,33,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_15,34,16,16,12,20,0.6,<tool_call>,I
codecontests_java_15,35,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_16,36,16,16,9,23,0.391304347826087,<tool_call>,I
codecontests_cpp_16,37,16,16,12,20,0.6,<tool_call>,I
codecontests_java_16,38,16,16,12,20,0.6,<tool_call>,I
apps_python_17,39,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_17,40,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_17,41,16,16,12,20,0.6,<tool_call>,I
mbpp_python_17,42,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_18,43,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_18,44,16,16,12,20,0.6,<tool_call>,I
humaneval_python_18,45,16,16,12,20,0.6,<tool_call>,I
codecontests_java_19,46,16,16,11,21,0.5238095238095238,<tool_call>,I
apps_python_20,47,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_20,48,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_20,49,16,16,9,23,0.391304347826087,<tool_call>,I
humaneval_python_21,50,16,16,12,20,0.6,<tool_call>,I
apps_python_22,51,16,16,13,19,0.6842105263157895,<tool_call>,I
codecontests_cpp_22,52,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_22,53,16,16,10,22,0.45454545454545453,<tool_call>,I
apps_python_23,54,16,16,12,20,0.6,<tool_call>,I
codecontests_cpp_23,55,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_23,56,16,16,10,22,0.45454545454545453,<tool_call>,I
codecontests_cpp_24,57,16,16,12,20,0.6,<tool_call>,I
codecontests_java_24,58,16,16,9,23,0.391304347826087,<tool_call>,I
apps_python_25,59,16,16,11,21,0.5238095238095238,<tool_call>,I
codecontests_java_25,60,16,16,11,21,0.5238095238095238,<tool_call>,I
