source,target,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance
MLP27,Residual Output: decision,0.9990976414610523,1.0,0.9990976414610523,1.0,0.0009023585389477118,0.00045138292409180065
L24H6,Residual Output: decision,0.9866807180013671,0.9783848993994939,0.9783848993994939,0.9866807180013671,-0.008295818601873228,-0.004221649663203554
L23H6,Residual Output: decision,0.9973535166404204,0.9060769080284555,0.9060769080284555,0.9973535166404204,-0.09127660861196485,-0.047953740482972206
L24H6,MLP27,0.8040749540652634,0.957423208254779,0.8040749540652634,0.957423208254779,0.1533482541895156,0.087055585676878
L21H12,MLP27,0.7451578297412202,0.7861889319446036,0.7451578297412202,0.7861889319446036,0.04103110220338335,0.026794128691148417
MLP19,L21H12,0.6933854834281817,0.48967013631255585,0.48967013631255585,0.6933854834281817,-0.2037153471156259,-0.17219422630380588
MLP17,L21H12,0.4684654543184562,0.6012181918667957,0.4684654543184562,0.6012181918667957,0.1327527375483395,0.12410467152766853
MLP16,MLP17,0.46353826263492515,0.7497204510754514,0.46353826263492515,0.7497204510754514,0.28618218844052623,0.2358789475043839
MLP17,MLP19,0.4222740238419185,0.5844929284670782,0.4222740238419185,0.5844929284670782,0.16221890462515975,0.16112855537531742
MLP17,L21H1,0.41988396098934605,0.42622922281983644,0.41988396098934605,0.42622922281983644,0.00634526183049039,0.00749930618256551
MLP16,L17H8,0.3824427451362772,0.5731802598180855,0.3824427451362772,0.5731802598180855,0.19073751468180833,0.1995949382684831
L21H1,MLP27,0.379483222535779,0.5048931111044949,0.379483222535779,0.5048931111044949,0.12540988856871588,0.14180602058006586
MLP16,MLP19,0.3741615225941805,0.41819188110498573,0.3741615225941805,0.41819188110498573,0.04403035851080522,0.05556909114701334
MLP19,L21H1,0.6501306770581683,0.3419451713728575,0.3419451713728575,0.6501306770581683,-0.3081855056853108,-0.31064712055303845
L23H6,MLP27,0.27451397328610266,0.29074045607555593,0.27451397328610266,0.29074045607555593,0.016226482789453267,0.028706511522214557
L23H6,L24H6,0.9324297130693068,0.25059335431746277,0.25059335431746277,0.9324297130693068,-0.681836358751844,-0.5763508570107443
MLP19,L20H5,0.2438749489659792,0.23788934339571235,0.23788934339571235,0.2438749489659792,-0.005985605570266839,-0.012424344570919461
MLP16,L21H12,0.2349951443106917,0.336086360909521,0.2349951443106917,0.336086360909521,0.10109121659882928,0.1770171432181959
L16H4,MLP17,0.2155968290748351,0.43251268278640087,0.2155968290748351,0.43251268278640087,0.21691585371156577,0.3346901252669915
MLP16,L21H1,0.2136375770066895,0.20673513584454364,0.20673513584454364,0.2136375770066895,-0.0069024411621458615,-0.016419812588046326
L17H8,MLP19,0.24849106712582741,0.2000138385506884,0.2000138385506884,0.24849106712582741,-0.048477228575139,-0.10808628392150343
MLP17,L18H14,0.2040722048188791,0.18914858383920644,0.18914858383920644,0.2040722048188791,-0.014923620979672675,-0.037952268573086825
L16H8,MLP17,0.1869657735267567,0.502138636719657,0.1869657735267567,0.502138636719657,0.3151728631929003,0.4573659063946479
MLP11,MLP16,0.28028577399055316,0.17571971033482522,0.17571971033482522,0.28028577399055316,-0.10456606365572793,-0.22930878520117934
L21H12,L23H6,0.947292945194638,0.16489303996904248,0.16489303996904248,0.947292945194638,-0.7823999052255955,-0.7034793781459578
MLP16,L17H2,0.1618449212146188,0.33572641470190795,0.1618449212146188,0.33572641470190795,0.17388149348728915,0.3494604309691581
MLP16,L18H14,0.15967199893818862,0.16428059291816638,0.15967199893818862,0.16428059291816638,0.00460859397997776,0.014226137082494074
MLP17,MLP18,0.15830909416360395,0.1694166792416461,0.15830909416360395,0.1694166792416461,0.01110758507804216,0.03389292505935153
MLP17,L20H5,0.1553781988809836,0.3128410612560231,0.1553781988809836,0.3128410612560231,0.15746286237503954,0.3363015488277094
MLP16,L20H5,0.150391938420753,0.19858485206454737,0.150391938420753,0.19858485206454737,0.04819291364379438,0.13809776167857893
MLP16,L17H12,0.1443962294169489,0.15902610810323248,0.1443962294169489,0.15902610810323248,0.01462987868628357,0.04821622167257379
MLP11,L16H4,0.15521506994346218,0.14292490929910553,0.14292490929910553,0.15521506994346218,-0.012290160644356646,-0.04122278627502462
MLP11,MLP12,0.1448288851368134,0.14220259764659451,0.14220259764659451,0.1448288851368134,-0.002626287490218898,-0.00914982379197991
MLP12,MLP16,0.13727823396757172,0.33230409201881517,0.13727823396757172,0.33230409201881517,0.19502585805124345,0.41531771376100984
L13H9,MLP16,0.1337527423213382,0.1553203801876115,0.1337527423213382,0.1553203801876115,0.021567637866273276,0.07460962706972366
L12H6,MLP16,0.13248433721769373,0.14344068201951646,0.13248433721769373,0.14344068201951646,0.010956344801822726,0.03970768882108388
Input Embed,L2H14,0.2719209237553308,0.11339794421966613,0.11339794421966613,0.2719209237553308,-0.15852297953566463,-0.41140725957378
MLP11,L12H6,0.27985018901709136,0.11294766655875335,0.11294766655875335,0.27985018901709136,-0.166902522458338,-0.4249069084495322
L16H4,L17H8,0.11032011132109162,0.14906242897061797,0.11032011132109162,0.14906242897061797,0.03874231764952635,0.1493636295101264
MLP19,L23H6,0.10547063283737822,0.42083166040975695,0.10547063283737822,0.42083166040975695,0.3153610275723787,0.5992013176053083
L18H14,MLP19,0.10521077783174583,0.11272418606521235,0.10521077783174583,0.11272418606521235,0.007513408233466523,0.03447546047278094
MLP17,L23H6,0.09888162462440903,0.6546015734992119,0.09888162462440903,0.6546015734992119,0.5557199488748028,0.7375346261982979
Input Embed,MLP4,0.09804431006223001,0.10297557556535357,0.09804431006223001,0.10297557556535357,0.004931265503123561,0.024531232259575524
L13H3,MLP16,0.09573444593574788,0.10609940883659545,0.09573444593574788,0.10609940883659545,0.010364962900847569,0.05135393619934889
Input Embed,MLP3,0.09393295284920047,0.10432921794672148,0.09393295284920047,0.10432921794672148,0.010396265097521007,0.05243695787141481
MLP13,MLP16,0.0971703055314813,0.09242682324177114,0.09242682324177114,0.0971703055314813,-0.004743482289710166,-0.025018745380807457
Input Embed,MLP5,0.0905448114795769,0.11524265562920101,0.0905448114795769,0.11524265562920101,0.024697844149624115,0.12001626968161767
MLP20,L21H12,0.11799596237059255,0.08834244826256853,0.08834244826256853,0.11799596237059255,-0.029653514108024026,-0.14371301018085067
MLP11,L16H8,0.08451786691519343,0.16166247160054245,0.08451786691519343,0.16166247160054245,0.07714460468534902,0.31336623042468487
L17H8,MLP18,0.08443453926490929,0.09258376661093137,0.08443453926490929,0.09258376661093137,0.008149227346022081,0.04603607127354325
Input Embed,MLP2,0.13318523691249373,0.08191565559277184,0.08191565559277184,0.13318523691249373,-0.051269581319721896,-0.23835131840964743
Input Embed,MLP11,0.0809675016492594,0.13628059247163793,0.0809675016492594,0.13628059247163793,0.055313090822378536,0.2546079451062853
MLP12,L16H4,0.08080219010149219,0.3193479688554733,0.08080219010149219,0.3193479688554733,0.23854577875398109,0.5961406572367143
MLP12,MLP17,0.08105724461309868,0.08030402781255709,0.08030402781255709,0.08105724461309868,-0.0007532168005415923,-0.004667890809355281
L16H8,L17H8,0.07947950227046185,0.21429794397868457,0.07947950227046185,0.21429794397868457,0.1348184417082227,0.458913519160644
MLP11,L13H9,0.09446381485198423,0.0787551167792497,0.0787551167792497,0.09446381485198423,-0.01570869807273452,-0.09068695854894657
Input Embed,MLP1,0.078336781472618,0.12109326632368966,0.078336781472618,0.12109326632368966,0.04275648485107167,0.21439339419274453
L10H2,MLP11,0.11038254570275803,0.07700942689740718,0.07700942689740718,0.11038254570275803,-0.03337311880535085,-0.17809257430977823
MLP16,MLP18,0.10005738943495461,0.07587262077397759,0.07587262077397759,0.10005738943495461,-0.02418476866097702,-0.1374681251496291
L12H6,MLP13,0.09098199529728344,0.07572109350475417,0.07572109350475417,0.09098199529728344,-0.015260901792529272,-0.09154540508035709
L13H6,MLP16,0.11877861597906117,0.07501580221789629,0.07501580221789629,0.11877861597906117,-0.04376281376116488,-0.22582081655565425
Input Embed,MLP0,0.07413880837601405,0.07655077210458161,0.07413880837601405,0.07655077210458161,0.0024119637285675566,0.016006174553509663
MLP12,L17H8,0.07194636457797904,0.13370156930111346,0.07194636457797904,0.13370156930111346,0.06175520472313442,0.3002957703404034
L21H12,L24H6,0.749325970224557,0.06914211289497273,0.06914211289497273,0.749325970224557,-0.6801838573295843,-0.8310450601043775
MLP12,L13H9,0.0681788792409281,0.14657860998268,0.0681788792409281,0.14657860998268,0.0783997307417519,0.3650616843453648
MLP19,L20H14,0.06784820349243673,0.14501929787861084,0.06784820349243673,0.14501929787861084,0.07717109438617412,0.3625311233003004
MLP12,MLP13,0.06739726396085227,0.1048548145256959,0.06739726396085227,0.1048548145256959,0.03745755056484362,0.21745775664337674
Input Embed,L2H15,0.06513654499240266,0.11650034675368867,0.06513654499240266,0.11650034675368867,0.05136380176128601,0.28278287118614115
L16H8,L17H2,0.06282832042597405,0.15307550398979974,0.06282832042597405,0.15307550398979974,0.09024718356382569,0.41799715131508475
MLP18,L21H1,0.11755583097447744,0.062486834320531155,0.062486834320531155,0.11755583097447744,-0.05506899665394629,-0.3058663709721975
Input Embed,MLP6,0.059878590978459066,0.10700066303451496,0.059878590978459066,0.10700066303451496,0.04712207205605589,0.28237225972014707
MLP12,L16H8,0.05800034535569269,0.27801451036961705,0.05800034535569269,0.27801451036961705,0.22001416501392435,0.6547751126628303
L9H3,MLP12,0.05709262991477398,0.1079297323370638,0.05709262991477398,0.1079297323370638,0.050837102422289816,0.30806189978488
MLP18,L21H12,0.14304817373684206,0.05357410636024362,0.05357410636024362,0.14304817373684206,-0.08947406737659844,-0.45505558847359034
L12H6,L13H9,0.062256545048875254,0.05323829909826615,0.05323829909826615,0.062256545048875254,-0.009018245950609106,-0.07808353712413159
L21H1,L23H6,0.7158344840146953,0.05316813843853997,0.05316813843853997,0.7158344840146953,-0.6626663455761553,-0.8617218280246548
MLP19,MLP20,0.062228996484871624,0.0507173129153435,0.0507173129153435,0.062228996484871624,-0.01151168356952812,-0.10192173281853328
MLP13,L16H4,0.05044137628678452,0.0985549809622889,0.05044137628678452,0.0985549809622889,0.04811360467550438,0.3229179931900891
L17H12,MLP19,0.08601296467255821,0.050208071108622236,0.050208071108622236,0.08601296467255821,-0.03580489356393598,-0.26284408541314724
MLP11,L17H8,0.20724968080551295,0.04923204923957248,0.04923204923957248,0.20724968080551295,-0.15801763156594048,-0.6160970278006291
MLP11,L13H3,0.06264801408663166,0.04916432419263219,0.04916432419263219,0.06264801408663166,-0.013483689893999472,-0.12059214664058313
MLP11,MLP13,0.10992927397009548,0.0488503514173554,0.0488503514173554,0.10992927397009548,-0.061078922552740084,-0.384677331261467
L17H2,MLP18,0.04872094706129031,0.06559624895853103,0.04872094706129031,0.06559624895853103,0.01687530189724072,0.14761822792009988
L9H3,MLP11,0.04790219573837162,0.06332248996887097,0.04790219573837162,0.06332248996887097,0.015420294230499343,0.13864093328245047
MLP20,L21H1,0.10835434439971729,0.04781437031343492,0.04781437031343492,0.10835434439971729,-0.060539974086282373,-0.3876575036010322
MLP13,MLP17,0.047616021921789604,0.050548882921800424,0.047616021921789604,0.050548882921800424,0.0029328610000108196,0.0298768791625058
L17H2,MLP19,0.04686358514879335,0.10848380813400622,0.04686358514879335,0.10848380813400622,0.06162022298521287,0.3966608108643147
MLP6,MLP11,0.04215544031675462,0.057832350083777226,0.04215544031675462,0.057832350083777226,0.015676909767022608,0.15678824088645146
MLP17,L20H14,0.041665137008648566,0.16628568528813378,0.041665137008648566,0.16628568528813378,0.12462054827948521,0.5992789396217428
Input Embed,L4H15,0.04086152085831566,0.04634553169049833,0.04086152085831566,0.04634553169049833,0.0054840108321826675,0.06288494647967838
MLP10,L16H8,0.04081840842962742,0.06575861591139869,0.04081840842962742,0.06575861591139869,0.024940207481771268,0.2340111073280426
L16H9,MLP19,0.038566000336456595,0.051145590153310085,0.038566000336456595,0.051145590153310085,0.01257958981685349,0.1402225704413125
L15H5,MLP16,0.037523306527007465,0.13822488562205118,0.037523306527007465,0.13822488562205118,0.10070157909504371,0.5729878519014006
L17H8,MLP27,0.03686766103811742,0.36910643705369756,0.03686766103811742,0.36910643705369756,0.33223877601558016,0.818374318896673
L11H1,MLP16,0.03636850195946944,0.16482348877590813,0.03636850195946944,0.16482348877590813,0.1284549868164387,0.6384696843394332
MLP18,MLP19,0.10570556523165463,0.035633298164782876,0.035633298164782876,0.10570556523165463,-0.07007226706687175,-0.4957749438689624
MLP16,L23H6,0.03519282627183203,0.37528246809113547,0.03519282627183203,0.37528246809113547,0.34008964181930346,0.8285264582052417
L17H8,MLP20,0.039623272016490935,0.03436181081048269,0.03436181081048269,0.039623272016490935,-0.005261461206008247,-0.0711151627458882
L10H2,MLP12,0.034286097711410765,0.06620964218269601,0.034286097711410765,0.06620964218269601,0.031923544471285245,0.31766067402382786
MLP9,L12H6,0.03810436329532746,0.03388798905460176,0.03388798905460176,0.03810436329532746,-0.004216374240725698,-0.05856697417291496
L13H6,L16H4,0.05881351064884492,0.033738645671926436,0.033738645671926436,0.05881351064884492,-0.025074864976918486,-0.27092685868941735
L13H6,L16H8,0.05184112696310052,0.033738645671926436,0.033738645671926436,0.05184112696310052,-0.01810248129117408,-0.21152756935188347
L16H9,MLP17,0.033476523916021704,0.1292425773889199,0.033476523916021704,0.1292425773889199,0.09576605347289818,0.5885360274540176
L6H0,MLP11,0.033170835834776785,0.0352170495956939,0.033170835834776785,0.0352170495956939,0.002046213760917112,0.029920705224867325
L12H6,L16H4,0.040346398860778745,0.03305753562017704,0.03305753562017704,0.040346398860778745,-0.007288863240601705,-0.09929799120635363
MLP18,L23H6,0.032784387581490375,0.07061146156607731,0.032784387581490375,0.07061146156607731,0.037827073984586936,0.3658471234236852
MLP13,L17H8,0.0678849703213959,0.032409359345738034,0.032409359345738034,0.0678849703213959,-0.035475610975657865,-0.35371502151116213
Input Embed,L9H3,0.03237230295453806,0.1292941049934079,0.03237230295453806,0.1292941049934079,0.09692180203886985,0.5995172606920118
L20H5,L21H12,0.31385705910626877,0.03223972754615278,0.03223972754615278,0.31385705910626877,-0.281617331560116,-0.8136953084252092
L13H10,MLP16,0.032095525760195906,0.051145590153310085,0.032095525760195906,0.051145590153310085,0.01905006439311418,0.2288540246494134
MLP7,L13H6,0.03167326935956748,0.0334172405696366,0.03167326935956748,0.0334172405696366,0.0017439712100691257,0.02679301809074721
L10H2,L12H6,0.06689989171778911,0.031382288797694946,0.031382288797694946,0.06689989171778911,-0.03551760292009416,-0.3613839531622772
Input Embed,MLP12,0.031349513585352796,0.04802917105150886,0.031349513585352796,0.04802917105150886,0.016679657466156066,0.21012766263968063
MLP14,MLP16,0.03093401885723179,0.035352785330419356,0.03093401885723179,0.035352785330419356,0.004418766473187567,0.06666132916407452
MLP5,L12H6,0.03056845365383323,0.07100028244802037,0.03056845365383323,0.07100028244802037,0.040431828794187136,0.39807356422789303
L2H14,L10H2,0.03318080324287836,0.03055640389141033,0.03055640389141033,0.03318080324287836,-0.0026243993514680278,-0.041175311399174575
MLP2,L12H6,0.029529179826206828,0.05404113985925858,0.029529179826206828,0.05404113985925858,0.024511960033051755,0.2933093965095228
MLP17,MLP20,0.029293553605268256,0.11814413066847944,0.029293553605268256,0.11814413066847944,0.08885057706321119,0.6026313930585224
MLP10,L13H3,0.029217397619989253,0.04383907727426579,0.029217397619989253,0.04383907727426579,0.014621679654276534,0.20014214585963197
L13H3,MLP17,0.03064526165924841,0.028864785046046667,0.028864785046046667,0.03064526165924841,-0.0017804766132017424,-0.02991892481649354
L13H13,MLP16,0.056364752556369774,0.02862120021696704,0.02862120021696704,0.056364752556369774,-0.027743552339402733,-0.3264486828005168
L20H14,L21H1,0.05304892993965965,0.028526581425103746,0.028526581425103746,0.05304892993965965,-0.024522348514555904,-0.30060919146316684
L13H3,L16H8,0.03810292147179984,0.028216769335718886,0.028216769335718886,0.03810292147179984,-0.009886152136080954,-0.14906812766624283
L20H5,L21H1,0.26039711903711454,0.028194467203329007,0.028194467203329007,0.26039711903711454,-0.23220265183378552,-0.8046064504469755
L16H4,MLP19,0.04166730435082407,0.028083762462737423,0.028083762462737423,0.04166730435082407,-0.01358354188808665,-0.19474314169838106
L13H9,L16H4,0.029744779905436787,0.027829078777860387,0.027829078777860387,0.029744779905436787,-0.0019157011275763997,-0.0332738011901253
MLP12,L17H12,0.027635183361661535,0.04774241927541142,0.027635183361661535,0.04774241927541142,0.020107235913749882,0.26675345474387036
