group,set,n_points,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool
forward_selective_heads,contrast,360,0.0014557739486917853,0.002455345937050879,0.0009995719883590937
forward_selective_heads,prefix_16,360,0.15660332143306732,0.21433201432228088,0.05772869288921356
forward_selective_heads,recent_32,360,0.1320929303765297,0.12355168163776398,-0.008541248738765717
forward_selective_heads,tool_call_tags,360,0.00862441910430789,0.006457802606746554,-0.0021666164975613356
forward_selective_heads,tools_block,360,0.10713876411318779,0.09537114575505257,-0.011767618358135223
forward_selective_heads,user_block,360,0.1613742858171463,0.20409563183784485,0.04272134602069855
reverse_only_core_heads,contrast,120,0.007203808054327965,0.004449373343959451,-0.002754434710368514
reverse_only_core_heads,prefix_16,120,0.08277803659439087,0.07645463943481445,-0.006323397159576416
reverse_only_core_heads,recent_32,120,0.37149478495121,0.3864448070526123,0.014950022101402283
reverse_only_core_heads,tool_call_tags,120,0.0005108400073368102,0.0005172128730919212,6.372865755110979e-06
reverse_only_core_heads,tools_block,120,0.11898601241409779,0.09689906612038612,-0.022086946293711662
reverse_only_core_heads,user_block,120,0.4216247648000717,0.4853764623403549,0.0637516975402832
reverse_selective_heads,contrast,300,0.004644585074856877,0.004740532021969557,9.594694711267948e-05
reverse_selective_heads,prefix_16,300,0.17340899258852005,0.1818109080195427,0.008401915431022644
reverse_selective_heads,recent_32,300,0.24363665282726288,0.2734542787075043,0.029817625880241394
reverse_selective_heads,tool_call_tags,300,0.002123544574715197,0.0025522877695038915,0.0004287431947886944
reverse_selective_heads,tools_block,300,0.14790023863315582,0.1354515701532364,-0.012448668479919434
reverse_selective_heads,user_block,300,0.25233253836631775,0.32920439541339874,0.076871857047081
shared_core_heads,contrast,300,0.0008237408183049411,0.0018232660950161517,0.0009995252767112106
shared_core_heads,prefix_16,300,0.21942827850580215,0.3148729056119919,0.09544462710618973
shared_core_heads,recent_32,300,0.06429336592555046,0.09708312153816223,0.03278975561261177
shared_core_heads,tool_call_tags,300,0.016417091712355614,0.0089654172770679,-0.007451674435287714
shared_core_heads,tools_block,300,0.10729189217090607,0.08358374610543251,-0.023708146065473557
shared_core_heads,user_block,300,0.054941326379776,0.11182404309511185,0.056882716715335846
