sample_id,sample_rank,q_index,cluster_id,cluster_size,weight
apps_python_1,1,,0,8,1.0
mbpp_python_1,4,,0,8,1.0
humaneval_python_11,25,,0,8,1.0
mbpp_python_11,26,,0,8,1.0
codecontests_cpp_14,32,,0,8,0.9409668077522833
mbpp_python_17,42,,0,8,0.9341666666666666
humaneval_python_18,45,,0,8,1.0
humaneval_python_21,50,,0,8,1.0
codecontests_cpp_3,6,,1,8,1.0
codecontests_cpp_4,9,,1,8,1.0
apps_python_5,12,,1,8,1.0
codecontests_cpp_5,13,,1,8,0.9830508474576272
codecontests_cpp_6,15,,1,8,1.0
apps_python_8,18,,1,8,0.9583333333333334
codecontests_cpp_9,20,,1,8,1.0
codecontests_cpp_20,48,,1,8,0.9042675893886967
apps_python_4,8,,2,3,1.0
mbpp_python_4,11,,2,3,1.0
apps_python_14,31,,2,3,1.0
codecontests_java_3,7,,3,12,0.898304
codecontests_java_5,14,,3,12,1.0
codecontests_java_6,16,,3,12,1.0
codecontests_cpp_11,23,,3,12,0.9370755998189226
codecontests_java_11,24,,3,12,0.8130577037477691
codecontests_java_12,28,,3,12,0.9839357429718876
codecontests_java_13,30,,3,12,1.0
codecontests_java_14,33,,3,12,0.9393659587565404
codecontests_java_15,35,,3,12,1.0
codecontests_cpp_16,37,,3,12,1.0
codecontests_java_19,46,,3,12,0.992
codecontests_java_20,49,,3,12,0.846
codecontests_java_1,3,,4,7,0.9512422091412743
codecontests_java_7,17,,4,7,0.9226108033240997
apps_python_9,19,,4,7,1.0
apps_python_10,22,,4,7,1.0
codecontests_cpp_15,34,,4,7,0.9505555555555555
apps_python_17,39,,4,7,1.0
apps_python_20,47,,4,7,1.0
apps_python_16,36,,5,1,1.0
codecontests_cpp_12,27,,6,2,0.9333333333333333
codecontests_java_18,44,,6,2,0.9855072463768116
codecontests_cpp_1,2,,7,8,0.9045368620037807
codecontests_java_2,5,,7,8,0.9030487207136555
codecontests_java_4,10,,7,8,0.8987111111111111
codecontests_java_9,21,,7,8,0.8356290174471993
apps_python_13,29,,7,8,0.9272727272727272
codecontests_cpp_17,40,,7,8,0.9848484848484849
codecontests_java_17,41,,7,8,0.9228669751987659
codecontests_cpp_18,43,,7,8,0.9183333333333333
codecontests_java_16,38,,8,1,0.8213333333333334
