source,target,support_weighted,support_unweighted
MLP27,Residual Output: no_tool,1.0,1.0
L24H6,Residual Output: no_tool,0.9783848993994939,0.9790209790209791
L24H6,MLP27,0.957423208254779,0.958041958041958
L23H6,Residual Output: no_tool,0.9060769080284555,0.9090909090909091
L21H12,MLP27,0.7861889319446036,0.7902097902097902
MLP16,MLP17,0.7497204510754514,0.7482517482517482
MLP17,L23H6,0.6546015734992119,0.6573426573426573
MLP17,L24H6,0.6339886440116205,0.6363636363636364
MLP17,L21H12,0.6012181918667957,0.6083916083916084
MLP17,MLP19,0.5844929284670782,0.5804195804195804
MLP16,L17H8,0.5731802598180855,0.5664335664335665
L21H1,MLP27,0.5048931111044949,0.4965034965034965
L16H8,MLP17,0.502138636719657,0.5034965034965035
MLP19,L21H12,0.48967013631255585,0.48951048951048953
L16H4,MLP17,0.43251268278640087,0.43356643356643354
MLP17,L21H1,0.42622922281983644,0.4195804195804196
MLP19,L23H6,0.42083166040975695,0.4195804195804196
MLP16,MLP19,0.41819188110498573,0.4125874125874126
MLP16,L24H6,0.3965849158363854,0.3916083916083916
MLP19,L24H6,0.38429307441587607,0.38461538461538464
L20H5,MLP27,0.379131233667336,0.38461538461538464
MLP16,L23H6,0.37528246809113547,0.3706293706293706
L17H8,MLP27,0.36910643705369756,0.36363636363636365
MLP19,L21H1,0.3419451713728575,0.3356643356643357
MLP16,L21H12,0.336086360909521,0.3356643356643357
MLP16,L17H2,0.33572641470190795,0.32867132867132864
MLP12,MLP16,0.33230409201881517,0.3356643356643357
MLP12,L16H4,0.3193479688554733,0.32167832167832167
MLP17,L20H5,0.3128410612560231,0.32167832167832167
L23H6,MLP27,0.29074045607555593,0.2867132867132867
MLP12,L16H8,0.27801451036961705,0.2867132867132867
L23H6,L24H6,0.25059335431746277,0.2517482517482518
MLP19,L20H5,0.23788934339571235,0.23776223776223776
MLP17,MLP27,0.22948957978811454,0.23076923076923078
L16H8,L17H8,0.21429794397868457,0.2097902097902098
MLP16,L21H1,0.20673513584454364,0.20279720279720279
