node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
MLP27,27,1.0,1.0,0.41379310344827586,0.4153740195694929
L24H6,24,0.9895420484225006,0.9899074852817493,0.14832089552238806,0.14775061871066975
L23H6,23,0.9542281231165232,0.9545836837678722,0.09978070175438597,0.10022806330407104
MLP17,17,0.9242887371289046,0.9259882253994953,0.23863636363636365,0.25524368692746746
L21H12,21,0.9208240163935651,0.9234650967199327,0.12599306431273644,0.1365396502148583
MLP16,16,0.8766956363547403,0.8746846089150546,0.21458087367178275,0.23743807316201168
L16H8,16,0.6908746944948071,0.6921783010933558,0.08984375,0.09643839763341445
MLP19,19,0.6687255178089268,0.6652649285113541,0.17857142857142858,0.189817990500489
L17H8,17,0.6106717602955567,0.6047098402018503,0.08881578947368421,0.09397484083096083
L16H4,16,0.6010373625368447,0.6038687973086627,0.09279306919121084,0.09578746333481611
L21H1,21,0.4909546316156755,0.4802354920100925,0.11284722222222222,0.11621047590591944
MLP12,12,0.4826459634793254,0.488645920941968,0.18,0.19483770602387773
L20H5,20,0.47987015374365755,0.48107653490328006,0.08341106965174129,0.084712651351755
L12H6,12,0.38977690079720023,0.3986543313708999,0.053007928905917406,0.05556865955076197
MLP11,11,0.3519971593027294,0.343986543313709,0.18604651162790697,0.19617674275359798
L17H2,17,0.34291187057261174,0.3423044575273339,0.08854166666666667,0.0946784648784844
L13H9,13,0.23946513312965723,0.23885618166526493,0.046909367635506675,0.0502587020764016
L13H3,13,0.2033096503879662,0.21026072329688814,0.04888809341048654,0.05341038189692452
MLP13,13,0.19388828121191562,0.19932716568544995,0.1566265060240964,0.16706143285366015
L17H12,17,0.19220599585650233,0.19259882253994953,0.08098591549295775,0.08525731384123629
L18H14,18,0.1862688659025308,0.18755256518082422,0.09285714285714286,0.09553455698141264
L16H9,16,0.17931321543731504,0.1740958788898234,0.0775462962962963,0.08222390344845779
L2H14,2,0.17841771826202096,0.1825063078216989,0.024085365853658537,0.026786042927433126
L11H1,11,0.15870538868835535,0.15559293523969722,0.05798192771084337,0.07008510373520499
MLP5,5,0.1577904326404123,0.1614802354920101,0.05333438685208597,0.061086387466894855
L20H14,20,0.15552966281122993,0.15306980656013458,0.08579009433962265,0.09006208349439893
MLP18,18,0.14958350327080064,0.15138772077375945,0.17743717205191936,0.19074663177885492
