space,variant,frame,delivery_object,object_margin_median,object_correct_rate
l2h14_lead_k,develop_answer,develop,answer,0.0,0.25
l2h14_lead_k,develop_file,develop,file,0.0,0.45
l2h14_lead_k,write_answer,write,answer,0.0,0.45
l2h14_lead_k,write_file,write,file,0.0,0.25
l2h14_lead_k_centered,develop_answer,develop,answer,0.0,0.3
l2h14_lead_k_centered,develop_file,develop,file,0.0,0.4
l2h14_lead_k_centered,write_answer,write,answer,0.0,0.4
l2h14_lead_k_centered,write_file,write,file,0.0,0.3
l2h14_z,develop_answer,develop,answer,0.037126898765563965,1.0
l2h14_z,develop_file,develop,file,0.05180078744888306,1.0
l2h14_z,write_answer,write,answer,0.03740876913070679,1.0
l2h14_z,write_file,write,file,0.02496922016143799,1.0
l2h14_z_centered,develop_answer,develop,answer,1.118789255619049,1.0
l2h14_z_centered,develop_file,develop,file,1.4706116318702698,1.0
l2h14_z_centered,write_answer,write,answer,1.410649597644806,1.0
l2h14_z_centered,write_file,write,file,0.8524533212184906,1.0
mlp11_out,develop_answer,develop,answer,0.019629210233688354,1.0
mlp11_out,develop_file,develop,file,0.028369396924972534,1.0
mlp11_out,write_answer,write,answer,0.03134050965309143,1.0
mlp11_out,write_file,write,file,0.022278040647506714,1.0
mlp11_out_centered,develop_answer,develop,answer,1.6413586139678955,1.0
mlp11_out_centered,develop_file,develop,file,1.813911497592926,1.0
mlp11_out_centered,write_answer,write,answer,1.828417181968689,1.0
mlp11_out_centered,write_file,write,file,1.7090731859207153,1.0
