variant,rank,token,count,attn_median
develop_answer,1, answer,3,0.09087949246168137
develop_answer,1, the,17,0.09387267380952835
develop_answer,2, answer,15,0.06875841319561005
develop_answer,2, query,2,0.07262345403432846
develop_answer,2, the,3,0.08287870138883591
develop_answer,3, answer,2,0.058201633393764496
develop_answer,3, below,8,0.05560731329023838
develop_answer,3, query,9,0.050995416939258575
develop_answer,3,\n\n,1,0.04741668701171875
develop_answer,4, below,4,0.046894144266843796
develop_answer,4, query,5,0.04594814032316208
develop_answer,4,\n\n,11,0.04391845688223839
develop_answer,5, below,6,0.04024267569184303
develop_answer,5, query,4,0.04021935164928436
develop_answer,5,\n\n,8,0.040013387799263
develop_answer,5,assistant,1,0.032413892447948456
develop_answer,5,"{""",1,0.03565683215856552
develop_file,1, the,20,0.1062723882496357
develop_file,2, query,15,0.057620927691459656
develop_file,2,\n\n,5,0.051740311086177826
develop_file,3, query,4,0.04893840104341507
develop_file,3,\n\n,14,0.04898878000676632
develop_file,3,assistant,2,0.04930487275123596
develop_file,4, query,1,0.04850327596068382
develop_file,4,\n\n,1,0.047593336552381516
develop_file,4,assistant,17,0.045620404183864594
develop_file,4,"{""",1,0.038844842463731766
develop_file,5, assist,1,0.025311436504125595
develop_file,5, call,3,0.026862286031246185
develop_file,5, function,1,0.02788764238357544
develop_file,5,Develop,1,0.025955796241760254
develop_file,5,assistant,1,0.03674039617180824
develop_file,5,"{""",13,0.02932075224816799
write_answer,1, answer,1,0.09952865540981293
write_answer,1, the,19,0.13211295008659363
write_answer,2, answer,17,0.06320247799158096
write_answer,2, query,2,0.06784204207360744
write_answer,2, the,1,0.08910917490720749
write_answer,3, answer,2,0.05288385599851608
write_answer,3, below,1,0.047075629234313965
write_answer,3, query,12,0.0475046094506979
write_answer,3,\n\n,5,0.04508049413561821
write_answer,4, below,1,0.04836656525731087
write_answer,4, query,4,0.04131169617176056
write_answer,4,\n\n,14,0.040516944602131844
write_answer,4,assistant,1,0.03787762671709061
write_answer,5, below,5,0.03346961364150047
write_answer,5, query,2,0.03664875216782093
write_answer,5,\n\n,1,0.04718267172574997
write_answer,5,assistant,11,0.03479998931288719
write_answer,5,"{""",1,0.033844802528619766
write_file,1, the,20,0.14741554111242294
write_file,2, query,12,0.0539625883102417
write_file,2,\n\n,8,0.05122508853673935
write_file,3, query,6,0.04818873293697834
write_file,3,\n\n,12,0.04552454687654972
write_file,3,assistant,2,0.044586844742298126
write_file,4, query,2,0.04180586896836758
write_file,4,assistant,17,0.04230032116174698
write_file,4,"{""",1,0.03483312577009201
write_file,5, call,1,0.02353193797171116
write_file,5, function,2,0.03514278493821621
write_file,5,Write,13,0.030258532613515854
write_file,5,assistant,1,0.03448920324444771
write_file,5,"{""",3,0.03076033480465412
