sample_id,variant,frame,delivery_object,tool_score,no_tool_score,decision_score,tool_top1,no_tool_top1,l2h14_opening_density,l2h14_object_density
apps_python_1,write_file,write,file,0.0,-3.703125,3.703125,True,False,0.022575218230485916,0.008938516490161419
apps_python_1,write_answer,write,answer,-0.6484375,-1.03125,0.3828125,False,True,0.019344711676239967,0.028813805431127548
apps_python_1,develop_file,develop,file,-1.265625,-0.67578125,-0.58984375,False,True,0.013359198346734047,0.01129576563835144
apps_python_1,develop_answer,develop,answer,-5.90625,0.0,-5.90625,False,True,0.010449117980897427,0.037167295813560486
codecontests_cpp_1,write_file,write,file,0.0,-0.65234375,0.65234375,False,True,0.03584595397114754,0.01087794080376625
codecontests_cpp_1,write_answer,write,answer,-0.26953125,-0.3125,0.04296875,False,True,0.03317401930689812,0.030801938846707344
codecontests_cpp_1,develop_file,develop,file,-3.71875,-0.11669921875,-3.60205078125,False,True,0.021558396518230438,0.011946081183850765
codecontests_cpp_1,develop_answer,develop,answer,-3.46875,0.0,-3.46875,False,True,0.019678229466080666,0.039818260818719864
codecontests_java_1,write_file,write,file,0.0,-0.48828125,0.48828125,False,True,0.03360440582036972,0.004736950155347586
codecontests_java_1,write_answer,write,answer,-0.2236328125,-0.421875,0.1982421875,False,True,0.028645576909184456,0.024416597560048103
codecontests_java_1,develop_file,develop,file,-0.080078125,-0.2109375,0.130859375,False,True,0.01946319080889225,0.0057960678823292255
codecontests_java_1,develop_answer,develop,answer,-0.369140625,0.0,-0.369140625,False,False,0.016257628798484802,0.031542353332042694
mbpp_python_1,write_file,write,file,0.0,-1.3125,1.3125,True,False,0.020742086693644524,0.011461024172604084
mbpp_python_1,write_answer,write,answer,-0.2021484375,-0.66015625,0.4580078125,False,True,0.02081083133816719,0.04039390757679939
mbpp_python_1,develop_file,develop,file,-2.84375,-0.0322265625,-2.8115234375,False,True,0.016784870997071266,0.01332875620573759
mbpp_python_1,develop_answer,develop,answer,-3.1875,0.0,-3.1875,False,True,0.016546495258808136,0.04979095980525017
codecontests_java_2,write_file,write,file,0.0,-0.59375,0.59375,False,True,0.034273285418748856,0.007626933511346579
codecontests_java_2,write_answer,write,answer,-0.09228515625,-0.94921875,0.85693359375,True,False,0.029106928035616875,0.033773161470890045
codecontests_java_2,develop_file,develop,file,-3.890625,-0.10400390625,-3.78662109375,False,True,0.025955796241760254,0.00863423477858305
codecontests_java_2,develop_answer,develop,answer,-2.84375,0.0,-2.84375,False,True,0.021441850811243057,0.043677158653736115
codecontests_cpp_3,write_file,write,file,0.0,-1.7109375,1.7109375,True,False,0.027915488928556442,0.01062505692243576
codecontests_cpp_3,write_answer,write,answer,-2.921875,-0.384765625,-2.537109375,False,True,0.02820081077516079,0.028249822556972504
codecontests_cpp_3,develop_file,develop,file,-5.40625,-0.18359375,-5.22265625,False,True,0.016488203778862953,0.011564918793737888
codecontests_cpp_3,develop_answer,develop,answer,-8.8125,0.0,-8.8125,False,True,0.015880411490797997,0.03613569587469101
codecontests_java_3,write_file,write,file,0.0,-0.2490234375,0.2490234375,False,True,0.02792435698211193,0.006266528740525246
codecontests_java_3,write_answer,write,answer,-0.32421875,-0.62890625,0.3046875,False,True,0.022564277052879333,0.029447119683027267
codecontests_java_3,develop_file,develop,file,-0.13671875,-0.115234375,-0.021484375,False,True,0.016693614423274994,0.007582226302474737
codecontests_java_3,develop_answer,develop,answer,-0.203125,0.0,-0.203125,False,True,0.012216296046972275,0.03714125603437424
apps_python_4,write_file,write,file,0.0,-4.09375,4.09375,True,False,0.025654997676610947,0.009505662135779858
apps_python_4,write_answer,write,answer,-1.9609375,-0.3671875,-1.59375,False,False,0.021281635388731956,0.03305386006832123
apps_python_4,develop_file,develop,file,-3.5625,-1.859375,-1.703125,False,True,0.016916736960411072,0.011700081638991833
apps_python_4,develop_answer,develop,answer,-8.125,0.0,-8.125,False,True,0.013022505678236485,0.04151483625173569
codecontests_cpp_4,write_file,write,file,0.0,-1.703125,1.703125,True,False,0.022543497383594513,0.011518540792167187
codecontests_cpp_4,write_answer,write,answer,-3.1875,-0.439453125,-2.748046875,False,True,0.02209162339568138,0.02906196191906929
codecontests_cpp_4,develop_file,develop,file,-3.21875,-0.65625,-2.5625,False,True,0.013675390742719173,0.012619785033166409
codecontests_cpp_4,develop_answer,develop,answer,-7.0,0.0,-7.0,False,True,0.01336808130145073,0.03711308166384697
codecontests_java_4,write_file,write,file,0.0,-1.2421875,1.2421875,False,True,0.030258532613515854,0.006347195710986853
codecontests_java_4,write_answer,write,answer,-0.365234375,-0.232421875,-0.1328125,False,True,0.027203792706131935,0.02726958505809307
codecontests_java_4,develop_file,develop,file,-0.28125,-0.68359375,0.40234375,False,True,0.020067140460014343,0.007629820611327887
codecontests_java_4,develop_answer,develop,answer,-0.8359375,0.0,-0.8359375,False,True,0.016626253724098206,0.035366810858249664
mbpp_python_4,write_file,write,file,0.0,-1.1328125,1.1328125,False,True,0.023995818570256233,0.006657052785158157
mbpp_python_4,write_answer,write,answer,-0.1435546875,-0.5859375,0.4423828125,False,True,0.02498830109834671,0.019666196778416634
mbpp_python_4,develop_file,develop,file,-1.7734375,-0.10693359375,-1.66650390625,False,True,0.013309686444699764,0.008225754834711552
mbpp_python_4,develop_answer,develop,answer,-2.359375,0.0,-2.359375,False,True,0.013760870322585106,0.024796057492494583
apps_python_5,write_file,write,file,0.0,-0.90234375,0.90234375,True,False,0.020044932141900063,0.009932617656886578
apps_python_5,write_answer,write,answer,-0.62890625,-0.189453125,-0.439453125,False,True,0.016693411394953728,0.03381277620792389
apps_python_5,develop_file,develop,file,-2.84375,-0.109375,-2.734375,False,True,0.010896233841776848,0.012206465937197208
apps_python_5,develop_answer,develop,answer,-5.59375,0.0,-5.59375,False,True,0.009038754738867283,0.04193316027522087
codecontests_cpp_5,write_file,write,file,0.0,-1.8359375,1.8359375,True,False,0.03235439211130142,0.011337846517562866
codecontests_cpp_5,write_answer,write,answer,-2.59375,-0.1875,-2.40625,False,True,0.027444127947092056,0.029346182942390442
codecontests_cpp_5,develop_file,develop,file,-4.5625,-0.10400390625,-4.45849609375,False,True,0.020431216806173325,0.01279252115637064
codecontests_cpp_5,develop_answer,develop,answer,-8.0625,0.0,-8.0625,False,True,0.015959637239575386,0.03830494359135628
codecontests_java_5,write_file,write,file,0.0,-0.92578125,0.92578125,False,True,0.030125692486763,0.005429774522781372
codecontests_java_5,write_answer,write,answer,-0.1728515625,-1.59375,1.4208984375,True,False,0.02697860449552536,0.026541482657194138
codecontests_java_5,develop_file,develop,file,-4.125,-0.07666015625,-4.04833984375,False,True,0.018496911972761154,0.006662392523139715
codecontests_java_5,develop_answer,develop,answer,-3.171875,0.0,-3.171875,False,True,0.015782704576849937,0.033806875348091125
codecontests_cpp_6,write_file,write,file,0.0,-2.375,2.375,True,False,0.036912254989147186,0.010604682378470898
codecontests_cpp_6,write_answer,write,answer,-0.255859375,-1.03125,0.775390625,True,False,0.034065231680870056,0.030674193054437637
codecontests_cpp_6,develop_file,develop,file,-5.8125,-0.04248046875,-5.77001953125,False,True,0.022500595077872276,0.011790263466536999
codecontests_cpp_6,develop_answer,develop,answer,-8.0625,0.0,-8.0625,False,True,0.02062099240720272,0.03957488387823105
codecontests_java_6,write_file,write,file,0.0,-0.08349609375,0.08349609375,False,True,0.031440429389476776,0.005016460549086332
codecontests_java_6,write_answer,write,answer,-1.453125,-1.6171875,0.1640625,True,False,0.02755945734679699,0.025110535323619843
codecontests_java_6,develop_file,develop,file,-0.07666015625,-0.04345703125,-0.033203125,False,True,0.01861339993774891,0.005929179489612579
codecontests_java_6,develop_answer,develop,answer,-0.08447265625,0.0,-0.08447265625,False,True,0.015983879566192627,0.03201153129339218
codecontests_java_7,write_file,write,file,0.0,-1.125,1.125,True,False,0.025336148217320442,0.005941262934356928
codecontests_java_7,write_answer,write,answer,-0.0859375,-1.4921875,1.40625,True,False,0.023268695920705795,0.025196492671966553
codecontests_java_7,develop_file,develop,file,-4.34375,-0.10302734375,-4.24072265625,False,True,0.013922101818025112,0.0073079816065728664
codecontests_java_7,develop_answer,develop,answer,-3.4375,0.0,-3.4375,False,True,0.012755954638123512,0.03282296657562256
apps_python_8,write_file,write,file,0.0,-1.9921875,1.9921875,True,False,0.030618859454989433,0.006816493812948465
apps_python_8,write_answer,write,answer,-0.0849609375,-1.71875,1.6337890625,True,False,0.0270263459533453,0.02174258790910244
apps_python_8,develop_file,develop,file,-2.03125,-0.306640625,-1.724609375,False,True,0.018847547471523285,0.008475695736706257
apps_python_8,develop_answer,develop,answer,-5.71875,0.0,-5.71875,False,True,0.016893524676561356,0.02704746276140213
apps_python_9,write_file,write,file,0.0,-4.03125,4.03125,True,False,0.026329202577471733,0.00989063736051321
apps_python_9,write_answer,write,answer,-0.69140625,-0.71875,0.02734375,False,True,0.023300550878047943,0.031675901263952255
apps_python_9,develop_file,develop,file,-1.296875,-0.9765625,-0.3203125,False,True,0.016662880778312683,0.01208165567368269
apps_python_9,develop_answer,develop,answer,-7.0625,0.0,-7.0625,False,True,0.01418819185346365,0.038870275020599365
codecontests_cpp_9,write_file,write,file,0.0,-3.046875,3.046875,True,False,0.030167436227202415,0.01138604711741209
codecontests_cpp_9,write_answer,write,answer,-0.69140625,-0.5546875,-0.13671875,False,True,0.02847677282989025,0.02706356905400753
codecontests_cpp_9,develop_file,develop,file,-4.4375,-0.06298828125,-4.37451171875,False,True,0.019160449504852295,0.012331032194197178
codecontests_cpp_9,develop_answer,develop,answer,-7.1875,0.0,-7.1875,False,True,0.017224373295903206,0.03438842296600342
