head,variant,span,attn_mass_median,attn_density_median,n_tokens_median
L16H8,clean,file_target,0.01818383950740099,0.009091919753700495,2.0
L16H8,clean,function_body_anchor,0.05555382929742336,0.02777691464871168,2.0
L16H8,clean,lead_phrase,0.007323642959818244,0.0027057745028287172,2.0
L16H8,clean,tail_suffix,0.14041414856910706,0.012764922808855772,11.0
L16H8,clean,task_body,0.14350726455450058,0.0018932956154458225,75.0
L16H8,corrupt,file_target,0.021647058427333832,0.010823529213666916,2.0
L16H8,corrupt,function_body_anchor,0.08807789534330368,0.04403894767165184,2.0
L16H8,corrupt,lead_phrase,0.007264803163707256,0.002796621061861515,2.0
L16H8,corrupt,tail_suffix,0.1327473595738411,0.012066063936799765,11.0
L16H8,corrupt,task_body,0.1652803272008896,0.0022522928193211555,75.0
L17H2,clean,file_target,0.008857781998813152,0.004428890999406576,2.0
L17H2,clean,function_body_anchor,0.014480162411928177,0.0072400812059640884,2.0
L17H2,clean,lead_phrase,0.007585701299831271,0.0025916467420756817,2.0
L17H2,clean,tail_suffix,0.04921680502593517,0.00447316630743444,11.0
L17H2,clean,task_body,0.10139933601021767,0.0013699906412512064,75.0
L17H2,corrupt,file_target,0.012967814225703478,0.006483907112851739,2.0
L17H2,corrupt,function_body_anchor,0.02084406279027462,0.01042203139513731,2.0
L17H2,corrupt,lead_phrase,0.009986264165490866,0.0035723154433071613,2.0
L17H2,corrupt,tail_suffix,0.06916821375489235,0.006288019474595785,11.0
L17H2,corrupt,task_body,0.1192312017083168,0.0016337797860614955,75.0
L17H8,clean,file_target,0.010947285685688257,0.005473642842844129,2.0
L17H8,clean,function_body_anchor,0.011312584392726421,0.005656292196363211,2.0
L17H8,clean,lead_phrase,0.006528124678879976,0.0024303996469825506,2.0
L17H8,clean,tail_suffix,0.08971986919641495,0.008154732640832663,11.0
L17H8,clean,task_body,0.08494007959961891,0.00100692396517843,75.0
L17H8,corrupt,file_target,0.018617508932948112,0.009308754466474056,2.0
L17H8,corrupt,function_body_anchor,0.015463680028915405,0.007731840014457703,2.0
L17H8,corrupt,lead_phrase,0.012103396467864513,0.0043866808991879225,2.0
L17H8,corrupt,tail_suffix,0.10092484951019287,0.009174986276775599,11.0
L17H8,corrupt,task_body,0.09897496551275253,0.0011927834711968899,75.0
L20H5,clean,file_target,0.07557807862758636,0.03778903931379318,2.0
L20H5,clean,function_body_anchor,0.022132775746285915,0.011066387873142958,2.0
L20H5,clean,lead_phrase,0.0004234512452967465,0.00015555760910501704,2.0
L20H5,clean,tail_suffix,0.044364385306835175,0.004033125936985016,11.0
L20H5,clean,task_body,0.04598651081323624,0.0006200353091116995,75.0
L20H5,corrupt,file_target,0.10305687412619591,0.051528437063097954,2.0
L20H5,corrupt,function_body_anchor,0.08488594368100166,0.04244297184050083,2.0
L20H5,corrupt,lead_phrase,0.0004418875905685127,0.00015238405467243865,2.0
L20H5,corrupt,tail_suffix,0.06948871165513992,0.006317155668511987,11.0
L20H5,corrupt,task_body,0.08116066455841064,0.0010716432007029653,75.0
L2H14,clean,file_target,0.01693645305931568,0.00846822652965784,2.0
L2H14,clean,function_body_anchor,0.010980515740811825,0.005490257870405912,2.0
L2H14,clean,lead_phrase,0.05187585949897766,0.016067360527813435,2.0
L2H14,clean,tail_suffix,0.07631462812423706,0.0069376933388412,11.0
L2H14,clean,task_body,0.1328500434756279,0.0016134382458403707,75.0
L2H14,corrupt,file_target,0.015843099914491177,0.007921549957245588,2.0
L2H14,corrupt,function_body_anchor,0.010065573267638683,0.005032786633819342,2.0
L2H14,corrupt,lead_phrase,0.10789648070931435,0.040197912603616714,2.0
L2H14,corrupt,tail_suffix,0.0747123584151268,0.0067904130555689335,11.0
L2H14,corrupt,task_body,0.12238209322094917,0.0015225967508740723,75.0
