sample_id,head,variant,rank,pos,token,attn
apps_python_1,L2H14,clean,1,18, query,0.0775856077671051
apps_python_1,L2H14,clean,2,225,\n\n,0.04854261875152588
apps_python_1,L2H14,clean,3,220,assistant,0.04071587324142456
apps_python_1,L2H14,clean,4,38,"{""",0.03618424013257027
apps_python_1,L2H14,clean,5,8, call,0.028381584212183952
apps_python_1,L2H14,corrupt,1,18, query,0.07293092459440231
apps_python_1,L2H14,corrupt,2,225,\n\n,0.04685896262526512
apps_python_1,L2H14,corrupt,3,137, the,0.04240480065345764
apps_python_1,L2H14,corrupt,4,220,assistant,0.03792589157819748
apps_python_1,L2H14,corrupt,5,38,"{""",0.03432784974575043
apps_python_1,L16H8,clean,1,221,\n,0.11623222380876541
apps_python_1,L16H8,clean,2,143, based,0.10704772174358368
apps_python_1,L16H8,clean,3,218,\n,0.05568438395857811
apps_python_1,L16H8,clean,4,216,\n,0.04101674631237984
apps_python_1,L16H8,clean,5,225,\n\n,0.03177233412861824
apps_python_1,L16H8,corrupt,1,221,\n,0.11133604496717453
apps_python_1,L16H8,corrupt,2,218,\n,0.049792420119047165
apps_python_1,L16H8,corrupt,3,143, based,0.04625380411744118
apps_python_1,L16H8,corrupt,4,225,\n\n,0.042738914489746094
apps_python_1,L16H8,corrupt,5,138, function,0.040982507169246674
apps_python_1,L17H2,clean,1,0,<|im_start|>,0.12829504907131195
apps_python_1,L17H2,clean,2,221,\n,0.05673211067914963
apps_python_1,L17H2,clean,3,223,\n\n,0.05558119714260101
apps_python_1,L17H2,clean,4,225,\n\n,0.05511469766497612
apps_python_1,L17H2,clean,5,130,\n,0.04280771687626839
apps_python_1,L17H2,corrupt,1,0,<|im_start|>,0.15234902501106262
apps_python_1,L17H2,corrupt,2,223,\n\n,0.07836924493312836
apps_python_1,L17H2,corrupt,3,225,\n\n,0.05548384413123131
apps_python_1,L17H2,corrupt,4,130,\n,0.0338594876229763
apps_python_1,L17H2,corrupt,5,221,\n,0.033116988837718964
apps_python_1,L17H8,clean,1,0,<|im_start|>,0.16017578542232513
apps_python_1,L17H8,clean,2,221,\n,0.05512068420648575
apps_python_1,L17H8,clean,3,130,\n,0.03319506347179413
apps_python_1,L17H8,clean,4,225,\n\n,0.0301408302038908
apps_python_1,L17H8,clean,5,85,}},0.02249005250632763
apps_python_1,L17H8,corrupt,1,0,<|im_start|>,0.20604586601257324
apps_python_1,L17H8,corrupt,2,221,\n,0.035946331918239594
apps_python_1,L17H8,corrupt,3,225,\n\n,0.03305242955684662
apps_python_1,L17H8,corrupt,4,85,}},0.024256786331534386
apps_python_1,L17H8,corrupt,5,47,write,0.02307554893195629
apps_python_1,L20H5,clean,1,29,></,0.20127417147159576
