head,variant,rank,token,count,attn_median
L16H8,clean,1, ,4,0.06655912846326828
L16H8,clean,1, //,1,0.04628194123506546
L16H8,clean,1, based,359,0.07539688050746918
L16H8,clean,1, body,2,0.0651477538049221
L16H8,clean,1, call,13,0.05020395293831825
L16H8,clean,1, fib,1,0.06767123192548752
L16H8,clean,1, function,94,0.062413595616817474
L16H8,clean,1, pass,1,0.06464192271232605
L16H8,clean,1, {\n,13,0.05173441022634506
L16H8,clean,1,"."",""",1,0.05204189941287041
L16H8,clean,1,\n,1072,0.06784176453948021
L16H8,clean,1,_D,1,0.09829346090555191
L16H8,clean,1,}\n,160,0.0653136670589447
L16H8,clean,2, ,2,0.059632088989019394
L16H8,clean,2,   ,3,0.06434038281440735
L16H8,clean,2, //,2,0.042457880452275276
L16H8,clean,2, arr,1,0.0732504352927208
L16H8,clean,2, based,552,0.05486130900681019
L16H8,clean,2, body,18,0.04764264263212681
L16H8,clean,2, call,188,0.04746143892407417
L16H8,clean,2, function,240,0.05319924280047417
L16H8,clean,2, {\n,30,0.04733649827539921
L16H8,clean,2,""",""",1,0.04896776005625725
L16H8,clean,2,"."",""",1,0.039432961493730545
L16H8,clean,2,0,1,0.056084033101797104
L16H8,clean,2,2,1,0.05511696636676788
L16H8,clean,2,:\n,21,0.043773043900728226
L16H8,clean,2,<|im_start|>,3,0.040732745081186295
L16H8,clean,2,\n,455,0.059737544506788254
L16H8,clean,2,\n\n,1,0.03999760001897812
L16H8,clean,2,st,1,0.06756240129470825
L16H8,clean,2,}\n,201,0.04828324913978577
L16H8,clean,3, ,4,0.04613332264125347
L16H8,clean,3,   ,8,0.04569375887513161
L16H8,clean,3," """";\n",1,0.03528823330998421
L16H8,clean,3, //,3,0.03958776593208313
L16H8,clean,3, and,8,0.04484962299466133
L16H8,clean,3, based,234,0.0449613593518734
L16H8,clean,3, body,36,0.04476184397935867
L16H8,clean,3, call,298,0.04266328737139702
L16H8,clean,3, function,305,0.045293793082237244
L16H8,clean,3, on,2,0.04830999672412872
L16H8,clean,3, pass,6,0.05034148506820202
L16H8,clean,3, {\n,24,0.0386463887989521
L16H8,clean,3,""",""",4,0.03679569251835346
L16H8,clean,3,""":""",7,0.04087837040424347
L16H8,clean,3,"."",""",5,0.040083978325128555
L16H8,clean,3,.cpp,1,0.0407070592045784
L16H8,clean,3,.py,1,0.04027170687913895
L16H8,clean,3,1,1,0.04309779778122902
L16H8,clean,3,:\n,84,0.042773693799972534
L16H8,clean,3,</,3,0.04222826287150383
L16H8,clean,3,<|im_start|>,15,0.036407921463251114
L16H8,clean,3,\n,365,0.04985436424612999
L16H8,clean,3,\n\n,5,0.039799436926841736
L16H8,clean,3,static,1,0.04023208096623421
L16H8,clean,3,}\n,301,0.04361047223210335
L16H8,clean,4, ,2,0.043400926515460014
L16H8,clean,4,   ,13,0.04341859370470047
L16H8,clean,4, //,7,0.035517796874046326
L16H8,clean,4, and,9,0.038101714104413986
L16H8,clean,4, based,167,0.03929656371474266
L16H8,clean,4, body,34,0.039325252175331116
L16H8,clean,4, call,236,0.0384250283241272
L16H8,clean,4, function,329,0.03841434046626091
L16H8,clean,4, on,7,0.03879041224718094
L16H8,clean,4, pass,11,0.0451510064303875
L16H8,clean,4, {\n,47,0.03516462817788124
L16H8,clean,4,""",""",13,0.03259790316224098
L16H8,clean,4,""":""",13,0.03947075456380844
L16H8,clean,4,",",1,0.03756185993552208
L16H8,clean,4,"."",""",10,0.04390193894505501
L16H8,clean,4,.cpp,1,0.03610925376415253
L16H8,clean,4,.py,4,0.04596543125808239
L16H8,clean,4,1,1,0.03899610787630081
L16H8,clean,4,2,1,0.038556646555662155
L16H8,clean,4,4,1,0.04841097816824913
L16H8,clean,4,:\n,153,0.038576673716306686
L16H8,clean,4,</,9,0.03172970935702324
L16H8,clean,4,<|im_start|>,55,0.0335674062371254
L16H8,clean,4,Bo,1,0.043067749589681625
L16H8,clean,4,\n,280,0.044601982459425926
L16H8,clean,4,\n\n,14,0.03468472883105278
L16H8,clean,4,static,2,0.03557758592069149
L16H8,clean,4,}\n,301,0.03894008696079254
