sample_id,node,rank,token,logit_delta,tool_token_delta,distractor_token_delta
apps_python_1,MLP11,1,_CSV,1.2265625,0.5,-0.875
apps_python_1,MLP11,2,.createTextNode,1.203125,0.5,-0.875
apps_python_1,MLP11,3, SqlParameter,1.1796875,0.5,-0.875
apps_python_1,MLP11,4,häuser,1.140625,0.5,-0.875
apps_python_1,MLP11,5,[Byte,1.125,0.5,-0.875
apps_python_1,MLP16,1, τ,2.40625,1.625,-3.5
apps_python_1,MLP16,2,""":[""",2.296875,1.625,-3.5
apps_python_1,MLP16,3,扺,2.25,1.625,-3.5
apps_python_1,MLP16,4, Json,2.25,1.625,-3.5
apps_python_1,MLP16,5, SqlParameter,2.15625,1.625,-3.5
apps_python_1,MLP19,1,_CSV,2.46875,1.125,-1.875
apps_python_1,MLP19,2,(Arrays,2.015625,1.125,-1.875
apps_python_1,MLP19,3, τ,1.984375,1.125,-1.875
apps_python_1,MLP19,4, CSV,1.96875,1.125,-1.875
apps_python_1,MLP19,5, ∧,1.9375,1.125,-1.875
codecontests_cpp_1,MLP11,1,我们需要,1.234375,-0.625,0.5
codecontests_cpp_1,MLP11,2,Ub,1.140625,-0.625,0.5
codecontests_cpp_1,MLP11,3,nP,1.125,-0.625,0.5
codecontests_cpp_1,MLP11,4, ned,1.078125,-0.625,0.5
codecontests_cpp_1,MLP11,5,hed,1.078125,-0.625,0.5
codecontests_cpp_1,MLP16,1,<tool_call>,2.375,2.375,-3.0
codecontests_cpp_1,MLP16,2, percentages,2.34375,2.375,-3.0
codecontests_cpp_1,MLP16,3,-dismiss,2.3125,2.375,-3.0
codecontests_cpp_1,MLP16,4,呈,2.171875,2.375,-3.0
codecontests_cpp_1,MLP16,5, roofs,2.140625,2.375,-3.0
codecontests_cpp_1,MLP19,1,.CheckBox,2.34375,2.125,-2.125
codecontests_cpp_1,MLP19,2,MouseClicked,2.3125,2.125,-2.125
codecontests_cpp_1,MLP19,3, percentages,2.25,2.125,-2.125
codecontests_cpp_1,MLP19,4, τ,2.1875,2.125,-2.125
codecontests_cpp_1,MLP19,5,-Headers,2.125,2.125,-2.125
codecontests_java_1,MLP11,1,<tool_call>,3.1875,3.1875,-3.125
codecontests_java_1,MLP11,2,opup,2.625,3.1875,-3.125
codecontests_java_1,MLP11,3, corners,2.46875,3.1875,-3.125
codecontests_java_1,MLP11,4,.Dict,2.375,3.1875,-3.125
codecontests_java_1,MLP11,5, lắm,2.34375,3.1875,-3.125
codecontests_java_1,MLP16,1,<tool_call>,3.3125,3.3125,-4.25
codecontests_java_1,MLP16,2,opup,2.9375,3.3125,-4.25
codecontests_java_1,MLP16,3,าะ,2.875,3.3125,-4.25
codecontests_java_1,MLP16,4,้น,2.71875,3.3125,-4.25
codecontests_java_1,MLP16,5,扺,2.5625,3.3125,-4.25
codecontests_java_1,MLP19,1,<tool_call>,3.4375,3.4375,-3.625
codecontests_java_1,MLP19,2, lắm,3.15625,3.4375,-3.625
codecontests_java_1,MLP19,3,.Button,3.140625,3.4375,-3.625
