sample_id,head,family,component,rescue_ratio,decision_score,top1_success
apps_python_1,L20H5,tool,q,0.06787330316742081,-3.216949462890625,False
apps_python_1,L20H5,tool,k,-0.004524886877828055,-3.4672393798828125,False
apps_python_1,L20H5,tool,v,0.0,-3.4526844024658203,False
apps_python_1,L20H5,tool,z,0.0,-3.4525108337402344,False
apps_python_1,L21H1,tool,q,0.6561085972850679,-0.99609375,False
apps_python_1,L21H1,tool,k,0.0,-3.45233154296875,False
apps_python_1,L21H1,tool,v,-0.03167420814479638,-3.5613250732421875,False
apps_python_1,L21H1,tool,z,0.6266968325791855,-1.123046875,False
apps_python_1,L21H12,tool,q,0.5180995475113123,-1.57373046875,False
apps_python_1,L21H12,tool,k,0.0,-3.452564239501953,False
apps_python_1,L21H12,tool,v,0.03619909502262444,-3.327404022216797,False
apps_python_1,L21H12,tool,z,0.45701357466063347,-1.81103515625,False
apps_python_1,L24H6,tool,q,0.5769230769230769,-1.3359375,False
apps_python_1,L24H6,tool,k,0.0,-3.452228546142578,False
apps_python_1,L24H6,tool,v,0.03619909502262444,-3.327737808227539,False
apps_python_1,L24H6,tool,z,0.5475113122171946,-1.45703125,False
apps_python_1,L16H4,no_tool,q,0.03763440860215054,-2.7961387634277344,False
apps_python_1,L16H4,no_tool,k,0.0,-2.9061813354492188,False
apps_python_1,L16H4,no_tool,v,0.08064516129032258,-2.670166015625,False
apps_python_1,L16H4,no_tool,z,0.11827956989247312,-2.5584716796875,False
apps_python_1,L23H6,no_tool,q,0.03763440860215054,-2.7961654663085938,False
apps_python_1,L23H6,no_tool,k,0.03763440860215054,-2.7959938049316406,False
apps_python_1,L23H6,no_tool,v,0.0,-2.9062132835388184,False
apps_python_1,L23H6,no_tool,z,0.3763440860215054,-1.759521484375,False
codecontests_cpp_1,L20H5,tool,q,0.21226415094339623,-5.2154693603515625,False
codecontests_cpp_1,L20H5,tool,k,-0.014150943396226415,-6.7177581787109375,False
codecontests_cpp_1,L20H5,tool,v,-0.0330188679245283,-6.843315124511719,False
codecontests_cpp_1,L20H5,tool,z,0.4716981132075472,-3.4720458984375,False
codecontests_cpp_1,L21H1,tool,q,0.7783018867924528,-1.208984375,False
codecontests_cpp_1,L21H1,tool,k,-0.0330188679245283,-6.842498779296875,False
codecontests_cpp_1,L21H1,tool,v,-0.0330188679245283,-6.843238830566406,False
codecontests_cpp_1,L21H1,tool,z,0.8443396226415094,-0.595703125,False
codecontests_cpp_1,L21H12,tool,q,0.8466981132075472,-0.564453125,False
codecontests_cpp_1,L21H12,tool,k,0.0047169811320754715,-6.593585968017578,False
codecontests_cpp_1,L21H12,tool,v,-0.014150943396226415,-6.7181243896484375,False
codecontests_cpp_1,L21H12,tool,z,0.8466981132075472,-0.564453125,False
codecontests_cpp_1,L24H6,tool,q,0.5754716981132075,-2.750732421875,False
codecontests_cpp_1,L24H6,tool,k,-0.014150943396226415,-6.7182159423828125,False
codecontests_cpp_1,L24H6,tool,v,-0.018867924528301886,-6.749868392944336,False
codecontests_cpp_1,L24H6,tool,z,0.5778301886792453,-2.734619140625,False
codecontests_cpp_1,L16H4,no_tool,q,-0.015151515151515152,-6.281235039234161,False
codecontests_cpp_1,L16H4,no_tool,k,-0.015151515151515152,-6.281234502792358,False
codecontests_cpp_1,L16H4,no_tool,v,0.045454545454545456,-5.906095504760742,False
codecontests_cpp_1,L16H4,no_tool,z,0.10606060606060606,-5.530670166015625,False
codecontests_cpp_1,L23H6,no_tool,q,-0.04040404040404041,-6.437425136566162,False
codecontests_cpp_1,L23H6,no_tool,k,-0.04040404040404041,-6.4374401569366455,False
codecontests_cpp_1,L23H6,no_tool,v,-0.020202020202020204,-6.312478423118591,False
codecontests_cpp_1,L23H6,no_tool,z,0.15151515151515152,-5.248649597167969,False
codecontests_java_1,L20H5,tool,q,0.1921182266009852,-10.24798583984375,False
codecontests_java_1,L20H5,tool,k,0.024630541871921183,-12.375268936157227,False
codecontests_java_1,L20H5,tool,v,0.024630541871921183,-12.374351501464844,False
codecontests_java_1,L20H5,tool,z,0.32019704433497537,-8.62054443359375,False
codecontests_java_1,L21H1,tool,q,0.5812807881773399,-5.275390625,False
codecontests_java_1,L21H1,tool,k,0.024630541871921183,-12.373878479003906,False
codecontests_java_1,L21H1,tool,v,-0.009852216748768473,-12.812864303588867,False
codecontests_java_1,L21H1,tool,z,0.6600985221674877,-4.257080078125,False
codecontests_java_1,L21H12,tool,q,0.9230295566502463,-0.40625,False
codecontests_java_1,L21H12,tool,k,0.0,-12.686958312988281,False
codecontests_java_1,L21H12,tool,v,0.03940886699507389,-12.186607360839844,False
codecontests_java_1,L21H12,tool,z,0.9227216748768473,-0.40625,False
codecontests_java_1,L24H6,tool,q,0.6822660098522167,-3.97998046875,False
codecontests_java_1,L24H6,tool,k,0.019704433497536946,-12.436080932617188,False
codecontests_java_1,L24H6,tool,v,0.014778325123152709,-12.498664855957031,False
codecontests_java_1,L24H6,tool,z,0.6748768472906403,-4.071044921875,False
codecontests_java_1,L16H4,no_tool,q,0.013636363636363636,-6.781240344047546,False
codecontests_java_1,L16H4,no_tool,k,0.01818181818181818,-6.749993532896042,False
codecontests_java_1,L16H4,no_tool,v,0.09545454545454546,-6.218400955200195,False
codecontests_java_1,L16H4,no_tool,z,0.32272727272727275,-4.648529052734375,False
codecontests_java_1,L23H6,no_tool,q,0.01818181818181818,-6.74999475479126,False
