head,family,span,rescue_ratio_median,top1_rate
L16H4,no_tool,file_target,0.0,0.0
L16H4,no_tool,function_body_anchor,0.004842643403217484,0.0005807200929152149
L16H4,no_tool,lead_phrase,0.0,0.0005807200929152149
L16H4,no_tool,tail_suffix,0.007783161720169594,0.0005807200929152149
L16H4,no_tool,task_body,0.022099447513812154,0.0005807200929152149
L20H5,tool,file_target,0.023529411764705882,0.0
L20H5,tool,function_body_anchor,0.03790626069107082,0.0
L20H5,tool,lead_phrase,0.0,0.0
L20H5,tool,tail_suffix,0.005102173630092412,0.0
L20H5,tool,task_body,0.006578947368421052,0.0
L21H1,tool,file_target,0.0,0.0
L21H1,tool,function_body_anchor,0.0,0.0
L21H1,tool,lead_phrase,0.0,0.0
L21H1,tool,tail_suffix,0.0,0.0
L21H1,tool,task_body,-0.028388942617666023,0.0
L21H12,tool,file_target,0.0,0.0
L21H12,tool,function_body_anchor,0.0,0.0
L21H12,tool,lead_phrase,0.0,0.0
L21H12,tool,tail_suffix,0.014134452102687045,0.0
L21H12,tool,task_body,0.0,0.0
L23H6,no_tool,file_target,0.0,0.0
L23H6,no_tool,function_body_anchor,0.0,0.0
L23H6,no_tool,lead_phrase,0.0,0.0
L23H6,no_tool,tail_suffix,0.0,0.0
L23H6,no_tool,task_body,0.0,0.0005807200929152149
L24H6,tool,file_target,0.0,0.0
L24H6,tool,function_body_anchor,0.0,0.0
L24H6,tool,lead_phrase,0.0,0.0
L24H6,tool,tail_suffix,0.0,0.0
L24H6,tool,task_body,0.0,0.0
