sample_id,head,family,rank,pos,token,attn
apps_python_1,L20H5,tool,1,29,></,0.17997591197490692
apps_python_1,L20H5,tool,2,142,.py,0.11376297473907471
apps_python_1,L20H5,tool,3,224,</think>,0.07463248819112778
apps_python_1,L20H5,tool,4,27, <,0.06489886343479156
apps_python_1,L20H5,tool,5,150,str,0.06098230928182602
apps_python_1,L21H1,tool,1,0,<|im_start|>,0.6531242728233337
apps_python_1,L21H1,tool,2,112,\n,0.08419670909643173
apps_python_1,L21H1,tool,3,156,def,0.026348834857344627
apps_python_1,L21H1,tool,4,225,\n\n,0.014226702041924
apps_python_1,L21H1,tool,5,113,"{""",0.014071688055992126
apps_python_1,L21H12,tool,1,112,\n,0.3135242462158203
apps_python_1,L21H12,tool,2,0,<|im_start|>,0.06517183035612106
apps_python_1,L21H12,tool,3,5,\n\n,0.041176289319992065
apps_python_1,L21H12,tool,4,38,"{""",0.03864235058426857
apps_python_1,L21H12,tool,5,89,>\n\n,0.03697356954216957
apps_python_1,L24H6,tool,1,106,<tool_call>,0.5301123857498169
apps_python_1,L24H6,tool,2,0,<|im_start|>,0.21935541927814484
apps_python_1,L24H6,tool,3,111,<tool_call>,0.12521867454051971
apps_python_1,L24H6,tool,4,131,<|im_start|>,0.025147169828414917
apps_python_1,L24H6,tool,5,107,</tool_call>,0.011355415917932987
apps_python_1,L16H4,no_tool,1,221,\n,0.17441657185554504
apps_python_1,L16H4,no_tool,2,0,<|im_start|>,0.16017059981822968
apps_python_1,L16H4,no_tool,3,216,\n,0.11606532335281372
apps_python_1,L16H4,no_tool,4,218,\n,0.04955185949802399
apps_python_1,L16H4,no_tool,5,147, definition,0.0480743944644928
apps_python_1,L23H6,no_tool,1,225,\n\n,0.565941333770752
apps_python_1,L23H6,no_tool,2,0,<|im_start|>,0.33241939544677734
apps_python_1,L23H6,no_tool,3,223,\n\n,0.019423654302954674
apps_python_1,L23H6,no_tool,4,224,</think>,0.010483243502676487
apps_python_1,L23H6,no_tool,5,215, pass,0.005384374409914017
codecontests_cpp_1,L20H5,tool,1,138, body,0.16246451437473297
codecontests_cpp_1,L20H5,tool,2,29,></,0.11990319937467575
codecontests_cpp_1,L20H5,tool,3,141,.cpp,0.11874894797801971
codecontests_cpp_1,L20H5,tool,4,243,}\n,0.07203930616378784
codecontests_cpp_1,L20H5,tool,5,251,</think>,0.03585779666900635
codecontests_cpp_1,L21H1,tool,1,0,<|im_start|>,0.5260941386222839
codecontests_cpp_1,L21H1,tool,2,112,\n,0.05906909331679344
codecontests_cpp_1,L21H1,tool,3,223,::,0.021476667374372482
codecontests_cpp_1,L21H1,tool,4,27, <,0.02045750431716442
codecontests_cpp_1,L21H1,tool,5,226,(const,0.017902499064803123
codecontests_cpp_1,L21H12,tool,1,112,\n,0.1983746886253357
codecontests_cpp_1,L21H12,tool,2,0,<|im_start|>,0.05212561786174774
codecontests_cpp_1,L21H12,tool,3,5,\n\n,0.050339747220277786
codecontests_cpp_1,L21H12,tool,4,30,tools,0.047963570803403854
codecontests_cpp_1,L21H12,tool,5,28,tools,0.04557529836893082
codecontests_cpp_1,L24H6,tool,1,106,<tool_call>,0.4753544330596924
codecontests_cpp_1,L24H6,tool,2,0,<|im_start|>,0.24612122774124146
codecontests_cpp_1,L24H6,tool,3,111,<tool_call>,0.11430897563695908
codecontests_cpp_1,L24H6,tool,4,38,"{""",0.02414608560502529
codecontests_cpp_1,L24H6,tool,5,131,<|im_start|>,0.02107718400657177
codecontests_cpp_1,L16H4,no_tool,1,248,\n,0.4380156099796295
codecontests_cpp_1,L16H4,no_tool,2,0,<|im_start|>,0.08626947551965714
codecontests_cpp_1,L16H4,no_tool,3,245,\n,0.06561032682657242
codecontests_cpp_1,L16H4,no_tool,4,243,}\n,0.0471755787730217
codecontests_cpp_1,L16H4,no_tool,5,232,),0.03258318454027176
codecontests_cpp_1,L23H6,no_tool,1,252,\n\n,0.4895480275154114
codecontests_cpp_1,L23H6,no_tool,2,0,<|im_start|>,0.3865323066711426
codecontests_cpp_1,L23H6,no_tool,3,250,\n\n,0.03671441972255707
codecontests_cpp_1,L23H6,no_tool,4,243,}\n,0.009109496138989925
codecontests_cpp_1,L23H6,no_tool,5,251,</think>,0.007811242714524269
codecontests_java_1,L20H5,tool,1,29,></,0.09967333823442459
codecontests_java_1,L20H5,tool,2,245,</think>,0.09406251460313797
codecontests_java_1,L20H5,tool,3,137, body,0.079491525888443
codecontests_java_1,L20H5,tool,4,0,<|im_start|>,0.0786159411072731
codecontests_java_1,L20H5,tool,5,237,}\n,0.07163745164871216
codecontests_java_1,L21H1,tool,1,0,<|im_start|>,0.4841283857822418
codecontests_java_1,L21H1,tool,2,221,static,0.11741454899311066
codecontests_java_1,L21H1,tool,3,112,\n,0.033952660858631134
codecontests_java_1,L21H1,tool,4,222, String,0.02706369198858738
codecontests_java_1,L21H1,tool,5,227, {\n,0.014781855046749115
codecontests_java_1,L21H12,tool,1,112,\n,0.12616093456745148
codecontests_java_1,L21H12,tool,2,0,<|im_start|>,0.08105769753456116
codecontests_java_1,L21H12,tool,3,5,\n\n,0.06794068962335587
codecontests_java_1,L21H12,tool,4,28,tools,0.06589221954345703
codecontests_java_1,L21H12,tool,5,30,tools,0.04181938245892525
codecontests_java_1,L24H6,tool,1,0,<|im_start|>,0.4119624197483063
codecontests_java_1,L24H6,tool,2,106,<tool_call>,0.2729894518852234
codecontests_java_1,L24H6,tool,3,111,<tool_call>,0.08100347965955734
codecontests_java_1,L24H6,tool,4,131,<|im_start|>,0.03465687111020088
codecontests_java_1,L24H6,tool,5,1,system,0.020978838205337524
codecontests_java_1,L16H4,no_tool,1,242,\n,0.3023459017276764
codecontests_java_1,L16H4,no_tool,2,0,<|im_start|>,0.10789825022220612
codecontests_java_1,L16H4,no_tool,3,239,\n,0.05956371873617172
codecontests_java_1,L16H4,no_tool,4,150,:\n,0.04674915596842766
codecontests_java_1,L16H4,no_tool,5,237,}\n,0.03201014921069145
codecontests_java_1,L23H6,no_tool,1,246,\n\n,0.4955342411994934
codecontests_java_1,L23H6,no_tool,2,0,<|im_start|>,0.35364285111427307
codecontests_java_1,L23H6,no_tool,3,244,\n\n,0.06281940639019012
codecontests_java_1,L23H6,no_tool,4,112,\n,0.007567503955215216
codecontests_java_1,L23H6,no_tool,5,237,}\n,0.007470415439456701
mbpp_python_1,L20H5,tool,1,142,.py,0.15493787825107574
mbpp_python_1,L20H5,tool,2,301,</think>,0.12435997277498245
mbpp_python_1,L20H5,tool,3,29,></,0.12382777035236359
mbpp_python_1,L20H5,tool,4,139, body,0.08840394765138626
mbpp_python_1,L20H5,tool,5,0,<|im_start|>,0.0451454296708107
mbpp_python_1,L21H1,tool,1,0,<|im_start|>,0.544296383857727
mbpp_python_1,L21H1,tool,2,112,\n,0.0865071564912796
mbpp_python_1,L21H1,tool,3,153,def,0.028727751225233078
mbpp_python_1,L21H1,tool,4,106,<tool_call>,0.0211038775742054
mbpp_python_1,L21H1,tool,5,142,.py,0.02030804380774498
mbpp_python_1,L21H12,tool,1,112,\n,0.22774678468704224
mbpp_python_1,L21H12,tool,2,0,<|im_start|>,0.0964752733707428
mbpp_python_1,L21H12,tool,3,300,\n\n,0.04701128974556923
mbpp_python_1,L21H12,tool,4,30,tools,0.03702189773321152
mbpp_python_1,L21H12,tool,5,29,></,0.035350169986486435
mbpp_python_1,L24H6,tool,1,106,<tool_call>,0.5706457495689392
mbpp_python_1,L24H6,tool,2,0,<|im_start|>,0.15609335899353027
mbpp_python_1,L24H6,tool,3,111,<tool_call>,0.15109650790691376
mbpp_python_1,L24H6,tool,4,131,<|im_start|>,0.023225029930472374
mbpp_python_1,L24H6,tool,5,1,system,0.010516531765460968
mbpp_python_1,L16H4,no_tool,1,298,\n,0.2522839605808258
mbpp_python_1,L16H4,no_tool,2,0,<|im_start|>,0.1900748461484909
mbpp_python_1,L16H4,no_tool,3,293,\n,0.0784771665930748
mbpp_python_1,L16H4,no_tool,4,295,\n,0.05948609113693237
mbpp_python_1,L16H4,no_tool,5,290," """"""\n",0.052305739372968674
mbpp_python_1,L23H6,no_tool,1,0,<|im_start|>,0.4265569746494293
mbpp_python_1,L23H6,no_tool,2,302,\n\n,0.40697771310806274
mbpp_python_1,L23H6,no_tool,3,300,\n\n,0.031024644151329994
mbpp_python_1,L23H6,no_tool,4,112,\n,0.01747836358845234
mbpp_python_1,L23H6,no_tool,5,301,</think>,0.014099884778261185
codecontests_java_2,L20H5,tool,1,138, body,0.1692950278520584
codecontests_java_2,L20H5,tool,2,29,></,0.12943944334983826
codecontests_java_2,L20H5,tool,3,287,</think>,0.07597265392541885
codecontests_java_2,L20H5,tool,4,141,.java,0.06085972860455513
codecontests_java_2,L20H5,tool,5,0,<|im_start|>,0.05119675397872925
codecontests_java_2,L21H1,tool,1,0,<|im_start|>,0.4571740925312042
codecontests_java_2,L21H1,tool,2,263,static,0.14184072613716125
codecontests_java_2,L21H1,tool,3,112,\n,0.06034315377473831
codecontests_java_2,L21H1,tool,4,27, <,0.021951723843812943
codecontests_java_2,L21H1,tool,5,141,.java,0.01793399639427662
codecontests_java_2,L21H12,tool,1,112,\n,0.19096533954143524
codecontests_java_2,L21H12,tool,2,0,<|im_start|>,0.06274666637182236
codecontests_java_2,L21H12,tool,3,28,tools,0.05755734443664551
codecontests_java_2,L21H12,tool,4,5,\n\n,0.051367394626140594
codecontests_java_2,L21H12,tool,5,286,\n\n,0.046282023191452026
codecontests_java_2,L24H6,tool,1,106,<tool_call>,0.4271250069141388
codecontests_java_2,L24H6,tool,2,0,<|im_start|>,0.317163348197937
codecontests_java_2,L24H6,tool,3,111,<tool_call>,0.09609556198120117
codecontests_java_2,L24H6,tool,4,131,<|im_start|>,0.025093620643019676
codecontests_java_2,L24H6,tool,5,38,"{""",0.015455633401870728
codecontests_java_2,L16H4,no_tool,1,284,\n,0.31866687536239624
codecontests_java_2,L16H4,no_tool,2,267, input,0.10740560293197632
codecontests_java_2,L16H4,no_tool,3,0,<|im_start|>,0.1041845977306366
codecontests_java_2,L16H4,no_tool,4,275,\n,0.06094992160797119
codecontests_java_2,L16H4,no_tool,5,281,\n,0.05156577378511429
codecontests_java_2,L23H6,no_tool,1,288,\n\n,0.4057183861732483
codecontests_java_2,L23H6,no_tool,2,0,<|im_start|>,0.39918723702430725
codecontests_java_2,L23H6,no_tool,3,286,\n\n,0.045443132519721985
codecontests_java_2,L23H6,no_tool,4,279,}\n,0.013356918469071388
codecontests_java_2,L23H6,no_tool,5,287,</think>,0.012085328809916973
codecontests_cpp_3,L20H5,tool,1,29,></,0.13405299186706543
codecontests_cpp_3,L20H5,tool,2,140,.cpp,0.12350258976221085
codecontests_cpp_3,L20H5,tool,3,137, body,0.07617580890655518
codecontests_cpp_3,L20H5,tool,4,0,<|im_start|>,0.051988229155540466
codecontests_cpp_3,L20H5,tool,5,243,</think>,0.0511724129319191
codecontests_cpp_3,L21H1,tool,1,0,<|im_start|>,0.4844692349433899
codecontests_cpp_3,L21H1,tool,2,112,\n,0.05240567401051521
codecontests_cpp_3,L21H1,tool,3,215,::,0.03981490060687065
codecontests_cpp_3,L21H1,tool,4,218,(const,0.03218917176127434
codecontests_cpp_3,L21H1,tool,5,38,"{""",0.024019600823521614
codecontests_cpp_3,L21H12,tool,1,112,\n,0.19012069702148438
codecontests_cpp_3,L21H12,tool,2,28,tools,0.07983724027872086
codecontests_cpp_3,L21H12,tool,3,0,<|im_start|>,0.06881336867809296
codecontests_cpp_3,L21H12,tool,4,8, call,0.04318246990442276
codecontests_cpp_3,L21H12,tool,5,38,"{""",0.04193903133273125
codecontests_cpp_3,L24H6,tool,1,106,<tool_call>,0.5212147831916809
codecontests_cpp_3,L24H6,tool,2,0,<|im_start|>,0.1883898675441742
codecontests_cpp_3,L24H6,tool,3,111,<tool_call>,0.12360482662916183
codecontests_cpp_3,L24H6,tool,4,131,<|im_start|>,0.02571517787873745
codecontests_cpp_3,L24H6,tool,5,38,"{""",0.021486081182956696
codecontests_cpp_3,L16H4,no_tool,1,240,\n,0.27116674184799194
codecontests_cpp_3,L16H4,no_tool,2,0,<|im_start|>,0.14723198115825653
codecontests_cpp_3,L16H4,no_tool,3,237,\n,0.0709330290555954
codecontests_cpp_3,L16H4,no_tool,4,223, input,0.06318391859531403
codecontests_cpp_3,L16H4,no_tool,5,235,}\n,0.03746810555458069
codecontests_cpp_3,L23H6,no_tool,1,244,\n\n,0.45406728982925415
codecontests_cpp_3,L23H6,no_tool,2,0,<|im_start|>,0.3844970166683197
codecontests_cpp_3,L23H6,no_tool,3,242,\n\n,0.030356738716363907
codecontests_cpp_3,L23H6,no_tool,4,110,:\n,0.010428115725517273
codecontests_cpp_3,L23H6,no_tool,5,243,</think>,0.009526998735964298
codecontests_java_3,L20H5,tool,1,29,></,0.13434332609176636
codecontests_java_3,L20H5,tool,2,238,</think>,0.12268128246068954
codecontests_java_3,L20H5,tool,3,137, body,0.0855315551161766
codecontests_java_3,L20H5,tool,4,0,<|im_start|>,0.08292746543884277
codecontests_java_3,L20H5,tool,5,140,.java,0.04647060111165047
codecontests_java_3,L21H1,tool,1,0,<|im_start|>,0.519704282283783
codecontests_java_3,L21H1,tool,2,214,static,0.10625433176755905
codecontests_java_3,L21H1,tool,3,112,\n,0.03291448578238487
codecontests_java_3,L21H1,tool,4,220, {\n,0.015065169893205166
codecontests_java_3,L21H1,tool,5,151,/*\n,0.014915578998625278
codecontests_java_3,L21H12,tool,1,112,\n,0.18965038657188416
codecontests_java_3,L21H12,tool,2,5,\n\n,0.06070690229535103
codecontests_java_3,L21H12,tool,3,0,<|im_start|>,0.058385882526636124
codecontests_java_3,L21H12,tool,4,28,tools,0.050675369799137115
codecontests_java_3,L21H12,tool,5,38,"{""",0.047972213476896286
codecontests_java_3,L24H6,tool,1,0,<|im_start|>,0.38140255212783813
codecontests_java_3,L24H6,tool,2,106,<tool_call>,0.32804349064826965
codecontests_java_3,L24H6,tool,3,111,<tool_call>,0.08053039759397507
codecontests_java_3,L24H6,tool,4,131,<|im_start|>,0.046424828469753265
codecontests_java_3,L24H6,tool,5,1,system,0.01876675710082054
codecontests_java_3,L16H4,no_tool,1,235,\n,0.2789212465286255
codecontests_java_3,L16H4,no_tool,2,218, input,0.1380532681941986
codecontests_java_3,L16H4,no_tool,3,0,<|im_start|>,0.10697504878044128
codecontests_java_3,L16H4,no_tool,4,232,\n,0.057311564683914185
codecontests_java_3,L16H4,no_tool,5,219,),0.038355641067028046
codecontests_java_3,L23H6,no_tool,1,239,\n\n,0.4542846083641052
codecontests_java_3,L23H6,no_tool,2,0,<|im_start|>,0.40622785687446594
codecontests_java_3,L23H6,no_tool,3,237,\n\n,0.04761241003870964
codecontests_java_3,L23H6,no_tool,4,238,</think>,0.006676748860627413
codecontests_java_3,L23H6,no_tool,5,230,}\n,0.006652297917753458
apps_python_4,L20H5,tool,1,141,.py,0.2207680344581604
apps_python_4,L20H5,tool,2,29,></,0.11019075661897659
apps_python_4,L20H5,tool,3,138, body,0.1083652526140213
apps_python_4,L20H5,tool,4,149,string,0.07584358006715775
apps_python_4,L20H5,tool,5,238,</think>,0.06898422539234161
apps_python_4,L21H1,tool,1,0,<|im_start|>,0.5831180810928345
apps_python_4,L21H1,tool,2,112,\n,0.10523662716150284
apps_python_4,L21H1,tool,3,152,def,0.039600443094968796
apps_python_4,L21H1,tool,4,239,\n\n,0.020141463726758957
apps_python_4,L21H1,tool,5,113,"{""",0.01432204432785511
apps_python_4,L21H12,tool,1,112,\n,0.23913736641407013
apps_python_4,L21H12,tool,2,0,<|im_start|>,0.09244818985462189
apps_python_4,L21H12,tool,3,237,\n\n,0.04175056889653206
apps_python_4,L21H12,tool,4,143, on,0.03324483335018158
apps_python_4,L21H12,tool,5,151,:\n,0.03113451600074768
apps_python_4,L24H6,tool,1,106,<tool_call>,0.5492561459541321
apps_python_4,L24H6,tool,2,0,<|im_start|>,0.1963765174150467
apps_python_4,L24H6,tool,3,111,<tool_call>,0.12430774420499802
apps_python_4,L24H6,tool,4,131,<|im_start|>,0.02455606684088707
apps_python_4,L24H6,tool,5,38,"{""",0.013347146101295948
apps_python_4,L16H4,no_tool,1,235,\n,0.2815839648246765
apps_python_4,L16H4,no_tool,2,0,<|im_start|>,0.1213727593421936
apps_python_4,L16H4,no_tool,3,230,\n,0.10198197513818741
apps_python_4,L16H4,no_tool,4,232,\n,0.08535080403089523
apps_python_4,L16H4,no_tool,5,146, definition,0.03731721267104149
apps_python_4,L23H6,no_tool,1,239,\n\n,0.5348484516143799
apps_python_4,L23H6,no_tool,2,0,<|im_start|>,0.3478516936302185
apps_python_4,L23H6,no_tool,3,237,\n\n,0.02347402274608612
apps_python_4,L23H6,no_tool,4,229, pass,0.010931415483355522
apps_python_4,L23H6,no_tool,5,238,</think>,0.007012370508164167
codecontests_cpp_4,L20H5,tool,1,29,></,0.1368097960948944
codecontests_cpp_4,L20H5,tool,2,137, body,0.10120021551847458
codecontests_cpp_4,L20H5,tool,3,140,.cpp,0.08304163813591003
codecontests_cpp_4,L20H5,tool,4,241,</think>,0.06752976030111313
codecontests_cpp_4,L20H5,tool,5,0,<|im_start|>,0.060894306749105453
codecontests_cpp_4,L21H1,tool,1,0,<|im_start|>,0.6123238205909729
codecontests_cpp_4,L21H1,tool,2,112,\n,0.050304658710956573
codecontests_cpp_4,L21H1,tool,3,213,::,0.03198058903217316
codecontests_cpp_4,L21H1,tool,4,38,"{""",0.019692974165081978
codecontests_cpp_4,L21H1,tool,5,216,(const,0.019467592239379883
codecontests_cpp_4,L21H12,tool,1,112,\n,0.17775747179985046
codecontests_cpp_4,L21H12,tool,2,0,<|im_start|>,0.07723144441843033
codecontests_cpp_4,L21H12,tool,3,38,"{""",0.050322361290454865
codecontests_cpp_4,L21H12,tool,4,5,\n\n,0.047010209411382675
codecontests_cpp_4,L21H12,tool,5,28,tools,0.043724413961172104
codecontests_cpp_4,L24H6,tool,1,106,<tool_call>,0.4664631187915802
codecontests_cpp_4,L24H6,tool,2,0,<|im_start|>,0.23705708980560303
codecontests_cpp_4,L24H6,tool,3,111,<tool_call>,0.10347530245780945
codecontests_cpp_4,L24H6,tool,4,131,<|im_start|>,0.030773533508181572
codecontests_cpp_4,L24H6,tool,5,38,"{""",0.02431514486670494
codecontests_cpp_4,L16H4,no_tool,1,238,\n,0.29288387298583984
codecontests_cpp_4,L16H4,no_tool,2,235,\n,0.11073467880487442
codecontests_cpp_4,L16H4,no_tool,3,0,<|im_start|>,0.10414890199899673
codecontests_cpp_4,L16H4,no_tool,4,221, input,0.07283090054988861
codecontests_cpp_4,L16H4,no_tool,5,229,\n,0.03426898270845413
codecontests_cpp_4,L23H6,no_tool,1,242,\n\n,0.4691164493560791
codecontests_cpp_4,L23H6,no_tool,2,0,<|im_start|>,0.3955196738243103
codecontests_cpp_4,L23H6,no_tool,3,240,\n\n,0.03733791038393974
codecontests_cpp_4,L23H6,no_tool,4,241,</think>,0.016439611092209816
codecontests_cpp_4,L23H6,no_tool,5,233,}\n,0.008731087669730186
codecontests_java_4,L20H5,tool,1,29,></,0.13532403111457825
codecontests_java_4,L20H5,tool,2,236,</think>,0.11606403440237045
codecontests_java_4,L20H5,tool,3,137, body,0.0763140618801117
codecontests_java_4,L20H5,tool,4,140,.java,0.07031635195016861
codecontests_java_4,L20H5,tool,5,0,<|im_start|>,0.06210434064269066
codecontests_java_4,L21H1,tool,1,0,<|im_start|>,0.43959560990333557
codecontests_java_4,L21H1,tool,2,212,static,0.19334913790225983
codecontests_java_4,L21H1,tool,3,112,\n,0.03438244014978409
codecontests_java_4,L21H1,tool,4,218, {\n,0.02137364074587822
codecontests_java_4,L21H1,tool,5,213, String,0.017361968755722046
codecontests_java_4,L21H12,tool,1,112,\n,0.17378486692905426
codecontests_java_4,L21H12,tool,2,0,<|im_start|>,0.08171617984771729
codecontests_java_4,L21H12,tool,3,5,\n\n,0.053249288350343704
codecontests_java_4,L21H12,tool,4,142, on,0.04886592552065849
codecontests_java_4,L21H12,tool,5,28,tools,0.042726289480924606
codecontests_java_4,L24H6,tool,1,0,<|im_start|>,0.42477959394454956
codecontests_java_4,L24H6,tool,2,106,<tool_call>,0.27720317244529724
codecontests_java_4,L24H6,tool,3,111,<tool_call>,0.0762946605682373
codecontests_java_4,L24H6,tool,4,131,<|im_start|>,0.04281799867749214
codecontests_java_4,L24H6,tool,5,38,"{""",0.020635705441236496
codecontests_java_4,L16H4,no_tool,1,233,\n,0.2608424425125122
codecontests_java_4,L16H4,no_tool,2,0,<|im_start|>,0.12155637890100479
codecontests_java_4,L16H4,no_tool,3,216, input,0.11921879649162292
codecontests_java_4,L16H4,no_tool,4,230,\n,0.06650178134441376
codecontests_java_4,L16H4,no_tool,5,235,\n\n,0.030314773321151733
codecontests_java_4,L23H6,no_tool,1,237,\n\n,0.44262710213661194
codecontests_java_4,L23H6,no_tool,2,0,<|im_start|>,0.3939545154571533
codecontests_java_4,L23H6,no_tool,3,235,\n\n,0.05501718819141388
codecontests_java_4,L23H6,no_tool,4,236,</think>,0.01284114271402359
codecontests_java_4,L23H6,no_tool,5,228,}\n,0.008062602952122688
mbpp_python_4,L20H5,tool,1,141,.py,0.19218827784061432
mbpp_python_4,L20H5,tool,2,29,></,0.13335873186588287
mbpp_python_4,L20H5,tool,3,138, body,0.11689972132444382
mbpp_python_4,L20H5,tool,4,211,</think>,0.07767768204212189
mbpp_python_4,L20H5,tool,5,149,string,0.04970778152346611
mbpp_python_4,L21H1,tool,1,0,<|im_start|>,0.6542115807533264
mbpp_python_4,L21H1,tool,2,112,\n,0.08454100787639618
mbpp_python_4,L21H1,tool,3,152,def,0.029265113174915314
mbpp_python_4,L21H1,tool,4,212,\n\n,0.019267868250608444
mbpp_python_4,L21H1,tool,5,106,<tool_call>,0.013356341980397701
mbpp_python_4,L21H12,tool,1,112,\n,0.23678652942180634
mbpp_python_4,L21H12,tool,2,0,<|im_start|>,0.08593770116567612
mbpp_python_4,L21H12,tool,3,38,"{""",0.04928998649120331
mbpp_python_4,L21H12,tool,4,151,:\n,0.04405829310417175
mbpp_python_4,L21H12,tool,5,37,>\n,0.03250061720609665
mbpp_python_4,L24H6,tool,1,106,<tool_call>,0.533534049987793
mbpp_python_4,L24H6,tool,2,0,<|im_start|>,0.2216300517320633
mbpp_python_4,L24H6,tool,3,111,<tool_call>,0.115082286298275
mbpp_python_4,L24H6,tool,4,131,<|im_start|>,0.0345693938434124
mbpp_python_4,L24H6,tool,5,38,"{""",0.008290042169392109
mbpp_python_4,L16H4,no_tool,1,0,<|im_start|>,0.1992739737033844
mbpp_python_4,L16H4,no_tool,2,208,\n,0.1843578964471817
mbpp_python_4,L16H4,no_tool,3,203,\n,0.1095605120062828
mbpp_python_4,L16H4,no_tool,4,205,\n,0.0596889927983284
mbpp_python_4,L16H4,no_tool,5,146, definition,0.03958482667803764
mbpp_python_4,L23H6,no_tool,1,212,\n\n,0.47865021228790283
mbpp_python_4,L23H6,no_tool,2,0,<|im_start|>,0.4194944202899933
mbpp_python_4,L23H6,no_tool,3,210,\n\n,0.0292484313249588
mbpp_python_4,L23H6,no_tool,4,211,</think>,0.006500113755464554
mbpp_python_4,L23H6,no_tool,5,202, pass,0.005920317489653826
apps_python_5,L20H5,tool,1,142,.py,0.1845329850912094
apps_python_5,L20H5,tool,2,139, body,0.10791618376970291
apps_python_5,L20H5,tool,3,242,</think>,0.0982537567615509
apps_python_5,L20H5,tool,4,29,></,0.08517925441265106
apps_python_5,L20H5,tool,5,150,string,0.06135500222444534
apps_python_5,L21H1,tool,1,0,<|im_start|>,0.6020159125328064
apps_python_5,L21H1,tool,2,112,\n,0.06991566717624664
apps_python_5,L21H1,tool,3,153,def,0.04144986346364021
apps_python_5,L21H1,tool,4,243,\n\n,0.020104702562093735
apps_python_5,L21H1,tool,5,106,<tool_call>,0.019373653456568718
apps_python_5,L21H12,tool,1,112,\n,0.192463219165802
apps_python_5,L21H12,tool,2,0,<|im_start|>,0.07213668525218964
apps_python_5,L21H12,tool,3,5,\n\n,0.06997504830360413
apps_python_5,L21H12,tool,4,241,\n\n,0.04775475338101387
apps_python_5,L21H12,tool,5,89,>\n\n,0.03833818435668945
apps_python_5,L24H6,tool,1,106,<tool_call>,0.46365460753440857
apps_python_5,L24H6,tool,2,0,<|im_start|>,0.24842385947704315
apps_python_5,L24H6,tool,3,111,<tool_call>,0.12756425142288208
apps_python_5,L24H6,tool,4,131,<|im_start|>,0.024462968111038208
