head,family,rank,token,count,attn_median
L16H4,no_tool,1, input,43,0.2282957136631012
L16H4,no_tool,1,<|im_start|>,175,0.1993662714958191
L16H4,no_tool,1,\n,1504,0.26587332785129547
L16H4,no_tool,2, ,3,0.12604233622550964
L16H4,no_tool,2, input,242,0.13836490362882614
L16H4,no_tool,2,0,2,0.13168630748987198
L16H4,no_tool,2,1,1,0.11484372615814209
L16H4,no_tool,2,9,4,0.1359587013721466
L16H4,no_tool,2,<|im_start|>,1158,0.1213298812508583
L16H4,no_tool,2,\n,312,0.15360824018716812
L16H4,no_tool,3, ,6,0.09409874677658081
L16H4,no_tool,3," """"""\n",1,0.04430023953318596
L16H4,no_tool,3, String,2,0.06590617634356022
L16H4,no_tool,3, arr,1,0.12096970528364182
L16H4,no_tool,3, definition,15,0.06428412348031998
L16H4,no_tool,3, input,227,0.08049534261226654
L16H4,no_tool,3,(A,1,0.08080486208200455
L16H4,no_tool,3,),15,0.06832674890756607
L16H4,no_tool,3,0,1,0.08545539528131485
L16H4,no_tool,3,1,3,0.08507201075553894
L16H4,no_tool,3,2,3,0.07524561136960983
L16H4,no_tool,3,<|im_start|>,382,0.10160144045948982
L16H4,no_tool,3,ANE,1,0.09352180361747742
L16H4,no_tool,3,Partition,1,0.07978489995002747
L16H4,no_tool,3,Save,3,0.04900257661938667
L16H4,no_tool,3,\n,1023,0.08170206844806671
L16H4,no_tool,3,\n\n,3,0.059672921895980835
L16H4,no_tool,3,ban,1,0.09500765055418015
L16H4,no_tool,3,en,1,0.09536845237016678
L16H4,no_tool,3,}\n,32,0.0642068162560463
L16H4,no_tool,4, ,10,0.07020625844597816
L16H4,no_tool,4," """"""\n",18,0.05265515111386776
L16H4,no_tool,4, String,6,0.0518562626093626
L16H4,no_tool,4, T,1,0.059898946434259415
L16H4,no_tool,4, body,2,0.046955227851867676
L16H4,no_tool,4, count,1,0.055921196937561035
L16H4,no_tool,4, definition,161,0.056074660271406174
L16H4,no_tool,4, didn,1,0.05953086167573929
L16H4,no_tool,4, input,244,0.05814991146326065
L16H4,no_tool,4, solve,1,0.038643572479486465
L16H4,no_tool,4,(nums,1,0.06092385947704315
L16H4,no_tool,4,),57,0.0519595742225647
L16H4,no_tool,4,*/\n,3,0.04660584777593613
L16H4,no_tool,4,",",1,0.05631250515580177
L16H4,no_tool,4,.\n,1,0.06672585755586624
L16H4,no_tool,4,1,2,0.05984334833920002
L16H4,no_tool,4,2,2,0.06490882858633995
L16H4,no_tool,4,3,1,0.07053416967391968
L16H4,no_tool,4,6,1,0.05131702870130539
L16H4,no_tool,4,9,1,0.07062466442584991
L16H4,no_tool,4,:\n,18,0.041437169536948204
L16H4,no_tool,4,<|im_start|>,7,0.07730261236429214
L16H4,no_tool,4,AP,1,0.08318977802991867
L16H4,no_tool,4,Append,1,0.043851278722286224
L16H4,no_tool,4,E,1,0.0696164220571518
L16H4,no_tool,4,In,1,0.0581912025809288
L16H4,no_tool,4,Password,1,0.058143265545368195
L16H4,no_tool,4,Save,5,0.04459482058882713
L16H4,no_tool,4,\n,982,0.059401076287031174
L16H4,no_tool,4,\n\n,24,0.0474048126488924
L16H4,no_tool,4,]),1,0.05026094615459442
L16H4,no_tool,4,_D,1,0.07014966756105423
L16H4,no_tool,4,st,1,0.07874724268913269
L16H4,no_tool,4,}\n,163,0.049562010914087296
L16H4,no_tool,5, ,20,0.04180296137928963
L16H4,no_tool,5," """"""\n",133,0.04201965406537056
L16H4,no_tool,5, String,5,0.04227351397275925
L16H4,no_tool,5, based,12,0.03360019810497761
L16H4,no_tool,5, below,1,0.036637354642152786
L16H4,no_tool,5, body,21,0.04043111950159073
L16H4,no_tool,5, count,2,0.052719971165061
L16H4,no_tool,5, definition,315,0.04373564198613167
L16H4,no_tool,5, fib,1,0.05146962031722069
L16H4,no_tool,5, find,1,0.029548807069659233
L16H4,no_tool,5, input,89,0.04261389002203941
L16H4,no_tool,5, max,2,0.03163960296660662
L16H4,no_tool,5, min,2,0.02692361269146204
L16H4,no_tool,5, numberOf,1,0.0423547588288784
L16H4,no_tool,5, partition,1,0.03931472450494766
L16H4,no_tool,5, solve,16,0.03798994608223438
L16H4,no_tool,5, split,1,0.04760093614459038
L16H4,no_tool,5, std,2,0.027968263253569603
L16H4,no_tool,5, str,1,0.03737863525748253
L16H4,no_tool,5,(N,1,0.033590029925107956
L16H4,no_tool,5,(n,1,0.04055250063538551
L16H4,no_tool,5,(num,1,0.046469103544950485
L16H4,no_tool,5,(nums,3,0.041066382080316544
L16H4,no_tool,5,(price,1,0.04717591404914856
L16H4,no_tool,5,(s,1,0.04692672938108444
L16H4,no_tool,5,),181,0.04161844030022621
L16H4,no_tool,5,*/\n,14,0.03525368869304657
L16H4,no_tool,5,.,1,0.039064593613147736
L16H4,no_tool,5,.\n,1,0.02883148565888405
L16H4,no_tool,5,0,2,0.04985692910850048
L16H4,no_tool,5,1,1,0.05927868187427521
L16H4,no_tool,5,4,1,0.06960134953260422
L16H4,no_tool,5,7,1,0.05442049354314804
L16H4,no_tool,5,:\n,71,0.036484260112047195
L16H4,no_tool,5,Append,6,0.04029956832528114
L16H4,no_tool,5,Bo,1,0.06429517269134521
L16H4,no_tool,5,Edit,1,0.03769177198410034
L16H4,no_tool,5,Equal,1,0.05444270372390747
L16H4,no_tool,5,L,1,0.0591084286570549
L16H4,no_tool,5,Save,16,0.04033526964485645
