source,target,source_group,target_group,forward_support,reverse_support,shared_support_min,union_support_max,direction_balance,sign
MLP27,Residual Output: decision,symmetric_backbone,output,0.9993829715875546,0.9990772134151482,0.9990772134151482,0.9993829715875546,-0.00015299687964811682,shared
L24H6,Residual Output: decision,symmetric_backbone,output,0.9742125350016168,0.9935762388656596,0.9742125350016168,0.9935762388656596,0.009840336585510418,shared
L23H6,Residual Output: decision,tool_bias_backbone,output,0.9942892693240383,0.8590397703003464,0.8590397703003464,0.9942892693240383,-0.07297651746238379,shared
L24H6,MLP27,symmetric_backbone,symmetric_backbone,0.6672527381284985,0.9719771474688409,0.6672527381284985,0.9719771474688409,0.18589485954210755,no_tool_bias
L21H12,MLP27,tool_bias_backbone,symmetric_backbone,0.6617941567080421,0.7135113461699809,0.6617941567080421,0.7135113461699809,0.03760414639053884,shared
MLP19,L21H12,symmetric_backbone,tool_bias_backbone,0.6529296972044996,0.6005367726103866,0.6005367726103866,0.6529296972044996,-0.0417984252916238,shared
MLP16,MLP17,symmetric_backbone,no_tool_bias_backbone,0.45636789189762167,0.6139924648316013,0.45636789189762167,0.6139924648316013,0.14726308942872693,no_tool_bias
MLP17,L21H12,no_tool_bias_backbone,tool_bias_backbone,0.44431100510204585,0.6032638541449203,0.44431100510204585,0.6032638541449203,0.15173411965721992,no_tool_bias
MLP16,L17H8,symmetric_backbone,symmetric_backbone,0.4082508538082917,0.48295472680857765,0.4082508538082917,0.48295472680857765,0.08382339005168471,no_tool_bias
L21H1,MLP27,tool_bias_backbone,symmetric_backbone,0.4070734896955878,0.4113052389943442,0.4070734896955878,0.4113052389943442,0.005170893561139574,shared
MLP17,MLP19,no_tool_bias_backbone,symmetric_backbone,0.39496685585508035,0.6041214339058228,0.39496685585508035,0.6041214339058228,0.20934544043229283,no_tool_bias
MLP19,L21H1,symmetric_backbone,tool_bias_backbone,0.6260528995473166,0.3946542209387069,0.3946542209387069,0.6260528995473166,-0.22670428565093784,tool_bias
MLP17,L21H1,no_tool_bias_backbone,tool_bias_backbone,0.4055152835438,0.3830108957276309,0.3830108957276309,0.4055152835438,-0.028539810608396433,shared
MLP16,MLP19,symmetric_backbone,symmetric_backbone,0.31494673067534495,0.3414674879921968,0.31494673067534495,0.3414674879921968,0.04040247234541391,shared
L23H6,MLP27,tool_bias_backbone,symmetric_backbone,0.3094481180152453,0.32514064980278995,0.3094481180152453,0.32514064980278995,0.024728663007228632,shared
MLP19,L20H5,symmetric_backbone,symmetric_backbone,0.30609560533199537,0.3417792335055535,0.30609560533199537,0.3417792335055535,0.05507796573422049,shared
L23H6,L24H6,tool_bias_backbone,symmetric_backbone,0.9125363741274051,0.28643706536621205,0.28643706536621205,0.9125363741274051,-0.5221961455840292,tool_bias
L21H12,L23H6,tool_bias_backbone,tool_bias_backbone,0.9718255350889676,0.27542022829813373,0.27542022829813373,0.9718255350889676,-0.558354517797383,tool_bias
L17H8,MLP19,symmetric_backbone,symmetric_backbone,0.24377979132013053,0.27527246830773844,0.24377979132013053,0.27527246830773844,0.06067342238368517,shared
MLP16,L21H12,symmetric_backbone,tool_bias_backbone,0.21774698084437263,0.23680880146130445,0.21774698084437263,0.23680880146130445,0.041935052547881206,shared
L16H8,MLP17,no_tool_bias_backbone,no_tool_bias_backbone,0.20173261377830934,0.6188213763669552,0.20173261377830934,0.6188213763669552,0.5083014251320718,no_tool_bias
L21H12,L24H6,tool_bias_backbone,symmetric_backbone,0.6538390301285328,0.19272463494776373,0.19272463494776373,0.6538390301285328,-0.5446895658334346,tool_bias
MLP17,L20H5,no_tool_bias_backbone,symmetric_backbone,0.19081531029619272,0.4058756439551646,0.19081531029619272,0.4058756439551646,0.36042164227007417,no_tool_bias
L16H4,MLP17,no_tool_bias_backbone,no_tool_bias_backbone,0.18469048399798127,0.41926574497739716,0.18469048399798127,0.41926574497739716,0.38839778402050207,no_tool_bias
MLP17,L18H14,no_tool_bias_backbone,tool_tail,0.2577662209516312,0.17674024808326677,0.17674024808326677,0.2577662209516312,-0.18647817384246293,tool_bias
MLP11,MLP16,tool_bias_backbone,symmetric_backbone,0.24158735127770317,0.17664541836955372,0.17664541836955372,0.24158735127770317,-0.15527700749733778,tool_bias
MLP12,MLP16,no_tool_bias_backbone,symmetric_backbone,0.1757538052963821,0.2514945206267526,0.1757538052963821,0.2514945206267526,0.1772756280945542,no_tool_bias
MLP16,L17H2,symmetric_backbone,no_tool_tail,0.1627951150195185,0.29963149311521,0.1627951150195185,0.29963149311521,0.29590939554201445,no_tool_bias
L13H9,MLP16,symmetric_backbone,symmetric_backbone,0.15411073434762793,0.14447117696141423,0.14447117696141423,0.15411073434762793,-0.03228446540499378,shared
MLP16,L20H5,symmetric_backbone,symmetric_backbone,0.1656720190823833,0.13501094271855127,0.13501094271855127,0.1656720190823833,-0.1019714458717186,tool_bias
MLP11,MLP12,tool_bias_backbone,no_tool_bias_backbone,0.14375382302632628,0.13346578753422259,0.13346578753422259,0.14375382302632628,-0.03711149969261151,shared
L12H6,MLP16,symmetric_backbone,symmetric_backbone,0.13378105788839717,0.1288640816643191,0.1288640816643191,0.13378105788839717,-0.01872098692727256,shared
MLP16,L21H1,symmetric_backbone,tool_bias_backbone,0.2010758870143233,0.12729585141634328,0.12729585141634328,0.2010758870143233,-0.2246844870103161,tool_bias
L18H14,MLP19,tool_tail,symmetric_backbone,0.13182340085756022,0.1263768415800472,0.1263768415800472,0.13182340085756022,-0.021094322863887936,shared
MLP16,L18H14,symmetric_backbone,tool_tail,0.21402654075394167,0.12632163192041854,0.12632163192041854,0.21402654075394167,-0.25769172828037423,tool_bias
L20H5,L21H12,symmetric_backbone,tool_bias_backbone,0.38820845402753096,0.12252852584657893,0.12252852584657893,0.38820845402753096,-0.5201893315938053,tool_bias
MLP11,L12H6,tool_bias_backbone,symmetric_backbone,0.22947658699289375,0.11339918140051307,0.11339918140051307,0.22947658699289375,-0.3385407085962297,tool_bias
L16H4,L17H8,no_tool_bias_backbone,symmetric_backbone,0.10946301089131512,0.13216720007830263,0.10946301089131512,0.13216720007830263,0.0939625434082922,no_tool_bias
MLP11,L16H4,tool_bias_backbone,no_tool_bias_backbone,0.10831073057022753,0.16517181863999134,0.10831073057022753,0.16517181863999134,0.20791486781870014,no_tool_bias
MLP12,L13H9,no_tool_bias_backbone,symmetric_backbone,0.10077784630317593,0.1340133636160424,0.10077784630317593,0.1340133636160424,0.14155349906115056,no_tool_bias
MLP12,L16H4,no_tool_bias_backbone,no_tool_bias_backbone,0.09646999104134814,0.2758479861788864,0.09646999104134814,0.2758479861788864,0.48178709090759836,no_tool_bias
L21H1,L24H6,tool_bias_backbone,symmetric_backbone,0.39888498095375435,0.08981948717680358,0.08981948717680358,0.39888498095375435,-0.6324179825063184,tool_bias
MLP12,L17H8,no_tool_bias_backbone,symmetric_backbone,0.08720200374666826,0.1498802980497082,0.08720200374666826,0.1498802980497082,0.26437356912821197,no_tool_bias
L16H8,L17H8,no_tool_bias_backbone,symmetric_backbone,0.08550910782630987,0.2110984005102782,0.08550910782630987,0.2110984005102782,0.4234191284916851,no_tool_bias
L16H8,L17H2,no_tool_bias_backbone,no_tool_tail,0.08286031237349364,0.180850686113465,0.08286031237349364,0.180850686113465,0.371582430396119,no_tool_bias
MLP12,L16H8,no_tool_bias_backbone,no_tool_bias_backbone,0.07485116837578455,0.2971545255834754,0.07485116837578455,0.2971545255834754,0.59758052314123,no_tool_bias
L21H1,L23H6,tool_bias_backbone,tool_bias_backbone,0.873659646204631,0.07349912752725565,0.07349912752725565,0.873659646204631,-0.8448008305140589,tool_bias
L20H5,L21H1,symmetric_backbone,tool_bias_backbone,0.36439649006522956,0.06905639868744176,0.06905639868744176,0.36439649006522956,-0.6813660700882056,tool_bias
MLP11,L17H8,tool_bias_backbone,symmetric_backbone,0.14748352403781395,0.06384963270279351,0.06384963270279351,0.14748352403781395,-0.3957442959964563,tool_bias
MLP11,L16H8,tool_bias_backbone,no_tool_bias_backbone,0.0630184303669464,0.17940584182717792,0.0630184303669464,0.17940584182717792,0.4800980133170527,no_tool_bias
MLP19,L23H6,symmetric_backbone,tool_bias_backbone,0.05751446502272721,0.5054724332647839,0.05751446502272721,0.5054724332647839,0.7956809822833383,no_tool_bias
L17H2,MLP19,no_tool_tail,symmetric_backbone,0.048557035446436865,0.16719688490823814,0.048557035446436865,0.16719688490823814,0.5498850230242436,no_tool_bias
MLP17,L23H6,no_tool_bias_backbone,tool_bias_backbone,0.0477826009694355,0.5528304976961251,0.0477826009694355,0.5528304976961251,0.8408872497932572,no_tool_bias
L2H14,MLP11,tool_tail,tool_bias_backbone,0.18738427175849032,0.04474618807075802,0.04474618807075802,0.18738427175849032,-0.6144737911287244,tool_bias
MLP19,MLP21,symmetric_backbone,tool_tail,0.18611321954140173,0.02287473927199577,0.02287473927199577,0.18611321954140173,-0.7810903613598111,tool_bias
L20H5,MLP21,symmetric_backbone,tool_tail,0.20051361727578762,0.022049186773003826,0.022049186773003826,0.20051361727578762,-0.8018609904989328,tool_bias
L17H8,L21H12,symmetric_backbone,tool_bias_backbone,0.1612402428565402,0.01736920563665767,0.01736920563665767,0.1612402428565402,-0.8055063068254291,tool_bias
MLP19,L24H6,symmetric_backbone,symmetric_backbone,0.013282985889641488,0.5042643187823417,0.013282985889641488,0.5042643187823417,0.9486694809547501,no_tool_bias
MLP21,L23H6,tool_tail,tool_bias_backbone,0.20535289973957474,0.012718969799023195,0.012718969799023195,0.20535289973957474,-0.8833506602577001,tool_bias
MLP16,L23H6,symmetric_backbone,tool_bias_backbone,0.008957612849260775,0.22390638496413495,0.008957612849260775,0.22390638496413495,0.9230657127475849,no_tool_bias
L17H8,MLP27,symmetric_backbone,symmetric_backbone,0.004707601338898714,0.19856986950003772,0.004707601338898714,0.19856986950003772,0.9536829997001615,no_tool_bias
MLP17,L24H6,no_tool_bias_backbone,symmetric_backbone,0.002971505785219192,0.5684268986101383,0.002971505785219192,0.5684268986101383,0.9895991806684739,no_tool_bias
L20H5,MLP27,symmetric_backbone,symmetric_backbone,0.0006125332908698795,0.33821663330201257,0.0006125332908698795,0.33821663330201257,0.996384412256895,no_tool_bias
MLP16,L24H6,symmetric_backbone,symmetric_backbone,0.0,0.23734295258754193,0.0,0.23734295258754193,1.0,no_tool_bias
