source,target,support_weighted,support_unweighted
MLP27,Residual Output: <tool_call>,0.9993829715875546,0.9994192799070848
L23H6,Residual Output: <tool_call>,0.9942892693240383,0.9936120789779327
L24H6,Residual Output: <tool_call>,0.9742125350016168,0.9744483159117305
L21H12,L23H6,0.9718255350889676,0.9715447154471545
L23H6,L24H6,0.9125363741274051,0.913472706155633
L21H1,L23H6,0.873659646204631,0.867595818815331
L24H6,MLP27,0.6672527381284985,0.6666666666666666
L21H12,MLP27,0.6617941567080421,0.6695702671312428
L21H12,L24H6,0.6538390301285328,0.6608594657375145
MLP19,L21H12,0.6529296972044996,0.6504065040650406
MLP19,L21H1,0.6260528995473166,0.6207897793263647
MLP16,MLP17,0.45636789189762167,0.4465737514518002
Input Embed,L2H14,0.455107363246008,0.45760743321718933
MLP17,L21H12,0.44431100510204585,0.4372822299651568
MLP16,L17H8,0.4082508538082917,0.40301974448315914
L21H1,MLP27,0.4070734896955878,0.40069686411149824
MLP17,L21H1,0.4055152835438,0.3977932636469222
L21H1,L24H6,0.39888498095375435,0.39314750290360045
MLP17,MLP19,0.39496685585508035,0.3879210220673635
L20H5,L21H12,0.38820845402753096,0.3948896631823461
L20H5,L21H1,0.36439649006522956,0.3699186991869919
MLP16,MLP19,0.31494673067534495,0.31126596980255516
L23H6,MLP27,0.3094481180152453,0.30662020905923343
MLP19,L20H5,0.30609560533199537,0.30720092915214864
MLP17,L18H14,0.2577662209516312,0.2537746806039489
L17H8,MLP19,0.24377979132013053,0.2421602787456446
MLP11,MLP16,0.24158735127770317,0.23693379790940766
MLP11,L12H6,0.22947658699289375,0.23286875725900116
MLP16,L21H12,0.21774698084437263,0.21602787456445993
MLP16,L18H14,0.21402654075394167,0.20963995354239257
MLP21,L23H6,0.20535289973957474,0.21254355400696864
L16H8,MLP17,0.20173261377830934,0.19686411149825783
MLP16,L21H1,0.2010758870143233,0.1986062717770035
L20H5,MLP21,0.20051361727578762,0.20963995354239257
MLP17,L20H5,0.19081531029619272,0.1916376306620209
L2H14,MLP11,0.18738427175849032,0.18699186991869918
MLP19,MLP21,0.18611321954140173,0.18873403019744484
L16H4,MLP17,0.18469048399798127,0.18234610917537747
MLP12,MLP16,0.1757538052963821,0.17305458768873402
L21H12,L23H5,0.1699731422066111,0.1713124274099884
MLP16,L20H5,0.1656720190823833,0.16666666666666666
MLP16,L17H2,0.1627951150195185,0.1602787456445993
L17H8,L21H12,0.1612402428565402,0.1602787456445993
L13H9,MLP16,0.15411073434762793,0.15505226480836237
MLP17,MLP18,0.1532581855998727,0.15156794425087108
MLP11,L17H8,0.14748352403781395,0.14634146341463414
MLP18,L21H12,0.14616382805625996,0.14692218350754935
MLP11,MLP12,0.14375382302632628,0.14285714285714285
Input Embed,MLP2,0.14307084700202913,0.1440185830429733
MLP18,L21H1,0.14043937409671683,0.13821138211382114
L21H1,L23H5,0.13750146914709876,0.13588850174216027
MLP16,L17H12,0.13563487612967068,0.13240418118466898
L12H6,MLP16,0.13378105788839717,0.13414634146341464
L18H14,MLP19,0.13182340085756022,0.13124274099883856
Input Embed,L2H15,0.12793702415987498,0.12775842044134728
Input Embed,MLP4,0.12403905490451861,0.12427409988385599
L10H2,MLP11,0.11198625823666061,0.11265969802555169
L16H4,L17H8,0.10946301089131512,0.10801393728222997
MLP11,L16H4,0.10831073057022753,0.10627177700348432
L17H8,L21H1,0.10716022786282975,0.10394889663182347
MLP11,MLP17,0.10521839914372229,0.10511033681765389
MLP12,L13H9,0.10077784630317593,0.09872241579558652
MLP16,MLP18,0.10025649018947565,0.09872241579558652
MLP20,L21H12,0.09938622735563117,0.10336817653890824
MLP13,MLP16,0.09655434292834088,0.09930313588850175
MLP12,L16H4,0.09646999104134814,0.09523809523809523
MLP11,L13H9,0.0946457950760161,0.09233449477351917
MLP20,L21H1,0.09396444737838101,0.09639953542392567
L13H6,MLP16,0.09259937485813526,0.09407665505226481
MLP12,MLP17,0.09251315170250808,0.09349593495934959
Input Embed,MLP6,0.09075580939233234,0.08885017421602788
L2H14,MLP5,0.09043526633149625,0.09117305458768873
L13H3,MLP16,0.08970439999131198,0.08826945412311266
MLP18,MLP19,0.08970153715862804,0.0900116144018583
L23H5,L24H6,0.0890831559983062,0.09059233449477352
L12H6,L13H9,0.08858107998947869,0.09059233449477352
L18H14,L21H12,0.08837453399623268,0.09059233449477352
MLP19,L20H14,0.08806950400756257,0.08478513356562137
MLP12,L17H8,0.08720200374666826,0.08768873403019745
Input Embed,MLP3,0.08617851019737231,0.08536585365853659
L20H14,L21H1,0.08612254693984817,0.08246225319396051
L16H8,L17H8,0.08550910782630987,0.08304297328687572
MLP11,MLP13,0.08519195880993394,0.08536585365853659
L12H6,MLP13,0.08496460427028216,0.09059233449477352
Input Embed,MLP5,0.08379986828430612,0.08304297328687572
L18H14,L21H1,0.08300263978681148,0.08072009291521487
L16H8,L17H2,0.08286031237349364,0.08072009291521487
L23H5,MLP27,0.08150779697805799,0.08130081300813008
L17H12,MLP19,0.07983784180341844,0.07897793263646923
L9H3,MLP12,0.07932102275517088,0.07723577235772358
L2H14,L4H15,0.07823822722797773,0.08072009291521487
