group,set,n_points,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool
forward_selective_heads,contrast,10332,0.00048675169819034636,0.0006029120995663106,0.00011616040137596428
forward_selective_heads,prefix_16,10332,0.223381407558918,0.2958424389362335,0.07246103137731552
forward_selective_heads,recent_32,10332,0.08665794134140015,0.10859182476997375,0.02193388342857361
forward_selective_heads,tool_call_tags,10332,0.008964572567492723,0.006367094814777374,-0.002597477752715349
forward_selective_heads,tools_block,10332,0.11153008416295052,0.09846643730998039,-0.013063646852970123
forward_selective_heads,user_block,10332,0.06281957030296326,0.1227189227938652,0.05989935249090195
reverse_only_core_heads,contrast,5166,0.0035674526588991284,0.0027368117589503527,-0.0008306408999487758
reverse_only_core_heads,prefix_16,5166,0.06176523491740227,0.07403228804469109,0.012267053127288818
reverse_only_core_heads,recent_32,5166,0.24014697968959808,0.2901028096675873,0.0499558299779892
reverse_only_core_heads,tool_call_tags,5166,0.0015174249419942498,0.002029486116953194,0.0005120611749589443
reverse_only_core_heads,tools_block,5166,0.2821703851222992,0.22365424782037735,-0.058516137301921844
reverse_only_core_heads,user_block,5166,0.38661710917949677,0.44504891335964203,0.058431804180145264
reverse_selective_heads,contrast,10332,0.005141096189618111,0.004383851308375597,-0.0007572448812425137
reverse_selective_heads,prefix_16,10332,0.14113152772188187,0.13492825627326965,-0.006203271448612213
reverse_selective_heads,recent_32,10332,0.28009195625782013,0.3037133067846298,0.023621350526809692
reverse_selective_heads,tool_call_tags,10332,0.0027096880367025733,0.002621609019115567,-8.807901758700609e-05
reverse_selective_heads,tools_block,10332,0.14884085953235626,0.13316652923822403,-0.015674330294132233
reverse_selective_heads,user_block,10332,0.3303745836019516,0.3817562758922577,0.05138169229030609
shared_core_heads,contrast,8610,0.000708786683389917,0.001575911941472441,0.0008671252580825239
shared_core_heads,prefix_16,8610,0.22233261168003082,0.3010912239551544,0.0787586122751236
shared_core_heads,recent_32,8610,0.06693356111645699,0.09904951974749565,0.032115958631038666
shared_core_heads,tool_call_tags,8610,0.015421356540173292,0.00880484888330102,-0.0066165076568722725
shared_core_heads,tools_block,8610,0.10496967285871506,0.08272600919008255,-0.022243663668632507
shared_core_heads,user_block,8610,0.059285419061779976,0.11238786578178406,0.05310244672000408
