sample_id,variant,component,set,mass
apps_python_1,clean_full,L20H5,instruction_line,0.3426111042499542
apps_python_1,clean_full,L20H5,task_body,0.019819587469100952
apps_python_1,clean_full,L21H1,instruction_line,0.029313234612345695
apps_python_1,clean_full,L21H1,task_body,0.09929057955741882
apps_python_1,clean_full,L21H12,instruction_line,0.04272003471851349
apps_python_1,clean_full,L21H12,task_body,0.00702128978446126
apps_python_1,clean_full,L16H4,instruction_line,0.16977185010910034
apps_python_1,clean_full,L16H4,task_body,0.2887653410434723
apps_python_1,clean_with_corrupt_instruction,L20H5,instruction_line,0.25747817754745483
apps_python_1,clean_with_corrupt_instruction,L20H5,task_body,0.04539573937654495
apps_python_1,clean_with_corrupt_instruction,L21H1,instruction_line,0.0431169793009758
apps_python_1,clean_with_corrupt_instruction,L21H1,task_body,0.06997408717870712
apps_python_1,clean_with_corrupt_instruction,L21H12,instruction_line,0.035713013261556625
apps_python_1,clean_with_corrupt_instruction,L21H12,task_body,0.01601257734000683
apps_python_1,clean_with_corrupt_instruction,L16H4,instruction_line,0.20305967330932617
apps_python_1,clean_with_corrupt_instruction,L16H4,task_body,0.3135800361633301
apps_python_1,corrupt_with_clean_instruction,L20H5,instruction_line,0.3426111042499542
apps_python_1,corrupt_with_clean_instruction,L20H5,task_body,0.019819587469100952
apps_python_1,corrupt_with_clean_instruction,L21H1,instruction_line,0.029313234612345695
apps_python_1,corrupt_with_clean_instruction,L21H1,task_body,0.09929057955741882
apps_python_1,corrupt_with_clean_instruction,L21H12,instruction_line,0.04272003471851349
apps_python_1,corrupt_with_clean_instruction,L21H12,task_body,0.00702128978446126
apps_python_1,corrupt_with_clean_instruction,L16H4,instruction_line,0.16977185010910034
apps_python_1,corrupt_with_clean_instruction,L16H4,task_body,0.2887653410434723
apps_python_1,corrupt_full,L20H5,instruction_line,0.25747817754745483
apps_python_1,corrupt_full,L20H5,task_body,0.04539573937654495
apps_python_1,corrupt_full,L21H1,instruction_line,0.0431169793009758
apps_python_1,corrupt_full,L21H1,task_body,0.06997408717870712
apps_python_1,corrupt_full,L21H12,instruction_line,0.035713013261556625
apps_python_1,corrupt_full,L21H12,task_body,0.01601257734000683
apps_python_1,corrupt_full,L16H4,instruction_line,0.20305967330932617
apps_python_1,corrupt_full,L16H4,task_body,0.3135800361633301
codecontests_cpp_1,clean_full,L20H5,instruction_line,0.07092949748039246
codecontests_cpp_1,clean_full,L20H5,task_body,0.03996763378381729
codecontests_cpp_1,clean_full,L21H1,instruction_line,0.0394258089363575
codecontests_cpp_1,clean_full,L21H1,task_body,0.1778310388326645
codecontests_cpp_1,clean_full,L21H12,instruction_line,0.003114283550530672
codecontests_cpp_1,clean_full,L21H12,task_body,0.004137368872761726
codecontests_cpp_1,clean_full,L16H4,instruction_line,0.10319828987121582
codecontests_cpp_1,clean_full,L16H4,task_body,0.2020672708749771
codecontests_cpp_1,clean_with_corrupt_instruction,L20H5,instruction_line,0.34832924604415894
codecontests_cpp_1,clean_with_corrupt_instruction,L20H5,task_body,0.10628662258386612
codecontests_cpp_1,clean_with_corrupt_instruction,L21H1,instruction_line,0.051507845520973206
codecontests_cpp_1,clean_with_corrupt_instruction,L21H1,task_body,0.1512882262468338
codecontests_cpp_1,clean_with_corrupt_instruction,L21H12,instruction_line,0.06295964121818542
codecontests_cpp_1,clean_with_corrupt_instruction,L21H12,task_body,0.029066815972328186
codecontests_cpp_1,clean_with_corrupt_instruction,L16H4,instruction_line,0.1578764021396637
codecontests_cpp_1,clean_with_corrupt_instruction,L16H4,task_body,0.24889782071113586
codecontests_cpp_1,corrupt_with_clean_instruction,L20H5,instruction_line,0.07092949748039246
codecontests_cpp_1,corrupt_with_clean_instruction,L20H5,task_body,0.03996763378381729
codecontests_cpp_1,corrupt_with_clean_instruction,L21H1,instruction_line,0.0394258089363575
codecontests_cpp_1,corrupt_with_clean_instruction,L21H1,task_body,0.1778310388326645
codecontests_cpp_1,corrupt_with_clean_instruction,L21H12,instruction_line,0.003114283550530672
codecontests_cpp_1,corrupt_with_clean_instruction,L21H12,task_body,0.004137368872761726
codecontests_cpp_1,corrupt_with_clean_instruction,L16H4,instruction_line,0.10319828987121582
codecontests_cpp_1,corrupt_with_clean_instruction,L16H4,task_body,0.2020672708749771
codecontests_cpp_1,corrupt_full,L20H5,instruction_line,0.34832924604415894
codecontests_cpp_1,corrupt_full,L20H5,task_body,0.10628662258386612
codecontests_cpp_1,corrupt_full,L21H1,instruction_line,0.051507845520973206
codecontests_cpp_1,corrupt_full,L21H1,task_body,0.1512882262468338
codecontests_cpp_1,corrupt_full,L21H12,instruction_line,0.06295964121818542
codecontests_cpp_1,corrupt_full,L21H12,task_body,0.029066815972328186
codecontests_cpp_1,corrupt_full,L16H4,instruction_line,0.1578764021396637
codecontests_cpp_1,corrupt_full,L16H4,task_body,0.24889782071113586
codecontests_java_1,clean_full,L20H5,instruction_line,0.07724983990192413
codecontests_java_1,clean_full,L20H5,task_body,0.030854543671011925
codecontests_java_1,clean_full,L21H1,instruction_line,0.03516608476638794
codecontests_java_1,clean_full,L21H1,task_body,0.30282357335090637
codecontests_java_1,clean_full,L21H12,instruction_line,0.0031768635381013155
codecontests_java_1,clean_full,L21H12,task_body,0.0037584395613521338
codecontests_java_1,clean_full,L16H4,instruction_line,0.18134044110774994
codecontests_java_1,clean_full,L16H4,task_body,0.22237230837345123
codecontests_java_1,clean_with_corrupt_instruction,L20H5,instruction_line,0.24452142417430878
codecontests_java_1,clean_with_corrupt_instruction,L20H5,task_body,0.1251106560230255
codecontests_java_1,clean_with_corrupt_instruction,L21H1,instruction_line,0.08139190077781677
codecontests_java_1,clean_with_corrupt_instruction,L21H1,task_body,0.2533645033836365
codecontests_java_1,clean_with_corrupt_instruction,L21H12,instruction_line,0.07265721261501312
codecontests_java_1,clean_with_corrupt_instruction,L21H12,task_body,0.06857626885175705
codecontests_java_1,clean_with_corrupt_instruction,L16H4,instruction_line,0.1754169762134552
codecontests_java_1,clean_with_corrupt_instruction,L16H4,task_body,0.30818772315979004
codecontests_java_1,corrupt_with_clean_instruction,L20H5,instruction_line,0.07724983990192413
codecontests_java_1,corrupt_with_clean_instruction,L20H5,task_body,0.030854543671011925
codecontests_java_1,corrupt_with_clean_instruction,L21H1,instruction_line,0.03516608476638794
codecontests_java_1,corrupt_with_clean_instruction,L21H1,task_body,0.30282357335090637
codecontests_java_1,corrupt_with_clean_instruction,L21H12,instruction_line,0.0031768635381013155
codecontests_java_1,corrupt_with_clean_instruction,L21H12,task_body,0.0037584395613521338
codecontests_java_1,corrupt_with_clean_instruction,L16H4,instruction_line,0.18134044110774994
codecontests_java_1,corrupt_with_clean_instruction,L16H4,task_body,0.22237230837345123
codecontests_java_1,corrupt_full,L20H5,instruction_line,0.24452142417430878
codecontests_java_1,corrupt_full,L20H5,task_body,0.1251106560230255
codecontests_java_1,corrupt_full,L21H1,instruction_line,0.08139190077781677
codecontests_java_1,corrupt_full,L21H1,task_body,0.2533645033836365
codecontests_java_1,corrupt_full,L21H12,instruction_line,0.07265721261501312
codecontests_java_1,corrupt_full,L21H12,task_body,0.06857626885175705
codecontests_java_1,corrupt_full,L16H4,instruction_line,0.1754169762134552
codecontests_java_1,corrupt_full,L16H4,task_body,0.30818772315979004
mbpp_python_1,clean_full,L20H5,instruction_line,0.20097891986370087
mbpp_python_1,clean_full,L20H5,task_body,0.02218962274491787
mbpp_python_1,clean_full,L21H1,instruction_line,0.05352769047021866
mbpp_python_1,clean_full,L21H1,task_body,0.13214626908302307
mbpp_python_1,clean_full,L21H12,instruction_line,0.06553204357624054
mbpp_python_1,clean_full,L21H12,task_body,0.00814626831561327
mbpp_python_1,clean_full,L16H4,instruction_line,0.11231037229299545
mbpp_python_1,clean_full,L16H4,task_body,0.2398642748594284
mbpp_python_1,clean_with_corrupt_instruction,L20H5,instruction_line,0.3066561222076416
mbpp_python_1,clean_with_corrupt_instruction,L20H5,task_body,0.054511286318302155
mbpp_python_1,clean_with_corrupt_instruction,L21H1,instruction_line,0.060533441603183746
mbpp_python_1,clean_with_corrupt_instruction,L21H1,task_body,0.1487436592578888
mbpp_python_1,clean_with_corrupt_instruction,L21H12,instruction_line,0.08307762444019318
mbpp_python_1,clean_with_corrupt_instruction,L21H12,task_body,0.0164510328322649
mbpp_python_1,clean_with_corrupt_instruction,L16H4,instruction_line,0.12476035207509995
mbpp_python_1,clean_with_corrupt_instruction,L16H4,task_body,0.3612734079360962
mbpp_python_1,corrupt_with_clean_instruction,L20H5,instruction_line,0.20097891986370087
mbpp_python_1,corrupt_with_clean_instruction,L20H5,task_body,0.02218962274491787
mbpp_python_1,corrupt_with_clean_instruction,L21H1,instruction_line,0.05352769047021866
mbpp_python_1,corrupt_with_clean_instruction,L21H1,task_body,0.13214626908302307
mbpp_python_1,corrupt_with_clean_instruction,L21H12,instruction_line,0.06553204357624054
mbpp_python_1,corrupt_with_clean_instruction,L21H12,task_body,0.00814626831561327
mbpp_python_1,corrupt_with_clean_instruction,L16H4,instruction_line,0.11231037229299545
mbpp_python_1,corrupt_with_clean_instruction,L16H4,task_body,0.2398642748594284
mbpp_python_1,corrupt_full,L20H5,instruction_line,0.3066561222076416
mbpp_python_1,corrupt_full,L20H5,task_body,0.054511286318302155
mbpp_python_1,corrupt_full,L21H1,instruction_line,0.060533441603183746
mbpp_python_1,corrupt_full,L21H1,task_body,0.1487436592578888
mbpp_python_1,corrupt_full,L21H12,instruction_line,0.08307762444019318
mbpp_python_1,corrupt_full,L21H12,task_body,0.0164510328322649
mbpp_python_1,corrupt_full,L16H4,instruction_line,0.12476035207509995
mbpp_python_1,corrupt_full,L16H4,task_body,0.3612734079360962
codecontests_java_2,clean_full,L20H5,instruction_line,0.0930691659450531
