variant,component,set,mass_median
clean_full,L16H4,instruction_line,0.1459321826696396
clean_full,L16H4,task_body,0.2858835309743881
clean_full,L20H5,instruction_line,0.14427749812602997
clean_full,L20H5,task_body,0.04598650895059109
clean_full,L21H1,instruction_line,0.04313577711582184
clean_full,L21H1,task_body,0.182692751288414
clean_full,L21H12,instruction_line,0.02365710213780403
clean_full,L21H12,task_body,0.012214405462145805
clean_with_corrupt_instruction,L16H4,instruction_line,0.15735990554094315
clean_with_corrupt_instruction,L16H4,task_body,0.33414675295352936
clean_with_corrupt_instruction,L20H5,instruction_line,0.26418183743953705
clean_with_corrupt_instruction,L20H5,task_body,0.08116066455841064
clean_with_corrupt_instruction,L21H1,instruction_line,0.05678111873567104
clean_with_corrupt_instruction,L21H1,task_body,0.1771017238497734
clean_with_corrupt_instruction,L21H12,instruction_line,0.06755564361810684
clean_with_corrupt_instruction,L21H12,task_body,0.03823803924024105
corrupt_full,L16H4,instruction_line,0.15735990554094315
corrupt_full,L16H4,task_body,0.33414675295352936
corrupt_full,L20H5,instruction_line,0.26418183743953705
corrupt_full,L20H5,task_body,0.08116066455841064
corrupt_full,L21H1,instruction_line,0.05678111873567104
corrupt_full,L21H1,task_body,0.1771017238497734
corrupt_full,L21H12,instruction_line,0.06755564361810684
corrupt_full,L21H12,task_body,0.03823803924024105
corrupt_with_clean_instruction,L16H4,instruction_line,0.1459321826696396
corrupt_with_clean_instruction,L16H4,task_body,0.2858835309743881
corrupt_with_clean_instruction,L20H5,instruction_line,0.14427749812602997
corrupt_with_clean_instruction,L20H5,task_body,0.04598650895059109
corrupt_with_clean_instruction,L21H1,instruction_line,0.04313577711582184
corrupt_with_clean_instruction,L21H1,task_body,0.182692751288414
corrupt_with_clean_instruction,L21H12,instruction_line,0.02365710213780403
corrupt_with_clean_instruction,L21H12,task_body,0.012214405462145805
