variant,rank,token,count,attn_median
base,1, below,9,0.05985455960035324
base,1, how,4,0.10023924708366394
base,1, implement,1,0.05332585424184799
base,1, query,565,0.06850895285606384
base,1, the,1016,0.10808926075696945
base,1,What,1,0.09019028395414352
base,1,\n\n,108,0.0562603734433651
base,1,assistant,18,0.05567743815481663
base,2, answer,1,0.04608557000756264
base,2, below,63,0.05107155442237854
base,2, how,8,0.06478052586317062
base,2, implement,2,0.05095003731548786
base,2, query,768,0.05430636368691921
base,2, the,38,0.049822743982076645
base,2,Compose,4,0.05165327526628971
base,2,Craft,6,0.05064570717513561
base,2,Implement,1,0.054716628044843674
base,2,\n\n,752,0.05019675754010677
base,2,assistant,77,0.05107780918478966
base,2,ise,2,0.05095122009515762
base,3, below,69,0.04632268846035004
base,3, call,3,0.040018998086452484
base,3, choices,1,0.04625115171074867
base,3, how,2,0.045601826161146164
base,3, implement,3,0.04742111265659332
base,3, query,262,0.04771746136248112
base,3, rank,1,0.04666633531451225
base,3, the,57,0.04396914318203926
base,3,Craft,3,0.04383007436990738
base,3,Implement,3,0.049795567989349365
base,3,\n\n,691,0.04682285338640213
base,3,assistant,604,0.04510035552084446
base,3,ise,1,0.04443355277180672
base,3,"{""",22,0.040353406220674515
base,4," """"""\n",3,0.04038422182202339
base,4, assist,6,0.026528185233473778
base,4, below,230,0.037837157025933266
base,4, call,54,0.03731723129749298
base,4, each,1,0.033158402889966965
base,4, function,11,0.032285887748003006
base,4, how,5,0.04118504002690315
base,4, implement,7,0.04062379524111748
base,4, query,110,0.04363149404525757
base,4, the,180,0.037779463455080986
base,4, user,1,0.03193819522857666
base,4,Compose,3,0.03712870553135872
base,4,Craft,5,0.037677567452192307
base,4,Implement,3,0.04394027218222618
base,4,\n\n,139,0.04386814311146736
base,4,assistant,779,0.041557636111974716
base,4,ise,10,0.03789689019322395
base,4,"{""",175,0.03433283790946007
base,5," """"""\n",6,0.0308400085195899
base,5, assist,44,0.02748336922377348
base,5, below,646,0.03386426344513893
base,5, call,108,0.030456654727458954
base,5, compute,2,0.027842124924063683
base,5, determine,1,0.02477825991809368
base,5, function,40,0.032473742961883545
base,5, how,3,0.02931385114789009
base,5, implement,57,0.0373922698199749
base,5, minimize,1,0.04137585312128067
base,5, query,16,0.04058411531150341
base,5, the,74,0.035037215799093246
base,5, to,1,0.027920307591557503
base,5, user,7,0.02916475385427475
base,5, which,1,0.03768014907836914
base,5,.cpp,4,0.026455028913915157
base,5,Author,11,0.028346816077828407
base,5,Compose,7,0.02711225114762783
base,5,Craft,47,0.032673854380846024
base,5,Design,1,0.0304630845785141
base,5,Develop,3,0.03411528840661049
base,5,Implement,54,0.03389030694961548
base,5,\n\n,31,0.03836149349808693
base,5,assistant,203,0.038363147526979446
base,5,ise,57,0.037046290934085846
base,5,"{""",297,0.031653404235839844
clean,1, below,24,0.05951572209596634
clean,1, how,10,0.07753052562475204
clean,1, query,990,0.06578940898180008
clean,1, the,383,0.07098474353551865
clean,1,What,1,0.10107503831386566
clean,1,\n\n,286,0.058328693732619286
clean,1,assistant,28,0.055101992562413216
clean,2," """"""\n",1,0.04575488716363907
clean,2, add,3,0.049803487956523895
clean,2, below,69,0.052406348288059235
clean,2, how,4,0.06069512665271759
clean,2, query,440,0.054311543703079224
clean,2, the,160,0.0550222247838974
clean,2,Write,4,0.050079671666026115
clean,2,\n\n,919,0.05209895595908165
clean,2,assistant,122,0.052051061764359474
clean,3, add,2,0.0438943337649107
clean,3, answer,1,0.04379060119390488
clean,3, below,80,0.04638448730111122
clean,3, call,3,0.040694545954465866
clean,3, choices,1,0.04548276215791702
clean,3, how,4,0.046331506222486496
clean,3, implement,1,0.043140675872564316
clean,3, query,215,0.04876428470015526
clean,3, the,38,0.048033831641077995
clean,3,Write,1,0.04688142612576485
clean,3,\n\n,418,0.04833829030394554
clean,3,assistant,940,0.04732831194996834
clean,3,"{""",18,0.04058161377906799
clean,4, add,26,0.03035786934196949
clean,4, answer,1,0.045174840837717056
clean,4, assist,5,0.029178064316511154
clean,4, below,491,0.03732237592339516
clean,4, call,78,0.03717410750687122
clean,4, function,11,0.0317794568836689
clean,4, how,2,0.0439640749245882
clean,4, minimize,1,0.0328027568757534
clean,4, query,70,0.04506647773087025
clean,4, rank,1,0.04425019398331642
clean,4, the,180,0.035474713891744614
clean,4, user,1,0.03160063177347183
clean,4, which,1,0.03835481032729149
clean,4,Replace,1,0.03244120627641678
clean,4,Write,12,0.04059046879410744
clean,4,\n\n,89,0.04506071284413338
clean,4,assistant,474,0.042925167828798294
clean,4,"{""",278,0.03401368111371994
clean,5," """"""\n",3,0.031931616365909576
clean,5, add,35,0.029479341581463814
clean,5, assist,95,0.027269739657640457
clean,5, below,465,0.03390119969844818
clean,5, call,123,0.030451077967882156
clean,5, compute,1,0.026183446869254112
clean,5, determine,3,0.025153404101729393
clean,5, each,1,0.031226500868797302
clean,5, find,1,0.028910204768180847
clean,5, function,65,0.0317198783159256
clean,5, how,3,0.02793027088046074
clean,5, implement,13,0.02921503782272339
clean,5, minimize,1,0.03995359688997269
clean,5, multiline,1,0.025562278926372528
clean,5, query,7,0.04173336923122406
clean,5, the,221,0.031120698899030685
clean,5, to,6,0.024757852777838707
clean,5, user,18,0.026167400181293488
clean,5,.cpp,5,0.025481220334768295
clean,5,Write,60,0.031169427558779716
clean,5,\n\n,19,0.037461500614881516
clean,5,assistant,129,0.039340004324913025
clean,5,"{""",447,0.03028855472803116
