sample_id,component,direction,source_variant,base_variant,rescue_ratio,tool_score_delta,no_tool_score_delta,top1_success,boundary_flip
apps_python_1,L2H14,tool,clean_full,corrupt_full,0.3031674208144796,1.046875,-0.0242919921875,False,False
apps_python_1,L2H14,tool,clean_full,clean_no_schema,0.051470588235294115,0.177734375,-0.27734375,True,True
apps_python_1,L2H14,tool,clean_full,clean_schema_mismatch,-0.09954751131221719,-0.34375,-0.001953125,False,False
apps_python_1,L2H14,tool,clean_full,clean_no_protocol,0.03619909502262444,0.125,0.005859375,False,False
apps_python_1,MLP11,tool,clean_full,corrupt_full,0.3665158371040724,1.265625,-0.04248046875,False,False
apps_python_1,MLP11,tool,clean_full,clean_no_schema,-0.26018099547511314,-0.8984375,0.4892578125,False,False
apps_python_1,MLP11,tool,clean_full,clean_schema_mismatch,0.06787330316742081,0.234375,0.010498046875,False,False
apps_python_1,MLP11,tool,clean_full,clean_no_protocol,-0.832579185520362,-2.875,-0.080078125,False,False
apps_python_1,MLP16,tool,clean_full,corrupt_full,0.9680429864253394,3.3427734375,-1.4296875,True,True
apps_python_1,MLP16,tool,clean_full,clean_no_schema,0.06108597285067873,0.2109375,-0.34765625,True,True
apps_python_1,MLP16,tool,clean_full,clean_schema_mismatch,0.2669683257918552,0.921875,0.0184326171875,False,False
apps_python_1,MLP16,tool,clean_full,clean_no_protocol,-0.09049773755656108,-0.3125,-0.001953125,False,False
apps_python_1,L21H12,tool,clean_full,corrupt_full,0.45701357466063347,1.578125,-0.06396484375,False,False
apps_python_1,L21H12,tool,clean_full,clean_no_schema,0.08031674208144797,0.27734375,-0.52734375,True,True
apps_python_1,L21H12,tool,clean_full,clean_schema_mismatch,0.9785067873303167,3.37890625,-0.317138671875,False,False
apps_python_1,L21H12,tool,clean_full,clean_no_protocol,2.009049773755656,6.9375,0.16650390625,False,False
apps_python_1,MLP27,tool,clean_full,corrupt_full,0.6583710407239819,2.2734375,-0.2353515625,False,False
apps_python_1,MLP27,tool,clean_full,clean_no_schema,0.028846153846153848,0.099609375,-0.140625,True,True
apps_python_1,MLP27,tool,clean_full,clean_schema_mismatch,0.996606334841629,3.44140625,-0.371826171875,False,False
apps_python_1,MLP27,tool,clean_full,clean_no_protocol,2.013574660633484,6.953125,0.083984375,False,False
apps_python_1,L16H4,no_tool,corrupt_full,clean_full,0.11827956989247312,-0.0040283203125,0.34375,False,False
apps_python_1,L16H4,no_tool,corrupt_full,clean_no_schema,0.043010752688172046,-0.12109375,0.125,True,False
apps_python_1,L16H4,no_tool,corrupt_full,clean_schema_mismatch,0.0030241935483870967,0.921875,0.0087890625,True,True
apps_python_1,L16H4,no_tool,corrupt_full,clean_no_protocol,0.009408602150537635,0.125,0.02734375,True,True
apps_python_1,MLP17,no_tool,corrupt_full,clean_full,0.7661290322580645,-0.451171875,2.2265625,False,False
apps_python_1,MLP17,no_tool,corrupt_full,clean_no_schema,0.23084677419354838,-3.296875,0.6708984375,True,True
apps_python_1,MLP17,no_tool,corrupt_full,clean_schema_mismatch,-0.035198252688172046,-5.53125,-0.102294921875,True,True
apps_python_1,MLP17,no_tool,corrupt_full,clean_no_protocol,-0.05040322580645161,-7.8125,-0.146484375,True,True
apps_python_1,L23H6,no_tool,corrupt_full,clean_full,0.3763440860215054,-0.052978515625,1.09375,False,False
