family,edge,source_ratio_median,blocked_ratio_median,mediated_ratio_median,n_samples
no_tool,L16H4->MLP17,0.19777256258234518,0.11702127659574468,0.07608695652173914,1722
no_tool,MLP17->L23H6,0.47361459203564465,0.40900468883205454,0.06586826347305388,1722
no_tool,MLP17->L21H12,0.47361459203564465,0.40026178010471203,0.0657906790335509,1722
no_tool,MLP17->L21H1,0.47361459203564465,0.41256389561474305,0.058314648729446944,1722
no_tool,MLP17->L20H5,0.47361459203564465,0.4322429906542056,0.04850746268656714,1722
no_tool,MLP17->L24H6,0.47361459203564465,0.4271195097037793,0.0482758620689655,1722
tool,L21H12->MLP27,0.7068972611758509,0.3713760504201681,0.3284202317290552,1722
tool,L24H6->MLP27,0.5741183767499557,0.2687149749767749,0.3053097345132743,1722
tool,L21H1->MLP27,0.5725214198286414,0.27873820168902136,0.2915780141843971,1722
tool,L21H12->L24H6,0.7068972611758509,0.49786766840882696,0.18963095699341342,1722
tool,L21H1->L24H6,0.5725214198286414,0.3706240154034658,0.18508951338716534,1722
tool,L20H5->L21H12,0.307643234704417,0.20943058443058443,0.09375,1722
tool,L20H5->L21H1,0.307643234704417,0.2546764261647496,0.05208695652173913,1722
