family,edge,source_ratio_median,blocked_ratio_median,mediated_ratio_median,n_samples
no_tool,L16H4->MLP17,0.11827956989247312,0.06060606060606061,0.07526881720430108,3
no_tool,MLP17->L23H6,0.4636363636363636,0.35909090909090907,0.06060606060606061,3
no_tool,MLP17->L21H1,0.4636363636363636,0.39090909090909093,0.04435483870967738,3
no_tool,MLP17->L21H12,0.4636363636363636,0.35,0.04435483870967738,3
no_tool,MLP17->L24H6,0.4636363636363636,0.42727272727272725,0.036363636363636376,3
no_tool,MLP17->L20H5,0.4636363636363636,0.43863636363636366,0.024999999999999967,3
tool,L21H12->MLP27,0.8466981132075472,0.4716981132075472,0.375,3
tool,L21H1->MLP27,0.6600985221674877,0.33031674208144796,0.33004926108374383,3
tool,L24H6->MLP27,0.5778301886792453,0.2783018867924528,0.3122171945701358,3
tool,L21H1->L24H6,0.6600985221674877,0.45248868778280543,0.2264150943396226,3
tool,L21H12->L24H6,0.8466981132075472,0.6367924528301887,0.20990566037735847,3
tool,L20H5->L21H12,0.32019704433497537,0.18719211822660098,0.1330049261083744,3
tool,L20H5->L21H1,0.32019704433497537,0.27586206896551724,0.04433497536945813,3
