sample_id,base_variant,alpha,tool_score,no_tool_score,decision_score,tool_top1,boundary_flip
apps_python_1,corrupt_full,0.0,-3.453125,0.0,-3.453125,False,False
apps_python_1,corrupt_full,0.25,-2.75,-0.012451171875,-2.737548828125,False,False
apps_python_1,corrupt_full,0.5,-2.1875,-0.0498046875,-2.1376953125,False,False
apps_python_1,corrupt_full,0.75,-1.546875,-0.1337890625,-1.4130859375,False,False
apps_python_1,corrupt_full,1.0,-1.1796875,-0.2353515625,-0.9443359375,False,False
apps_python_1,corrupt_full,1.25,-0.77734375,-0.423828125,-0.353515625,False,False
apps_python_1,corrupt_full,1.5,-0.51953125,-0.640625,0.12109375,False,True
apps_python_1,clean_no_schema,0.0,-0.453125,-0.70703125,0.25390625,True,True
apps_python_1,clean_no_schema,0.25,-0.453125,-0.7109375,0.2578125,True,True
apps_python_1,clean_no_schema,0.5,-0.40234375,-0.7734375,0.37109375,True,True
apps_python_1,clean_no_schema,0.75,-0.40234375,-0.78125,0.37890625,True,True
apps_python_1,clean_no_schema,1.0,-0.353515625,-0.84765625,0.494140625,True,True
apps_python_1,clean_no_schema,1.25,-0.353515625,-0.84765625,0.494140625,True,True
apps_python_1,clean_no_schema,1.5,-0.314453125,-0.921875,0.607421875,True,True
apps_python_1,clean_schema_mismatch,0.0,-4.21875,-0.038330078125,-4.180419921875,False,False
apps_python_1,clean_schema_mismatch,0.25,-3.078125,-0.03173828125,-3.04638671875,False,False
apps_python_1,clean_schema_mismatch,0.5,-2.28125,-0.0634765625,-2.2177734375,False,False
apps_python_1,clean_schema_mismatch,0.75,-1.359375,-0.185546875,-1.173828125,False,False
apps_python_1,clean_schema_mismatch,1.0,-0.77734375,-0.41015625,-0.3671875,False,False
apps_python_1,clean_schema_mismatch,1.25,-0.365234375,-0.8125,0.447265625,True,True
apps_python_1,clean_schema_mismatch,1.5,-0.1337890625,-1.3828125,1.2490234375,True,True
apps_python_1,clean_no_protocol,0.0,-10.9375,-0.275390625,-10.662109375,False,False
apps_python_1,clean_no_protocol,0.25,-9.125,-0.23828125,-8.88671875,False,False
apps_python_1,clean_no_protocol,0.5,-7.3125,-0.205078125,-7.107421875,False,False
apps_python_1,clean_no_protocol,0.75,-5.6875,-0.1845703125,-5.5029296875,False,False
apps_python_1,clean_no_protocol,1.0,-3.984375,-0.193359375,-3.791015625,False,False
apps_python_1,clean_no_protocol,1.25,-2.640625,-0.240234375,-2.400390625,False,False
apps_python_1,clean_no_protocol,1.5,-1.5390625,-0.39453125,-1.14453125,False,False
codecontests_cpp_1,corrupt_full,0.0,-6.625,0.0,-6.625,False,False
codecontests_cpp_1,corrupt_full,0.25,-4.84375,-0.007720947265625,-4.836029052734375,False,False
codecontests_cpp_1,corrupt_full,0.5,-3.25,-0.045654296875,-3.204345703125,False,False
codecontests_cpp_1,corrupt_full,0.75,-1.6953125,-0.21875,-1.4765625,False,False
codecontests_cpp_1,corrupt_full,1.0,-0.765625,-0.65625,-0.109375,False,False
codecontests_cpp_1,corrupt_full,1.25,-0.26171875,-1.515625,1.25390625,True,True
codecontests_cpp_1,corrupt_full,1.5,-0.08544921875,-2.578125,2.49267578125,True,True
codecontests_cpp_1,clean_no_schema,0.0,-2.390625,-0.140625,-2.25,False,False
codecontests_cpp_1,clean_no_schema,0.25,-1.640625,-0.265625,-1.375,False,False
codecontests_cpp_1,clean_no_schema,0.5,-1.0859375,-0.462890625,-0.623046875,False,False
codecontests_cpp_1,clean_no_schema,0.75,-0.59375,-0.859375,0.265625,True,True
codecontests_cpp_1,clean_no_schema,1.0,-0.361328125,-1.25,0.888671875,True,True
codecontests_cpp_1,clean_no_schema,1.25,-0.2080078125,-1.7265625,1.5185546875,True,True
codecontests_cpp_1,clean_no_schema,1.5,-0.11669921875,-2.234375,2.11767578125,True,True
codecontests_cpp_1,clean_schema_mismatch,0.0,-7.0625,-0.072265625,-6.990234375,False,False
codecontests_cpp_1,clean_schema_mismatch,0.25,-5.1875,-0.06787109375,-5.11962890625,False,False
codecontests_cpp_1,clean_schema_mismatch,0.5,-3.234375,-0.0869140625,-3.1474609375,False,False
codecontests_cpp_1,clean_schema_mismatch,0.75,-1.5703125,-0.279296875,-1.291015625,False,False
codecontests_cpp_1,clean_schema_mismatch,1.0,-0.578125,-0.8671875,0.2890625,True,True
codecontests_cpp_1,clean_schema_mismatch,1.25,-0.1669921875,-1.9375,1.7705078125,True,True
codecontests_cpp_1,clean_schema_mismatch,1.5,-0.047607421875,-3.15625,3.108642578125,True,True
codecontests_cpp_1,clean_no_protocol,0.0,-14.25,-0.1552734375,-14.0947265625,False,False
codecontests_cpp_1,clean_no_protocol,0.25,-11.125,-0.1298828125,-10.9951171875,False,False
codecontests_cpp_1,clean_no_protocol,0.5,-8.0,-0.169921875,-7.830078125,False,False
codecontests_cpp_1,clean_no_protocol,0.75,-5.0,-0.23828125,-4.76171875,False,False
codecontests_cpp_1,clean_no_protocol,1.0,-2.5,-0.45703125,-2.04296875,False,False
codecontests_cpp_1,clean_no_protocol,1.25,-0.90625,-0.99609375,0.08984375,True,True
codecontests_cpp_1,clean_no_protocol,1.5,-0.203125,-2.390625,2.1875,True,True
codecontests_java_1,corrupt_full,0.0,-12.6875,0.0,-12.6875,False,False
codecontests_java_1,corrupt_full,0.25,-9.625,-0.0091552734375,-9.6158447265625,False,False
codecontests_java_1,corrupt_full,0.5,-6.65625,-0.0439453125,-6.6123046875,False,False
codecontests_java_1,corrupt_full,0.75,-3.8125,-0.1123046875,-3.7001953125,False,False
codecontests_java_1,corrupt_full,1.0,-1.6796875,-0.37890625,-1.30078125,False,False
codecontests_java_1,corrupt_full,1.25,-0.45703125,-1.296875,0.83984375,True,True
codecontests_java_1,corrupt_full,1.5,-0.1103515625,-2.75,2.6396484375,True,True
codecontests_java_1,clean_no_schema,0.0,-10.25,-0.099609375,-10.150390625,False,False
codecontests_java_1,clean_no_schema,0.25,-7.59375,-0.142578125,-7.451171875,False,False
codecontests_java_1,clean_no_schema,0.5,-5.0625,-0.1494140625,-4.9130859375,False,False
codecontests_java_1,clean_no_schema,0.75,-2.875,-0.240234375,-2.634765625,False,False
codecontests_java_1,clean_no_schema,1.0,-1.1953125,-0.5859375,-0.609375,False,False
codecontests_java_1,clean_no_schema,1.25,-0.349609375,-1.4921875,1.142578125,True,True
codecontests_java_1,clean_no_schema,1.5,-0.0966796875,-2.734375,2.6376953125,True,True
codecontests_java_1,clean_schema_mismatch,0.0,-13.375,-0.60546875,-12.76953125,False,False
codecontests_java_1,clean_schema_mismatch,0.25,-9.6875,-0.57421875,-9.11328125,False,False
codecontests_java_1,clean_schema_mismatch,0.5,-6.21875,-0.5703125,-5.6484375,False,False
codecontests_java_1,clean_schema_mismatch,0.75,-3.046875,-0.625,-2.421875,False,False
codecontests_java_1,clean_schema_mismatch,1.0,-0.86328125,-1.2421875,0.37890625,True,True
codecontests_java_1,clean_schema_mismatch,1.25,-0.1630859375,-2.75,2.5869140625,True,True
codecontests_java_1,clean_schema_mismatch,1.5,-0.03271484375,-4.625,4.59228515625,True,True
codecontests_java_1,clean_no_protocol,0.0,-10.1875,-0.33984375,-9.84765625,False,False
codecontests_java_1,clean_no_protocol,0.25,-7.46875,-0.359375,-7.109375,False,False
codecontests_java_1,clean_no_protocol,0.5,-4.875,-0.40625,-4.46875,False,False
codecontests_java_1,clean_no_protocol,0.75,-2.390625,-0.53515625,-1.85546875,False,False
codecontests_java_1,clean_no_protocol,1.0,-0.78515625,-1.1328125,0.34765625,True,True
codecontests_java_1,clean_no_protocol,1.25,-0.1943359375,-2.375,2.1806640625,True,True
codecontests_java_1,clean_no_protocol,1.5,-0.04296875,-3.9375,3.89453125,True,True
mbpp_python_1,corrupt_full,0.0,-3.1875,0.0,-3.1875,False,False
mbpp_python_1,corrupt_full,0.25,-2.53125,-0.00823974609375,-2.52301025390625,False,False
mbpp_python_1,corrupt_full,0.5,-1.90625,-0.041259765625,-1.864990234375,False,False
mbpp_python_1,corrupt_full,0.75,-1.3359375,-0.12060546875,-1.21533203125,False,False
mbpp_python_1,corrupt_full,1.0,-0.90234375,-0.244140625,-0.658203125,False,False
mbpp_python_1,corrupt_full,1.25,-0.5546875,-0.44140625,-0.11328125,False,False
mbpp_python_1,corrupt_full,1.5,-0.2578125,-0.796875,0.5390625,True,True
mbpp_python_1,clean_no_schema,0.0,-0.083984375,-1.296875,1.212890625,True,True
mbpp_python_1,clean_no_schema,0.25,-0.10107421875,-1.203125,1.10205078125,True,True
mbpp_python_1,clean_no_schema,0.5,-0.125,-1.1171875,0.9921875,True,True
mbpp_python_1,clean_no_schema,0.75,-0.125,-1.1171875,0.9921875,True,True
mbpp_python_1,clean_no_schema,1.0,-0.1513671875,-1.0234375,0.8720703125,True,True
mbpp_python_1,clean_no_schema,1.25,-0.1826171875,-0.953125,0.7705078125,True,True
mbpp_python_1,clean_no_schema,1.5,-0.2177734375,-0.87109375,0.6533203125,True,True
mbpp_python_1,clean_schema_mismatch,0.0,-4.5625,-0.0791015625,-4.4833984375,False,False
mbpp_python_1,clean_schema_mismatch,0.25,-3.484375,-0.1025390625,-3.3818359375,False,False
mbpp_python_1,clean_schema_mismatch,0.5,-2.5,-0.1767578125,-2.3232421875,False,False
mbpp_python_1,clean_schema_mismatch,0.75,-1.6484375,-0.322265625,-1.326171875,False,False
mbpp_python_1,clean_schema_mismatch,1.0,-0.9765625,-0.63671875,-0.33984375,False,False
mbpp_python_1,clean_schema_mismatch,1.25,-0.54296875,-1.078125,0.53515625,True,True
mbpp_python_1,clean_schema_mismatch,1.5,-0.283203125,-1.6953125,1.412109375,True,True
mbpp_python_1,clean_no_protocol,0.0,-17.25,-0.58984375,-16.66015625,False,False
mbpp_python_1,clean_no_protocol,0.25,-14.25,-0.55078125,-13.69921875,False,False
mbpp_python_1,clean_no_protocol,0.5,-11.1875,-0.52734375,-10.66015625,False,False
mbpp_python_1,clean_no_protocol,0.75,-8.3125,-0.53125,-7.78125,False,False
mbpp_python_1,clean_no_protocol,1.0,-5.78125,-0.54296875,-5.23828125,False,False
mbpp_python_1,clean_no_protocol,1.25,-3.46875,-0.63671875,-2.83203125,False,False
mbpp_python_1,clean_no_protocol,1.5,-1.703125,-0.94140625,-0.76171875,False,False
codecontests_java_2,corrupt_full,0.0,-6.75,0.0,-6.75,False,False
codecontests_java_2,corrupt_full,0.25,-5.125,-0.006866455078125,-5.118133544921875,False,False
codecontests_java_2,corrupt_full,0.5,-3.53125,-0.035888671875,-3.495361328125,False,False
codecontests_java_2,corrupt_full,0.75,-2.046875,-0.146484375,-1.900390625,False,False
codecontests_java_2,corrupt_full,1.0,-0.92578125,-0.5,-0.42578125,False,False
codecontests_java_2,corrupt_full,1.25,-0.318359375,-1.2421875,0.923828125,True,True
codecontests_java_2,corrupt_full,1.5,-0.08984375,-2.234375,2.14453125,True,True
codecontests_java_2,clean_no_schema,0.0,-4.5625,-0.2236328125,-4.3388671875,False,False
codecontests_java_2,clean_no_schema,0.25,-3.25,-0.271484375,-2.978515625,False,False
codecontests_java_2,clean_no_schema,0.5,-2.125,-0.369140625,-1.755859375,False,False
codecontests_java_2,clean_no_schema,0.75,-1.109375,-0.67578125,-0.43359375,False,False
codecontests_java_2,clean_no_schema,1.0,-0.5234375,-1.171875,0.6484375,True,True
codecontests_java_2,clean_no_schema,1.25,-0.208984375,-1.8359375,1.626953125,True,True
codecontests_java_2,clean_no_schema,1.5,-0.0732421875,-2.671875,2.5986328125,True,True
codecontests_java_2,clean_schema_mismatch,0.0,-2.359375,-0.166015625,-2.193359375,False,False
codecontests_java_2,clean_schema_mismatch,0.25,-1.5390625,-0.30859375,-1.23046875,False,False
codecontests_java_2,clean_schema_mismatch,0.5,-0.71875,-0.703125,-0.015625,True,False
codecontests_java_2,clean_schema_mismatch,0.75,-0.283203125,-1.359375,1.076171875,True,True
codecontests_java_2,clean_schema_mismatch,1.0,-0.1005859375,-2.140625,2.0400390625,True,True
codecontests_java_2,clean_schema_mismatch,1.25,-0.031982421875,-2.90625,2.874267578125,True,True
codecontests_java_2,clean_schema_mismatch,1.5,-0.00689697265625,-3.71875,3.71185302734375,True,True
codecontests_java_2,clean_no_protocol,0.0,-20.875,-0.1162109375,-20.7587890625,False,False
codecontests_java_2,clean_no_protocol,0.25,-17.25,-0.10107421875,-17.14892578125,False,False
codecontests_java_2,clean_no_protocol,0.5,-13.25,-0.11181640625,-13.13818359375,False,False
codecontests_java_2,clean_no_protocol,0.75,-9.25,-0.1923828125,-9.0576171875,False,False
codecontests_java_2,clean_no_protocol,1.0,-5.8125,-0.326171875,-5.486328125,False,False
codecontests_java_2,clean_no_protocol,1.25,-2.921875,-0.6015625,-2.3203125,False,False
codecontests_java_2,clean_no_protocol,1.5,-1.046875,-1.1796875,0.1328125,True,True
codecontests_cpp_3,corrupt_full,0.0,-3.8125,0.0,-3.8125,False,False
codecontests_cpp_3,corrupt_full,0.25,-2.890625,-0.0111083984375,-2.8795166015625,False,False
codecontests_cpp_3,corrupt_full,0.5,-1.9921875,-0.06689453125,-1.92529296875,False,False
codecontests_cpp_3,corrupt_full,0.75,-1.2109375,-0.21484375,-0.99609375,False,False
codecontests_cpp_3,corrupt_full,1.0,-0.66796875,-0.490234375,-0.177734375,False,False
codecontests_cpp_3,corrupt_full,1.25,-0.265625,-1.015625,0.75,True,True
codecontests_cpp_3,corrupt_full,1.5,-0.103515625,-1.5625,1.458984375,True,True
codecontests_cpp_3,clean_no_schema,0.0,-5.78125,-0.05126953125,-5.72998046875,False,False
codecontests_cpp_3,clean_no_schema,0.25,-4.625,-0.0306396484375,-4.5943603515625,False,False
codecontests_cpp_3,clean_no_schema,0.5,-3.359375,-0.0262451171875,-3.3331298828125,False,False
codecontests_cpp_3,clean_no_schema,0.75,-2.34375,-0.058837890625,-2.284912109375,False,False
codecontests_cpp_3,clean_no_schema,1.0,-1.34375,-0.2060546875,-1.1376953125,False,False
codecontests_cpp_3,clean_no_schema,1.25,-0.64453125,-0.546875,-0.09765625,False,False
codecontests_cpp_3,clean_no_schema,1.5,-0.259765625,-1.078125,0.818359375,True,True
codecontests_cpp_3,clean_schema_mismatch,0.0,-7.6875,-0.1015625,-7.5859375,False,False
codecontests_cpp_3,clean_schema_mismatch,0.25,-5.9375,-0.080078125,-5.857421875,False,False
codecontests_cpp_3,clean_schema_mismatch,0.5,-4.1875,-0.0703125,-4.1171875,False,False
codecontests_cpp_3,clean_schema_mismatch,0.75,-2.53125,-0.11962890625,-2.41162109375,False,False
codecontests_cpp_3,clean_schema_mismatch,1.0,-1.234375,-0.33203125,-0.90234375,False,False
codecontests_cpp_3,clean_schema_mismatch,1.25,-0.353515625,-1.046875,0.693359375,True,True
codecontests_cpp_3,clean_schema_mismatch,1.5,-0.0830078125,-1.9375,1.8544921875,True,True
codecontests_cpp_3,clean_no_protocol,0.0,-15.25,-0.32421875,-14.92578125,False,False
codecontests_cpp_3,clean_no_protocol,0.25,-12.25,-0.228515625,-12.021484375,False,False
codecontests_cpp_3,clean_no_protocol,0.5,-9.1875,-0.1611328125,-9.0263671875,False,False
codecontests_cpp_3,clean_no_protocol,0.75,-6.34375,-0.1279296875,-6.2158203125,False,False
codecontests_cpp_3,clean_no_protocol,1.0,-3.78125,-0.1484375,-3.6328125,False,False
codecontests_cpp_3,clean_no_protocol,1.25,-1.5859375,-0.375,-1.2109375,False,False
codecontests_cpp_3,clean_no_protocol,1.5,-0.373046875,-1.2578125,0.884765625,True,True
codecontests_java_3,corrupt_full,0.0,-9.25,0.0,-9.25,False,False
codecontests_java_3,corrupt_full,0.25,-6.90625,-0.007720947265625,-6.898529052734375,False,False
codecontests_java_3,corrupt_full,0.5,-4.53125,-0.048095703125,-4.483154296875,False,False
codecontests_java_3,corrupt_full,0.75,-2.5,-0.1689453125,-2.3310546875,False,False
codecontests_java_3,corrupt_full,1.0,-1.046875,-0.6015625,-0.4453125,False,False
codecontests_java_3,corrupt_full,1.25,-0.31640625,-1.609375,1.29296875,True,True
codecontests_java_3,corrupt_full,1.5,-0.11962890625,-2.640625,2.52099609375,True,True
codecontests_java_3,clean_no_schema,0.0,-11.75,-0.2138671875,-11.5361328125,False,False
codecontests_java_3,clean_no_schema,0.25,-8.6875,-0.224609375,-8.462890625,False,False
codecontests_java_3,clean_no_schema,0.5,-5.84375,-0.224609375,-5.619140625,False,False
codecontests_java_3,clean_no_schema,0.75,-3.265625,-0.26953125,-2.99609375,False,False
codecontests_java_3,clean_no_schema,1.0,-1.3359375,-0.5703125,-0.765625,False,False
codecontests_java_3,clean_no_schema,1.25,-0.37890625,-1.4765625,1.09765625,True,True
codecontests_java_3,clean_no_schema,1.5,-0.11376953125,-2.6875,2.57373046875,True,True
codecontests_java_3,clean_schema_mismatch,0.0,-1.9609375,-0.4609375,-1.5,False,False
codecontests_java_3,clean_schema_mismatch,0.25,-0.84375,-0.828125,-0.015625,False,False
codecontests_java_3,clean_schema_mismatch,0.5,-0.298828125,-1.6171875,1.318359375,True,True
codecontests_java_3,clean_schema_mismatch,0.75,-0.095703125,-2.640625,2.544921875,True,True
codecontests_java_3,clean_schema_mismatch,1.0,-0.03125,-3.671875,3.640625,True,True
codecontests_java_3,clean_schema_mismatch,1.25,-0.01165771484375,-4.59375,4.58209228515625,True,True
codecontests_java_3,clean_schema_mismatch,1.5,-0.005584716796875,-5.34375,5.338165283203125,True,True
codecontests_java_3,clean_no_protocol,0.0,-7.65625,-0.349609375,-7.306640625,False,False
codecontests_java_3,clean_no_protocol,0.25,-5.28125,-0.376953125,-4.904296875,False,False
codecontests_java_3,clean_no_protocol,0.5,-3.015625,-0.439453125,-2.576171875,False,False
codecontests_java_3,clean_no_protocol,0.75,-1.265625,-0.765625,-0.5,False,False
codecontests_java_3,clean_no_protocol,1.0,-0.3671875,-1.7109375,1.34375,True,True
codecontests_java_3,clean_no_protocol,1.25,-0.09912109375,-3.015625,2.91650390625,True,True
codecontests_java_3,clean_no_protocol,1.5,-0.03271484375,-4.1875,4.15478515625,True,True
apps_python_4,corrupt_full,0.0,-4.15625,0.0,-4.15625,False,False
