base_variant,alpha,n_samples,tool_score_median,no_tool_score_median,decision_score_median,tool_top1_rate,boundary_flip_rate
clean_no_protocol,0.0,1722,-13.0,-0.431640625,-12.22265625,0.0,0.0
clean_no_protocol,0.25,1722,-10.4375,-0.388671875,-9.822021484375,0.0,0.0
clean_no_protocol,0.5,1722,-7.90625,-0.361328125,-7.34326171875,0.0005807200929152149,0.0005807200929152149
clean_no_protocol,0.75,1722,-5.65625,-0.3662109375,-5.08251953125,0.0017421602787456446,0.0029036004645760743
clean_no_protocol,1.0,1722,-3.515625,-0.470703125,-2.974609375,0.05168408826945412,0.062137049941927994
clean_no_protocol,1.25,1722,-1.7109375,-0.755859375,-1.015625,0.23635307781649245,0.28339140534262486
clean_no_protocol,1.5,1722,-0.533203125,-1.40625,0.751953125,0.5929152148664344,0.6608594657375145
clean_no_schema,0.0,1722,-3.1015625,-0.19580078125,-2.9794921875,0.09988385598141696,0.1173054587688734
clean_no_schema,0.25,1722,-2.40625,-0.23828125,-2.240234375,0.11904761904761904,0.14343786295005806
clean_no_schema,0.5,1722,-1.78125,-0.3125,-1.54296875,0.15853658536585366,0.18989547038327526
clean_no_schema,0.75,1722,-1.25390625,-0.4111328125,-0.875,0.2456445993031359,0.27177700348432055
clean_no_schema,1.0,1722,-0.798828125,-0.58203125,-0.25390625,0.3797909407665505,0.4181184668989547
clean_no_schema,1.25,1722,-0.48828125,-0.8515625,0.33203125,0.5563298490127758,0.6120789779326364
clean_no_schema,1.5,1722,-0.26171875,-1.22265625,0.9453125,0.6806039488966318,0.7607433217189314
clean_schema_mismatch,0.0,1722,-4.96875,-0.17431640625,-4.8214111328125,0.053426248548199766,0.05749128919860627
clean_schema_mismatch,0.25,1722,-3.65625,-0.18212890625,-3.50616455078125,0.09233449477351917,0.09814169570267131
clean_schema_mismatch,0.5,1722,-2.375,-0.23828125,-2.20947265625,0.1562137049941928,0.16260162601626016
clean_schema_mismatch,0.75,1722,-1.359375,-0.38671875,-0.994140625,0.2694541231126597,0.28339140534262486
clean_schema_mismatch,1.0,1722,-0.611328125,-0.7578125,0.1533203125,0.5087108013937283,0.5435540069686411
clean_schema_mismatch,1.25,1722,-0.2041015625,-1.37109375,1.14111328125,0.789198606271777,0.8403019744483159
clean_schema_mismatch,1.5,1722,-0.0579833984375,-2.125,2.03759765625,0.9570267131242741,0.9814169570267132
corrupt_full,0.0,1722,-4.5625,0.0,-4.5625,0.0,0.0
corrupt_full,0.25,1722,-3.484375,-0.00970458984375,-3.4781341552734375,0.0,0.0
corrupt_full,0.5,1722,-2.46875,-0.046630859375,-2.4114990234375,0.0040650406504065045,0.0
corrupt_full,0.75,1722,-1.59375,-0.14599609375,-1.443603515625,0.06910569105691057,0.04123112659698026
corrupt_full,1.0,1722,-0.875,-0.3701171875,-0.51220703125,0.289198606271777,0.27584204413472707
corrupt_full,1.25,1722,-0.4033203125,-0.7890625,0.3759765625,0.6039488966318235,0.6602787456445993
corrupt_full,1.5,1722,-0.14599609375,-1.3515625,1.201171875,0.8333333333333334,0.8995354239256679
