space,variant,semantic,frame,semantic_margin_median,semantic_correct_rate
l2h14_z,no_tool_manually,no_tool,manually,0.002382934093475342,1.0
l2h14_z,no_tool_out,no_tool,out,-0.002155005931854248,0.0
l2h14_z,no_tool_properly,no_tool,properly,0.0021841228008270264,1.0
l2h14_z,original_clean,tool,original,-0.002213805913925171,0.4
l2h14_z,original_corrupt,no_tool,original,-0.004437625408172607,0.3
l2h14_z,tool_manually,tool,manually,-0.0061337947845458984,0.0
l2h14_z,tool_out,tool,out,-0.005203574895858765,0.0
l2h14_z,tool_properly,tool,properly,-0.0075089335441589355,0.0
mlp11_out,no_tool_manually,no_tool,manually,0.0016832053661346436,1.0
mlp11_out,no_tool_out,no_tool,out,-0.0008082389831542969,0.1
mlp11_out,no_tool_properly,no_tool,properly,0.003993391990661621,1.0
mlp11_out,original_clean,tool,original,0.005216509103775024,1.0
mlp11_out,original_corrupt,no_tool,original,0.0021722018718719482,0.9
mlp11_out,tool_manually,tool,manually,0.0021437108516693115,1.0
mlp11_out,tool_out,tool,out,0.002668023109436035,1.0
mlp11_out,tool_properly,tool,properly,-0.001218646764755249,0.0
