variant,rank,token,count,attn_median
no_tool_manually,1, query,8,0.0630070473998785
no_tool_manually,1,\n\n,2,0.056616902351379395
no_tool_manually,2, below,1,0.049682989716529846
no_tool_manually,2, query,1,0.05180429667234421
no_tool_manually,2,\n\n,7,0.05383331701159477
no_tool_manually,2,assistant,1,0.05051441863179207
no_tool_manually,3, query,1,0.048014767467975616
no_tool_manually,3,\n\n,1,0.05047782137989998
no_tool_manually,3,assistant,8,0.0444088838994503
no_tool_manually,4, below,1,0.03725970536470413
no_tool_manually,4, the,8,0.0388666782528162
no_tool_manually,4,"{""",1,0.03590850159525871
no_tool_manually,5, below,3,0.03257479891180992
no_tool_manually,5, the,2,0.03396577946841717
no_tool_manually,5,assistant,1,0.04406162351369858
no_tool_manually,5,"{""",4,0.02869920339435339
no_tool_out,1, below,1,0.05906035006046295
no_tool_out,1, query,7,0.062160659581422806
no_tool_out,1,\n\n,2,0.057761356234550476
no_tool_out,2, query,2,0.051322611048817635
no_tool_out,2,\n\n,7,0.05202914774417877
no_tool_out,2,assistant,1,0.05248955637216568
no_tool_out,3, the,2,0.0468894075602293
no_tool_out,3,\n\n,1,0.04817116633057594
no_tool_out,3,assistant,7,0.04555762931704521
no_tool_out,4, below,1,0.04340457171201706
no_tool_out,4, query,1,0.045905277132987976
no_tool_out,4, the,7,0.03691751882433891
no_tool_out,4,assistant,1,0.043968357145786285
no_tool_out,5, below,6,0.033059727400541306
no_tool_out,5, the,1,0.03950360044836998
no_tool_out,5,assistant,1,0.04274376109242439
no_tool_out,5,"{""",2,0.03330390341579914
no_tool_properly,1, query,8,0.0637861043214798
no_tool_properly,1,\n\n,2,0.05793273262679577
no_tool_properly,2, query,2,0.05398192256689072
no_tool_properly,2,\n\n,8,0.0531244445592165
no_tool_properly,3, below,1,0.047813646495342255
no_tool_properly,3,assistant,9,0.04445536434650421
no_tool_properly,4, below,4,0.03320776578038931
no_tool_properly,4,assistant,1,0.045726507902145386
no_tool_properly,4,"{""",5,0.032180026173591614
no_tool_properly,5," """"""\n",1,0.030066898092627525
no_tool_properly,5, assist,1,0.02703152410686016
no_tool_properly,5, below,1,0.025093458592891693
no_tool_properly,5, call,1,0.02879379317164421
no_tool_properly,5, the,2,0.025752998888492584
no_tool_properly,5, user,1,0.026404326781630516
no_tool_properly,5,"{""",3,0.030945107340812683
original_clean,1, below,1,0.06210935115814209
original_clean,1, query,4,0.070935919880867
original_clean,1, the,2,0.06214785948395729
original_clean,1,\n\n,3,0.05628174543380737
original_clean,2, query,5,0.05296894907951355
original_clean,2, the,1,0.0559040829539299
original_clean,2,\n\n,4,0.05624137073755264
original_clean,3, query,1,0.04496254771947861
original_clean,3, the,1,0.05020492896437645
original_clean,3,\n\n,2,0.04744335822761059
original_clean,3,assistant,6,0.04962517321109772
original_clean,4, below,3,0.03778612241148949
original_clean,4,Write,1,0.04365674778819084
original_clean,4,\n\n,1,0.04931196570396423
original_clean,4,assistant,3,0.04414064437150955
original_clean,4,"{""",2,0.03296760004013777
original_clean,5, below,4,0.03054989594966173
original_clean,5, call,1,0.028381584212183952
original_clean,5, the,2,0.029478087089955807
original_clean,5,assistant,1,0.03993275761604309
original_clean,5,"{""",2,0.029129239730536938
original_corrupt,1, query,4,0.06855800375342369
original_corrupt,1, the,6,0.10572702437639236
original_corrupt,2, below,1,0.04792020469903946
original_corrupt,2, query,2,0.053062928840518
original_corrupt,2,\n\n,7,0.04805789515376091
original_corrupt,3, query,3,0.05116996541619301
original_corrupt,3, the,2,0.043747423216700554
original_corrupt,3,\n\n,2,0.04615902528166771
original_corrupt,3,assistant,3,0.0473865307867527
original_corrupt,4, below,1,0.03656110540032387
original_corrupt,4, query,1,0.04059065133333206
original_corrupt,4, the,1,0.038328252732753754
original_corrupt,4,\n\n,1,0.045682571828365326
original_corrupt,4,assistant,6,0.04370194301009178
original_corrupt,5," """"""\n",1,0.03088950179517269
original_corrupt,5, below,6,0.03350324556231499
original_corrupt,5,Implement,1,0.03213341534137726
original_corrupt,5,ise,1,0.03903821483254433
original_corrupt,5,"{""",1,0.03432784974575043
tool_manually,1, query,8,0.0635815653949976
tool_manually,1,\n\n,2,0.05723388306796551
tool_manually,2, below,1,0.049768149852752686
tool_manually,2, query,1,0.05295581743121147
tool_manually,2,\n\n,7,0.05213164538145065
tool_manually,2,assistant,1,0.05186339467763901
tool_manually,3, query,1,0.04854711890220642
tool_manually,3,\n\n,1,0.050002321600914
tool_manually,3,assistant,8,0.04581878334283829
tool_manually,4, below,1,0.03778612241148949
tool_manually,4, the,7,0.03508686646819115
tool_manually,4,assistant,1,0.045028507709503174
tool_manually,4,"{""",1,0.03531064838171005
tool_manually,5, below,4,0.031726921908557415
tool_manually,5, the,3,0.03005049005150795
tool_manually,5,"{""",3,0.02974257618188858
tool_out,1, query,4,0.06000310927629471
tool_out,1, the,5,0.0570249930024147
tool_out,1,\n\n,1,0.058973025530576706
tool_out,2, below,1,0.053372789174318314
tool_out,2, query,2,0.05296648479998112
tool_out,2, the,5,0.053909871727228165
tool_out,2,\n\n,2,0.05376819334924221
tool_out,3, query,3,0.04869198426604271
tool_out,3,\n\n,6,0.04908061772584915
tool_out,3,assistant,1,0.0490703359246254
tool_out,4, query,1,0.04217615723609924
tool_out,4,Write,1,0.04365674778819084
tool_out,4,\n\n,1,0.047913964837789536
tool_out,4,assistant,7,0.0424719862639904
tool_out,5, below,4,0.03652725927531719
