sample_id,variant,component,set,mass
apps_python_1,clean_full,L20H5,user_block,0.37655019760131836
apps_python_1,clean_full,L20H5,tools_payload,0.20127417147159576
apps_python_1,clean_full,L20H5,protocol_payload,nan
apps_python_1,clean_full,L20H5,tool_call_tags,0.017177261412143707
apps_python_1,clean_full,L21H1,user_block,0.12942840158939362
apps_python_1,clean_full,L21H1,tools_payload,0.0024451909121125937
apps_python_1,clean_full,L21H1,protocol_payload,nan
apps_python_1,clean_full,L21H1,tool_call_tags,0.06278117001056671
apps_python_1,clean_full,L21H12,user_block,0.06347623467445374
apps_python_1,clean_full,L21H12,tools_payload,0.022221175953745842
apps_python_1,clean_full,L21H12,protocol_payload,nan
apps_python_1,clean_full,L21H12,tool_call_tags,0.030369604006409645
apps_python_1,clean_full,L16H4,user_block,0.4785672128200531
apps_python_1,clean_full,L16H4,tools_payload,6.996262982283952e-07
apps_python_1,clean_full,L16H4,protocol_payload,nan
apps_python_1,clean_full,L16H4,tool_call_tags,0.00027556467102840543
apps_python_1,corrupt_full,L20H5,user_block,0.3248023986816406
apps_python_1,corrupt_full,L20H5,tools_payload,0.17997591197490692
apps_python_1,corrupt_full,L20H5,protocol_payload,nan
apps_python_1,corrupt_full,L20H5,tool_call_tags,0.015809379518032074
apps_python_1,corrupt_full,L21H1,user_block,0.11403203010559082
apps_python_1,corrupt_full,L21H1,tools_payload,0.0018966221250593662
apps_python_1,corrupt_full,L21H1,protocol_payload,nan
apps_python_1,corrupt_full,L21H1,tool_call_tags,0.01965618133544922
apps_python_1,corrupt_full,L21H12,user_block,0.0683143213391304
apps_python_1,corrupt_full,L21H12,tools_payload,0.0285980012267828
apps_python_1,corrupt_full,L21H12,protocol_payload,nan
apps_python_1,corrupt_full,L21H12,tool_call_tags,0.013003611005842686
apps_python_1,corrupt_full,L16H4,user_block,0.5301167964935303
apps_python_1,corrupt_full,L16H4,tools_payload,3.983694796261261e-07
apps_python_1,corrupt_full,L16H4,protocol_payload,nan
apps_python_1,corrupt_full,L16H4,tool_call_tags,0.00016200369282159954
codecontests_cpp_1,clean_full,L20H5,user_block,0.11936342716217041
codecontests_cpp_1,clean_full,L20H5,tools_payload,0.22038361430168152
codecontests_cpp_1,clean_full,L20H5,protocol_payload,nan
codecontests_cpp_1,clean_full,L20H5,tool_call_tags,0.03318823128938675
codecontests_cpp_1,clean_full,L21H1,user_block,0.21789804100990295
codecontests_cpp_1,clean_full,L21H1,tools_payload,0.004982089623808861
codecontests_cpp_1,clean_full,L21H1,protocol_payload,nan
codecontests_cpp_1,clean_full,L21H1,tool_call_tags,0.03409194201231003
codecontests_cpp_1,clean_full,L21H12,user_block,0.01273677870631218
codecontests_cpp_1,clean_full,L21H12,tools_payload,0.019403960555791855
codecontests_cpp_1,clean_full,L21H12,protocol_payload,nan
codecontests_cpp_1,clean_full,L21H12,tool_call_tags,0.014532468281686306
codecontests_cpp_1,clean_full,L16H4,user_block,0.32364580035209656
codecontests_cpp_1,clean_full,L16H4,tools_payload,5.829720066685695e-07
codecontests_cpp_1,clean_full,L16H4,protocol_payload,nan
codecontests_cpp_1,clean_full,L16H4,tool_call_tags,4.492564039537683e-05
codecontests_cpp_1,corrupt_full,L20H5,user_block,0.4641481935977936
codecontests_cpp_1,corrupt_full,L20H5,tools_payload,0.11990319937467575
codecontests_cpp_1,corrupt_full,L20H5,protocol_payload,nan
codecontests_cpp_1,corrupt_full,L20H5,tool_call_tags,0.01236080564558506
codecontests_cpp_1,corrupt_full,L21H1,user_block,0.20339587330818176
codecontests_cpp_1,corrupt_full,L21H1,tools_payload,0.0030421200208365917
codecontests_cpp_1,corrupt_full,L21H1,protocol_payload,nan
codecontests_cpp_1,corrupt_full,L21H1,tool_call_tags,0.01353649515658617
codecontests_cpp_1,corrupt_full,L21H12,user_block,0.1011216938495636
codecontests_cpp_1,corrupt_full,L21H12,tools_payload,0.03957826644182205
codecontests_cpp_1,corrupt_full,L21H12,protocol_payload,nan
codecontests_cpp_1,corrupt_full,L21H12,tool_call_tags,0.011134736239910126
codecontests_cpp_1,corrupt_full,L16H4,user_block,0.4250272512435913
codecontests_cpp_1,corrupt_full,L16H4,tools_payload,8.121770633806591e-07
codecontests_cpp_1,corrupt_full,L16H4,protocol_payload,nan
codecontests_cpp_1,corrupt_full,L16H4,tool_call_tags,6.744966958649457e-05
codecontests_java_1,clean_full,L20H5,user_block,0.11709785461425781
codecontests_java_1,clean_full,L20H5,tools_payload,0.1929437518119812
codecontests_java_1,clean_full,L20H5,protocol_payload,nan
codecontests_java_1,clean_full,L20H5,tool_call_tags,0.04319322109222412
codecontests_java_1,clean_full,L21H1,user_block,0.33879584074020386
codecontests_java_1,clean_full,L21H1,tools_payload,0.005643612239509821
codecontests_java_1,clean_full,L21H1,protocol_payload,nan
codecontests_java_1,clean_full,L21H1,tool_call_tags,0.0319363959133625
codecontests_java_1,clean_full,L21H12,user_block,0.012876315042376518
codecontests_java_1,clean_full,L21H12,tools_payload,0.014709504321217537
codecontests_java_1,clean_full,L21H12,protocol_payload,nan
codecontests_java_1,clean_full,L21H12,tool_call_tags,0.014645511284470558
codecontests_java_1,clean_full,L16H4,user_block,0.42306414246559143
codecontests_java_1,clean_full,L16H4,tools_payload,9.923915058607236e-07
codecontests_java_1,clean_full,L16H4,protocol_payload,nan
codecontests_java_1,clean_full,L16H4,tool_call_tags,0.00010140457015950233
codecontests_java_1,corrupt_full,L20H5,user_block,0.39004796743392944
codecontests_java_1,corrupt_full,L20H5,tools_payload,0.09967333823442459
codecontests_java_1,corrupt_full,L20H5,protocol_payload,nan
codecontests_java_1,corrupt_full,L20H5,tool_call_tags,0.013526269234716892
codecontests_java_1,corrupt_full,L21H1,user_block,0.33574378490448
codecontests_java_1,corrupt_full,L21H1,tools_payload,0.0021722977980971336
codecontests_java_1,corrupt_full,L21H1,protocol_payload,nan
codecontests_java_1,corrupt_full,L21H1,tool_call_tags,0.006267875898629427
codecontests_java_1,corrupt_full,L21H12,user_block,0.15129439532756805
codecontests_java_1,corrupt_full,L21H12,tools_payload,0.018601251766085625
codecontests_java_1,corrupt_full,L21H12,protocol_payload,nan
codecontests_java_1,corrupt_full,L21H12,tool_call_tags,0.004254363477230072
codecontests_java_1,corrupt_full,L16H4,user_block,0.4978431761264801
codecontests_java_1,corrupt_full,L16H4,tools_payload,5.595098286903522e-07
codecontests_java_1,corrupt_full,L16H4,protocol_payload,nan
codecontests_java_1,corrupt_full,L16H4,tool_call_tags,0.00012005957250948995
mbpp_python_1,clean_full,L20H5,user_block,0.25180795788764954
mbpp_python_1,clean_full,L20H5,tools_payload,0.21582987904548645
mbpp_python_1,clean_full,L20H5,protocol_payload,nan
mbpp_python_1,clean_full,L20H5,tool_call_tags,0.029882138594985008
mbpp_python_1,clean_full,L21H1,user_block,0.1875436156988144
mbpp_python_1,clean_full,L21H1,tools_payload,0.002819392131641507
mbpp_python_1,clean_full,L21H1,protocol_payload,nan
mbpp_python_1,clean_full,L21H1,tool_call_tags,0.08864972740411758
mbpp_python_1,clean_full,L21H12,user_block,0.10722397267818451
mbpp_python_1,clean_full,L21H12,tools_payload,0.050461992621421814
mbpp_python_1,clean_full,L21H12,protocol_payload,nan
mbpp_python_1,clean_full,L21H12,tool_call_tags,0.02827407419681549
mbpp_python_1,clean_full,L16H4,user_block,0.3672194480895996
mbpp_python_1,clean_full,L16H4,tools_payload,3.6109217944613192e-06
mbpp_python_1,clean_full,L16H4,protocol_payload,nan
mbpp_python_1,clean_full,L16H4,tool_call_tags,7.266962347785011e-05
mbpp_python_1,corrupt_full,L20H5,user_block,0.3887031376361847
mbpp_python_1,corrupt_full,L20H5,tools_payload,0.12382777035236359
mbpp_python_1,corrupt_full,L20H5,protocol_payload,nan
mbpp_python_1,corrupt_full,L20H5,tool_call_tags,0.017952924594283104
mbpp_python_1,corrupt_full,L21H1,user_block,0.21052998304367065
mbpp_python_1,corrupt_full,L21H1,tools_payload,0.0018814827781170607
mbpp_python_1,corrupt_full,L21H1,protocol_payload,nan
mbpp_python_1,corrupt_full,L21H1,tool_call_tags,0.03707125782966614
mbpp_python_1,corrupt_full,L21H12,user_block,0.12715481221675873
mbpp_python_1,corrupt_full,L21H12,tools_payload,0.035350169986486435
mbpp_python_1,corrupt_full,L21H12,protocol_payload,nan
mbpp_python_1,corrupt_full,L21H12,tool_call_tags,0.015023911371827126
