variant,component,set,mass_median
clean_full,L16H4,protocol_payload,nan
clean_full,L16H4,tool_call_tags,0.00013958498311694711
clean_full,L16H4,tools_payload,1.241466861756635e-06
clean_full,L16H4,user_block,0.45280537009239197
clean_full,L20H5,protocol_payload,nan
clean_full,L20H5,tool_call_tags,0.0255737891420722
clean_full,L20H5,tools_payload,0.20391198247671127
clean_full,L20H5,user_block,0.2221621870994568
clean_full,L21H1,protocol_payload,nan
clean_full,L21H1,tool_call_tags,0.024856586940586567
clean_full,L21H1,tools_payload,0.0027041127905249596
clean_full,L21H1,user_block,0.2331445813179016
clean_full,L21H12,protocol_payload,nan
clean_full,L21H12,tool_call_tags,0.014764437451958656
clean_full,L21H12,tools_payload,0.024546322412788868
clean_full,L21H12,user_block,0.0488437432795763
corrupt_full,L16H4,protocol_payload,nan
corrupt_full,L16H4,tool_call_tags,0.00013695755478693172
corrupt_full,L16H4,tools_payload,9.5411292022618e-07
corrupt_full,L16H4,user_block,0.5107870697975159
corrupt_full,L20H5,protocol_payload,nan
corrupt_full,L20H5,tool_call_tags,0.013973501976579428
corrupt_full,L20H5,tools_payload,0.13243628293275833
corrupt_full,L20H5,user_block,0.3707663118839264
corrupt_full,L21H1,protocol_payload,nan
corrupt_full,L21H1,tool_call_tags,0.01020001620054245
corrupt_full,L21H1,tools_payload,0.002001766348257661
corrupt_full,L21H1,user_block,0.23784035444259644
corrupt_full,L21H12,protocol_payload,nan
corrupt_full,L21H12,tool_call_tags,0.008635792415589094
corrupt_full,L21H12,tools_payload,0.025837239809334278
corrupt_full,L21H12,user_block,0.11634472385048866
