source,target,support_weighted,support_unweighted
MLP27,Residual Output: no_tool,0.9990772134151482,0.9988385598141696
L24H6,Residual Output: no_tool,0.9935762388656596,0.9936120789779327
L24H6,MLP27,0.9719771474688409,0.9721254355400697
L23H6,Residual Output: no_tool,0.8590397703003464,0.8577235772357723
L21H12,MLP27,0.7135113461699809,0.7160278745644599
L16H8,MLP17,0.6188213763669552,0.6207897793263647
MLP16,MLP17,0.6139924648316013,0.6120789779326364
MLP17,MLP19,0.6041214339058228,0.6068524970963995
MLP17,L21H12,0.6032638541449203,0.6074332171893148
MLP19,L21H12,0.6005367726103866,0.6051103368176539
MLP17,L24H6,0.5684268986101383,0.5679442508710801
MLP17,L23H6,0.5528304976961251,0.5487804878048781
MLP19,L23H6,0.5054724332647839,0.5058072009291521
MLP19,L24H6,0.5042643187823417,0.5075493612078978
MLP16,L17H8,0.48295472680857765,0.47793263646922185
L16H4,MLP17,0.41926574497739716,0.4250871080139373
L21H1,MLP27,0.4113052389943442,0.40301974448315914
MLP17,L20H5,0.4058756439551646,0.4088269454123113
MLP19,L21H1,0.3946542209387069,0.3885017421602787
MLP17,L21H1,0.3830108957276309,0.37746806039488967
MLP19,L20H5,0.3417792335055535,0.3443670150987224
MLP16,MLP19,0.3414674879921968,0.3408826945412311
L20H5,MLP27,0.33821663330201257,0.33855981416957026
L23H6,MLP27,0.32514064980278995,0.31939605110336816
MLP16,L17H2,0.29963149311521,0.2961672473867596
MLP12,L16H8,0.2971545255834754,0.3037166085946574
L23H6,L24H6,0.28643706536621205,0.2868757259001161
MLP12,L16H4,0.2758479861788864,0.27990708478513354
L21H12,L23H6,0.27542022829813373,0.281068524970964
L17H8,MLP19,0.27527246830773844,0.27409988385598144
MLP12,MLP16,0.2514945206267526,0.25493612078977934
MLP16,L24H6,0.23734295258754193,0.2311265969802555
MLP16,L21H12,0.23680880146130445,0.23170731707317074
MLP16,L23H6,0.22390638496413495,0.21718931475029035
L16H8,L17H8,0.2110984005102782,0.2067363530778165
L17H8,MLP27,0.19856986950003772,0.19628339140534262
L21H12,L24H6,0.19272463494776373,0.19628339140534262
L16H8,L17H2,0.180850686113465,0.17828106852497097
MLP11,L16H8,0.17940584182717792,0.17711962833914052
MLP17,L18H14,0.17674024808326677,0.1753774680603949
MLP11,MLP16,0.17664541836955372,0.17305458768873402
Input Embed,L2H14,0.1709036900416964,0.1765389082462253
L17H2,MLP19,0.16719688490823814,0.16608594657375145
MLP17,MLP18,0.16674652893085365,0.16666666666666666
MLP11,L16H4,0.16517181863999134,0.16318234610917537
MLP17,L20H14,0.15898868223780352,0.1527293844367015
MLP16,L17H12,0.15304630100688388,0.15447154471544716
MLP12,L17H8,0.1498802980497082,0.1521486643437863
L13H9,MLP16,0.14447117696141423,0.14285714285714285
L15H5,L16H8,0.14049483127421447,0.13472706155632985
MLP19,L20H14,0.13939227156012235,0.13414634146341464
Input Embed,L2H15,0.13756366415805807,0.14576074332171893
MLP16,L20H5,0.13501094271855127,0.13356562137049943
L16H9,MLP17,0.1348487714093679,0.13066202090592335
MLP12,L13H9,0.1340133636160424,0.13182346109175377
MLP11,MLP12,0.13346578753422259,0.13066202090592335
L16H4,L17H8,0.13216720007830263,0.13356562137049943
L15H5,MLP16,0.13148916008949518,0.12601626016260162
L12H6,MLP16,0.1288640816643191,0.13240418118466898
MLP16,L21H1,0.12729585141634328,0.12311265969802555
L18H14,MLP19,0.1263768415800472,0.12427409988385599
MLP16,L18H14,0.12632163192041854,0.12427409988385599
L20H14,MLP27,0.12616446680337132,0.1207897793263647
MLP18,MLP19,0.12303384109314346,0.12311265969802555
L20H5,L21H12,0.12252852584657893,0.12311265969802555
MLP20,L21H12,0.1207421696707426,0.12137049941927991
