node,layer,support_weighted,support_unweighted,median_score_norm,mean_score_norm
MLP27,27,0.9990772134151482,0.9988385598141696,0.7988026702596767,0.776100677966558
L24H6,24,0.9948085722889137,0.9947735191637631,0.35267857142857145,0.40340741056322504
MLP17,17,0.9115001540834454,0.913472706155633,0.5291005291005291,0.5328611590898427
L23H6,23,0.9100045883997815,0.9065040650406504,0.24236641221374045,0.25602673095525036
L21H12,21,0.8656692699725504,0.8693379790940766,0.32170542635658916,0.35732590741145676
MLP16,16,0.759440742268803,0.7549361207897793,0.47397609305145105,0.4833919398097116
MLP19,19,0.7542125871565921,0.7555168408826946,0.4312977099236641,0.4353616330222966
L16H8,16,0.7492286296617617,0.7497096399535423,0.24803149606299213,0.27363001441829493
L17H8,17,0.6087174523509185,0.6051103368176539,0.23269128350789986,0.2533616151847799
L21H1,21,0.5430383283073528,0.5336817653890824,0.27325581395348836,0.295577349376
L16H4,16,0.5322675282681447,0.5371660859465738,0.23902439024390243,0.2527637501059274
L20H5,20,0.5068814014359447,0.5087108013937283,0.22568753111000497,0.24488071266059777
MLP12,12,0.45443741429740736,0.462253193960511,0.39663461538461536,0.41948559192670515
L17H2,17,0.37197293177982055,0.3704994192799071,0.24514380009429515,0.2659162816599386
MLP11,11,0.32927601133818,0.3234610917537747,0.42962962962962964,0.43338245761646316
L12H6,12,0.3035508175050789,0.3124274099883856,0.14369803568823844,0.16468462763141264
L13H9,13,0.26601601883202736,0.26422764227642276,0.11561264822134387,0.12773682955534205
L17H12,17,0.2108844464926404,0.21370499419279906,0.23992637215528784,0.2661935482379698
MLP18,18,0.1940633282286687,0.194541231126597,0.4305555555555556,0.44170199086774403
L13H3,13,0.1815374818618711,0.18699186991869918,0.14673822251921148,0.1586900774246509
MLP13,13,0.18138589099323282,0.18466898954703834,0.36326979472140764,0.3820339791977217
L16H9,16,0.18135702202163628,0.1759581881533101,0.2147887323943662,0.24237617634676245
L18H14,18,0.1805124512993824,0.1794425087108014,0.23780487804878048,0.24479527163790404
MLP20,20,0.18032607709887005,0.1800232288037166,0.2560824876398647,0.2701088830021506
L20H14,20,0.1775723431526499,0.17073170731707318,0.2070761260675424,0.21324787984531415
L2H14,2,0.1709036900416964,0.1765389082462253,0.06479203935599284,0.0750687684230091
L11H1,11,0.16355163281080695,0.1602787456445993,0.16425075548548154,0.1831468053229582
L15H5,15,0.16070730932870636,0.15447154471544716,0.30553883806772586,0.32374180846154804
MLP5,5,0.14163889659862763,0.14518002322880372,0.1480908152734778,0.16259485685153185
L16H13,16,0.13964939080951086,0.14111498257839722,0.23492462311557788,0.25545534307870915
L2H15,2,0.13870049882816554,0.14692218350754935,0.06286764705882353,0.07119734370032443
L9H3,9,0.1320044046540625,0.13008130081300814,0.15314348070965925,0.1678275625422063
L10H2,10,0.1270485866737809,0.12717770034843207,0.16457286432160803,0.17321730443211533
MLP6,6,0.12487510454122987,0.1248548199767712,0.12727272727272726,0.15835642817795628
MLP3,3,0.11728567750928955,0.11788617886178862,0.125,0.1426372055910117
L13H6,13,0.10717453431027556,0.10627177700348432,0.22687861271676302,0.23383223674537337
L12H0,12,0.10623569145948708,0.10220673635307782,0.13914708148718935,0.16261821155632522
MLP4,4,0.10487489076962599,0.10511033681765389,0.13178294573643412,0.16112004825808474
L6H0,6,0.10243594888037387,0.11091753774680604,0.0575,0.06418375586531391
L15H9,15,0.08669144551153872,0.08710801393728224,0.19497873199205168,0.22602940275271385
MLP1,1,0.0851653330981089,0.08478513356562137,0.12811278040749124,0.1547297949789943
MLP2,2,0.08093182399172097,0.08246225319396051,0.1420807453416149,0.1629476625413576
MLP10,10,0.07733725237560826,0.07375145180023229,0.21610169491525424,0.23564975641297084
MLP0,0,0.07507101133624576,0.0743321718931475,0.1190668960631515,0.15300697425500032
MLP9,9,0.07354714092435241,0.07142857142857142,0.3235294117647059,0.31730871056107196
L11H8,11,0.06841681850161728,0.06852497096399536,0.13718616452991456,0.14842287075605465
L11H5,11,0.06191261631147666,0.059233449477351915,0.11452913279132791,0.13793602043322167
L4H15,4,0.05879505431867876,0.0627177700348432,0.0588052908113392,0.06433148111303763
L13H10,13,0.056732337454568495,0.05400696864111498,0.245,0.24560793580431417
L10H5,10,0.05630353458765441,0.05516840882694541,0.12389867841409692,0.1304987906813831
L9H5,9,0.05610094992269452,0.056910569105691054,0.14332060510299627,0.1500377564410424
MLP7,7,0.052715963396799334,0.052845528455284556,0.1976284584980237,0.22390523359858172
L13H13,13,0.04986266121512376,0.04878048780487805,0.15634242382557262,0.16579593161391343
