sample_id,base_variant,step_idx,node,rescue_ratio,top1_is_tool,boundary_flip
apps_python_1,clean_no_schema,1,L21H12,0.08031674208144797,True,True
apps_python_1,clean_no_schema,2,MLP27,0.07239819004524888,True,True
apps_python_1,clean_schema_mismatch,1,L21H12,0.9785067873303167,False,False
apps_python_1,clean_schema_mismatch,2,MLP27,1.1787330316742082,True,True
apps_python_1,clean_no_protocol,1,L21H12,2.009049773755656,False,False
apps_python_1,clean_no_protocol,2,MLP27,2.81447963800905,False,False
codecontests_cpp_1,clean_no_schema,1,L21H12,0.33903301886792453,True,True
codecontests_cpp_1,clean_no_schema,2,MLP27,0.3508991745283019,True,True
codecontests_cpp_1,clean_schema_mismatch,1,L21H12,1.0268278301886793,True,True
codecontests_cpp_1,clean_schema_mismatch,2,MLP27,1.0613760318396226,True,True
codecontests_cpp_1,clean_no_protocol,1,L21H12,1.721698113207547,False,False
codecontests_cpp_1,clean_no_protocol,2,MLP27,2.126179245283019,True,True
codecontests_java_1,clean_no_schema,1,L21H12,0.7781711822660099,True,True
codecontests_java_1,clean_no_schema,2,MLP27,0.8038023399014779,True,True
codecontests_java_1,clean_schema_mismatch,1,L21H12,1.0224753694581281,True,True
codecontests_java_1,clean_schema_mismatch,2,MLP27,1.0530999846059113,True,True
codecontests_java_1,clean_no_protocol,1,L21H12,0.6865763546798029,False,False
codecontests_java_1,clean_no_protocol,2,MLP27,0.8005214747536946,True,True
mbpp_python_1,clean_no_schema,1,L21H12,0.02217371323529412,True,True
mbpp_python_1,clean_no_schema,2,MLP27,-0.0044424019607843136,True,True
mbpp_python_1,clean_schema_mismatch,1,L21H12,0.9387254901960784,False,False
mbpp_python_1,clean_schema_mismatch,2,MLP27,1.3504901960784315,True,True
mbpp_python_1,clean_no_protocol,1,L21H12,2.784313725490196,False,False
mbpp_python_1,clean_no_protocol,2,MLP27,4.681372549019608,False,False
codecontests_java_2,clean_no_schema,1,L21H12,0.6108217592592593,True,True
