head,family,component,rescue_ratio_median,top1_rate
L16H4,no_tool,k,0.0,0.0005807200929152149
L16H4,no_tool,q,0.0,0.0005807200929152149
L16H4,no_tool,v,0.034482758620689655,0.0017421602787456446
L16H4,no_tool,z,0.19777256258234518,0.011614401858304297
L20H5,tool,k,0.0,0.0
L20H5,tool,q,0.15615337043908473,0.0
L20H5,tool,v,0.0,0.0
L20H5,tool,z,0.307643234704417,0.005226480836236934
L21H1,tool,k,0.0,0.0
L21H1,tool,q,0.5457855251544572,0.03774680603948897
L21H1,tool,v,0.0,0.0
L21H1,tool,z,0.5725214198286414,0.056329849012775844
L21H12,tool,k,0.0,0.0
L21H12,tool,q,0.6924653215636822,0.14343786295005806
L21H12,tool,v,0.0,0.0
L21H12,tool,z,0.7068972611758509,0.15911730545876887
L23H6,no_tool,k,0.0,0.0
L23H6,no_tool,q,0.004597919837645865,0.0005807200929152149
L23H6,no_tool,v,0.0,0.0
L23H6,no_tool,z,0.27993710691823903,0.022067363530778164
L24H6,tool,k,0.0,0.0
L24H6,tool,q,0.572277390813253,0.005226480836236934
L24H6,tool,v,0.0,0.0
L24H6,tool,z,0.5741183767499557,0.004645760743321719
