sample_id,stage,tool_token_delta,distractor_delta
apps_python_1,resid_mid,-0.15625,0.419921875
apps_python_1,resid_post,-0.09375,0.22265625
codecontests_cpp_1,resid_mid,-0.0625,-0.066650390625
codecontests_cpp_1,resid_post,-0.09375,0.03515625
codecontests_java_1,resid_mid,0.0,0.0625
codecontests_java_1,resid_post,-0.03125,-0.04296875
mbpp_python_1,resid_mid,0.03125,0.216461181640625
mbpp_python_1,resid_post,0.0,-0.0234375
codecontests_java_2,resid_mid,0.15625,0.13671875
codecontests_java_2,resid_post,0.03125,0.435546875
codecontests_cpp_3,resid_mid,0.0625,0.15576171875
codecontests_cpp_3,resid_post,0.0625,0.1484375
codecontests_java_3,resid_mid,-0.09375,0.1865234375
codecontests_java_3,resid_post,-0.15625,0.109375
apps_python_4,resid_mid,0.03125,-0.09765625
apps_python_4,resid_post,-0.09375,0.203125
codecontests_cpp_4,resid_mid,0.09375,0.0791015625
codecontests_cpp_4,resid_post,0.0625,0.052734375
codecontests_java_4,resid_mid,-0.03125,0.1260986328125
codecontests_java_4,resid_post,-0.0625,0.078125
mbpp_python_4,resid_mid,-0.09375,-0.1331787109375
mbpp_python_4,resid_post,-0.15625,0.0625
apps_python_5,resid_mid,-0.03125,0.581787109375
apps_python_5,resid_post,0.0,0.046875
codecontests_cpp_5,resid_mid,0.03125,-0.04736328125
codecontests_cpp_5,resid_post,-0.03125,-0.01171875
codecontests_java_5,resid_mid,0.0625,0.2548828125
codecontests_java_5,resid_post,-0.03125,0.03125
codecontests_cpp_6,resid_mid,0.0,0.2529296875
codecontests_cpp_6,resid_post,0.0,0.212890625
codecontests_java_6,resid_mid,0.0625,0.037109375
codecontests_java_6,resid_post,-0.03125,-0.1455078125
codecontests_java_7,resid_mid,0.09375,0.3486328125
codecontests_java_7,resid_post,0.125,0.0625
apps_python_8,resid_mid,-0.0625,0.38818359375
apps_python_8,resid_post,0.0625,0.0390625
apps_python_9,resid_mid,0.0625,0.326171875
apps_python_9,resid_post,0.125,-0.015625
codecontests_cpp_9,resid_mid,-0.0625,0.0146484375
codecontests_cpp_9,resid_post,0.0,0.07421875
codecontests_java_9,resid_mid,0.09375,-0.00537109375
codecontests_java_9,resid_post,0.0625,-0.1328125
apps_python_10,resid_mid,0.03125,-0.087890625
apps_python_10,resid_post,0.03125,-0.2109375
codecontests_cpp_11,resid_mid,0.15625,-0.033203125
codecontests_cpp_11,resid_post,0.0625,-0.005859375
codecontests_java_11,resid_mid,0.09375,0.0908203125
