sample_id,variant,rank,pos,token,attn
apps_python_1,clean,1,18, query,0.0775856077671051
apps_python_1,clean,2,225,\n\n,0.04854261875152588
apps_python_1,clean,3,220,assistant,0.04071587324142456
apps_python_1,clean,4,38,"{""",0.03618424013257027
apps_python_1,clean,5,8, call,0.028381584212183952
apps_python_1,base,1,18, query,0.07293092459440231
apps_python_1,base,2,225,\n\n,0.04685896262526512
apps_python_1,base,3,137, the,0.04240480065345764
apps_python_1,base,4,220,assistant,0.03792589157819748
apps_python_1,base,5,38,"{""",0.03432784974575043
codecontests_cpp_1,clean,1,136, the,0.0658174529671669
codecontests_cpp_1,clean,2,18, query,0.050239793956279755
codecontests_cpp_1,clean,3,252,\n\n,0.04697477072477341
codecontests_cpp_1,clean,4,134,Write,0.04365674778819084
codecontests_cpp_1,clean,5,247,assistant,0.03993275761604309
codecontests_cpp_1,base,1,18, query,0.056639138609170914
codecontests_cpp_1,base,2,252,\n\n,0.04795857146382332
codecontests_cpp_1,base,3,136, the,0.045090045779943466
codecontests_cpp_1,base,4,247,assistant,0.043968357145786285
codecontests_cpp_1,base,5,150, below,0.03842215985059738
codecontests_java_1,clean,1,18, query,0.0642862319946289
codecontests_java_1,clean,2,246,\n\n,0.05779576301574707
codecontests_java_1,clean,3,241,assistant,0.04913939908146858
codecontests_java_1,clean,4,149, below,0.04357257857918739
codecontests_java_1,clean,5,38,"{""",0.032366469502449036
codecontests_java_1,base,1,135, the,0.14765368402004242
codecontests_java_1,base,2,18, query,0.054308608174324036
codecontests_java_1,base,3,246,\n\n,0.04663011059165001
codecontests_java_1,base,4,241,assistant,0.04343552887439728
codecontests_java_1,base,5,149, below,0.039560724049806595
mbpp_python_1,clean,1,18, query,0.07871535420417786
mbpp_python_1,clean,2,302,\n\n,0.05751994624733925
mbpp_python_1,clean,3,297,assistant,0.04618358984589577
mbpp_python_1,clean,4,151, below,0.03778612241148949
mbpp_python_1,clean,5,137, the,0.03005049005150795
mbpp_python_1,base,1,18, query,0.0827343538403511
mbpp_python_1,base,2,302,\n\n,0.059049248695373535
mbpp_python_1,base,3,297,assistant,0.04752189666032791
mbpp_python_1,base,4,151, below,0.03656110540032387
mbpp_python_1,base,5,160," """"""\n",0.03088950179517269
codecontests_java_2,clean,1,150, below,0.06210935115814209
codecontests_java_2,clean,2,288,\n\n,0.05496279522776604
codecontests_java_2,clean,3,18, query,0.04496254771947861
codecontests_java_2,clean,4,283,assistant,0.04414064437150955
codecontests_java_2,clean,5,136, the,0.028905684128403664
codecontests_java_2,base,1,136, the,0.11164852231740952
codecontests_java_2,base,2,150, below,0.04792020469903946
codecontests_java_2,base,3,288,\n\n,0.04568793997168541
codecontests_java_2,base,4,18, query,0.04059065133333206
codecontests_java_2,base,5,135,ise,0.03903821483254433
codecontests_cpp_3,clean,1,135, the,0.05847826600074768
codecontests_cpp_3,clean,2,18, query,0.05424140766263008
codecontests_cpp_3,clean,3,239,assistant,0.050368648022413254
codecontests_cpp_3,clean,4,244,\n\n,0.04931196570396423
codecontests_cpp_3,clean,5,149, below,0.03341101109981537
codecontests_cpp_3,base,1,135, the,0.08749796450138092
codecontests_cpp_3,base,2,18, query,0.05181724950671196
codecontests_cpp_3,base,3,239,assistant,0.0473865307867527
codecontests_cpp_3,base,4,244,\n\n,0.045682571828365326
codecontests_cpp_3,base,5,134,Implement,0.03213341534137726
codecontests_java_3,clean,1,239,\n\n,0.05628174543380737
codecontests_java_3,clean,2,18, query,0.05278943479061127
codecontests_java_3,clean,3,234,assistant,0.05011094734072685
codecontests_java_3,clean,4,149, below,0.03769824281334877
codecontests_java_3,clean,5,38,"{""",0.02589200995862484
codecontests_java_3,base,1,135, the,0.14774812757968903
codecontests_java_3,base,2,239,\n\n,0.04734091833233833
codecontests_java_3,base,3,18, query,0.04423617571592331
codecontests_java_3,base,4,234,assistant,0.04342958331108093
codecontests_java_3,base,5,149, below,0.034798964858055115
apps_python_4,clean,1,18, query,0.057941704988479614
apps_python_4,clean,2,136, the,0.0559040829539299
apps_python_4,clean,3,239,\n\n,0.04791194573044777
apps_python_4,clean,4,234,assistant,0.041733209043741226
apps_python_4,clean,5,150, below,0.026870721951127052
apps_python_4,base,1,18, query,0.06418508291244507
apps_python_4,base,2,239,\n\n,0.04805789515376091
apps_python_4,base,3,234,assistant,0.04430253058671951
apps_python_4,base,4,136, the,0.038328252732753754
apps_python_4,base,5,150, below,0.028432538732886314
codecontests_cpp_4,clean,1,242,\n\n,0.053592100739479065
codecontests_cpp_4,clean,2,18, query,0.05296894907951355
codecontests_cpp_4,clean,3,135, the,0.05020492896437645
codecontests_cpp_4,clean,4,237,assistant,0.04722009599208832
codecontests_cpp_4,clean,5,149, below,0.03942122310400009
codecontests_cpp_4,base,1,135, the,0.09980552643537521
codecontests_cpp_4,base,2,242,\n\n,0.05169134587049484
codecontests_cpp_4,base,3,18, query,0.05116996541619301
codecontests_cpp_4,base,4,237,assistant,0.045593224465847015
codecontests_cpp_4,base,5,149, below,0.03220752626657486
codecontests_java_4,clean,1,237,\n\n,0.06361314654350281
codecontests_java_4,clean,2,18, query,0.05525340884923935
codecontests_java_4,clean,3,232,assistant,0.0520135723054409
codecontests_java_4,clean,4,38,"{""",0.02975095994770527
codecontests_java_4,clean,5,149, below,0.027688780799508095
codecontests_java_4,base,1,135, the,0.06731517612934113
codecontests_java_4,base,2,237,\n\n,0.058128345757722855
codecontests_java_4,base,3,18, query,0.05161917954683304
codecontests_java_4,base,4,232,assistant,0.0475040040910244
codecontests_java_4,base,5,149, below,0.03146888315677643
mbpp_python_4,clean,1,18, query,0.06671522557735443
mbpp_python_4,clean,2,136, the,0.05483194440603256
mbpp_python_4,clean,3,212,\n\n,0.04495813325047493
mbpp_python_4,clean,4,207,assistant,0.038879018276929855
mbpp_python_4,clean,5,38,"{""",0.03542766347527504
mbpp_python_4,base,1,18, query,0.07226445525884628
mbpp_python_4,base,2,212,\n\n,0.047140613198280334
mbpp_python_4,base,3,207,assistant,0.041185054928064346
mbpp_python_4,base,4,38,"{""",0.0382830910384655
mbpp_python_4,base,5,136, the,0.03817703202366829
apps_python_5,clean,1,18, query,0.07467527687549591
apps_python_5,clean,2,243,\n\n,0.04836328327655792
apps_python_5,clean,3,238,assistant,0.044225312769412994
apps_python_5,clean,4,8, call,0.04103470221161842
apps_python_5,clean,5,38,"{""",0.03494894877076149
apps_python_5,base,1,18, query,0.07618562877178192
apps_python_5,base,2,243,\n\n,0.04883018508553505
apps_python_5,base,3,238,assistant,0.04361914098262787
apps_python_5,base,4,8, call,0.041886456310749054
apps_python_5,base,5,38,"{""",0.035969771444797516
codecontests_cpp_5,clean,1,135, the,0.06757460534572601
codecontests_cpp_5,clean,2,238,\n\n,0.05388539656996727
codecontests_cpp_5,clean,3,233,assistant,0.04994461312890053
codecontests_cpp_5,clean,4,18, query,0.046935491263866425
codecontests_cpp_5,clean,5,149, below,0.03070555068552494
codecontests_cpp_5,base,1,135, the,0.11368830502033234
codecontests_cpp_5,base,2,238,\n\n,0.04912693053483963
codecontests_cpp_5,base,3,233,assistant,0.04777806997299194
codecontests_cpp_5,base,4,18, query,0.04358390346169472
codecontests_cpp_5,base,5,149, below,0.029136262834072113
codecontests_java_5,clean,1,135, the,0.06596297025680542
codecontests_java_5,clean,2,18, query,0.06040893867611885
codecontests_java_5,clean,3,233,\n\n,0.050884757190942764
codecontests_java_5,clean,4,228,assistant,0.04393552988767624
codecontests_java_5,clean,5,149, below,0.038144905120134354
codecontests_java_5,base,1,135, the,0.18885475397109985
codecontests_java_5,base,2,18, query,0.0502629317343235
codecontests_java_5,base,3,233,\n\n,0.04305990785360336
codecontests_java_5,base,4,228,assistant,0.037537768483161926
codecontests_java_5,base,5,134,Craft,0.032673854380846024
codecontests_cpp_6,clean,1,135, the,0.06813789159059525
codecontests_cpp_6,clean,2,18, query,0.05313298851251602
codecontests_cpp_6,clean,3,149, below,0.0472140833735466
codecontests_cpp_6,clean,4,252,\n\n,0.04506071284413338
codecontests_cpp_6,clean,5,247,assistant,0.043484993278980255
codecontests_cpp_6,base,1,135, the,0.10394492000341415
codecontests_cpp_6,base,2,18, query,0.05079130828380585
codecontests_cpp_6,base,3,252,\n\n,0.04542386159300804
codecontests_cpp_6,base,4,247,assistant,0.04221446439623833
codecontests_cpp_6,base,5,134,Implement,0.03807241469621658
codecontests_java_6,clean,1,135, the,0.07138445973396301
codecontests_java_6,clean,2,18, query,0.06068648025393486
codecontests_java_6,clean,3,247,\n\n,0.051966842263936996
codecontests_java_6,clean,4,242,assistant,0.04513471573591232
codecontests_java_6,clean,5,149, below,0.042339473962783813
codecontests_java_6,base,1,135, the,0.15036238729953766
codecontests_java_6,base,2,18, query,0.05494436249136925
codecontests_java_6,base,3,247,\n\n,0.04670223593711853
codecontests_java_6,base,4,242,assistant,0.04357193410396576
codecontests_java_6,base,5,149, below,0.03930431604385376
codecontests_java_7,clean,1,18, query,0.05941227450966835
codecontests_java_7,clean,2,225,\n\n,0.056830812245607376
codecontests_java_7,clean,3,220,assistant,0.04921203479170799
codecontests_java_7,clean,4,38,"{""",0.030013496056199074
codecontests_java_7,clean,5,14, assist,0.02770712785422802
codecontests_java_7,base,1,18, query,0.058899253606796265
codecontests_java_7,base,2,225,\n\n,0.057052552700042725
codecontests_java_7,base,3,220,assistant,0.048167116940021515
codecontests_java_7,base,4,38,"{""",0.030486702919006348
codecontests_java_7,base,5,14, assist,0.027645597234368324
apps_python_8,clean,1,18, query,0.08414335548877716
apps_python_8,clean,2,217,\n\n,0.05528148263692856
apps_python_8,clean,3,212,assistant,0.04288269206881523
apps_python_8,clean,4,151, below,0.0331328809261322
apps_python_8,clean,5,38,"{""",0.031047934666275978
apps_python_8,base,1,18, query,0.08219052851200104
apps_python_8,base,2,217,\n\n,0.054260265082120895
apps_python_8,base,3,212,assistant,0.04203179478645325
apps_python_8,base,4,137, the,0.03722148761153221
apps_python_8,base,5,151, below,0.03381713479757309
apps_python_9,clean,1,18, query,0.06969434767961502
apps_python_9,clean,2,239,\n\n,0.04718569293618202
apps_python_9,clean,3,234,assistant,0.038028910756111145
apps_python_9,clean,4,137, the,0.03139711171388626
apps_python_9,clean,5,38,"{""",0.030237648636102676
apps_python_9,base,1,18, query,0.06771562993526459
apps_python_9,base,2,239,\n\n,0.048163097351789474
apps_python_9,base,3,234,assistant,0.037206731736660004
apps_python_9,base,4,137, the,0.032847099006175995
apps_python_9,base,5,38,"{""",0.030336307361721992
codecontests_cpp_9,clean,1,135, the,0.13504014909267426
codecontests_cpp_9,clean,2,18, query,0.04849489778280258
codecontests_cpp_9,clean,3,232,\n\n,0.048365116119384766
codecontests_cpp_9,clean,4,227,assistant,0.043094754219055176
codecontests_cpp_9,clean,5,149, below,0.03401634097099304
codecontests_cpp_9,base,1,135, the,0.0852513238787651
codecontests_cpp_9,base,2,18, query,0.054239291697740555
codecontests_cpp_9,base,3,232,\n\n,0.05052173137664795
codecontests_cpp_9,base,4,227,assistant,0.04564675688743591
codecontests_cpp_9,base,5,134,Implement,0.03539329394698143
codecontests_java_9,clean,1,18, query,0.06754203885793686
codecontests_java_9,clean,2,227,\n\n,0.057637546211481094
codecontests_java_9,clean,3,222,assistant,0.04586610198020935
codecontests_java_9,clean,4,149, below,0.04485549405217171
codecontests_java_9,clean,5,135, the,0.03753285855054855
codecontests_java_9,base,1,135, the,0.14144004881381989
codecontests_java_9,base,2,18, query,0.05992782115936279
codecontests_java_9,base,3,227,\n\n,0.04767894372344017
codecontests_java_9,base,4,222,assistant,0.04249081015586853
codecontests_java_9,base,5,149, below,0.040510617196559906
apps_python_10,clean,1,18, query,0.08209626376628876
apps_python_10,clean,2,135, the,0.05274574086070061
apps_python_10,clean,3,228,\n\n,0.04632983356714249
apps_python_10,clean,4,223,assistant,0.042099036276340485
apps_python_10,clean,5,149, below,0.03950253129005432
apps_python_10,base,1,18, query,0.0854412317276001
apps_python_10,base,2,228,\n\n,0.04808655381202698
apps_python_10,base,3,223,assistant,0.045100778341293335
apps_python_10,base,4,149, below,0.037309680134058
apps_python_10,base,5,38,"{""",0.031120115891098976
codecontests_cpp_11,clean,1,135, the,0.05667027086019516
codecontests_cpp_11,clean,2,18, query,0.05617062374949455
codecontests_cpp_11,clean,3,231,\n\n,0.0553017295897007
codecontests_cpp_11,clean,4,226,assistant,0.046629831194877625
codecontests_cpp_11,clean,5,149, below,0.039329662919044495
codecontests_cpp_11,base,1,135, the,0.09421254694461823
codecontests_cpp_11,base,2,18, query,0.05214802920818329
codecontests_cpp_11,base,3,231,\n\n,0.05143791064620018
codecontests_cpp_11,base,4,226,assistant,0.04403604567050934
codecontests_cpp_11,base,5,149, below,0.03773822635412216
codecontests_java_11,clean,1,18, query,0.06488842517137527
codecontests_java_11,clean,2,227,\n\n,0.06245974078774452
codecontests_java_11,clean,3,222,assistant,0.04487962648272514
codecontests_java_11,clean,4,150, below,0.03816946595907211
codecontests_java_11,clean,5,38,"{""",0.026175683364272118
codecontests_java_11,base,1,136, the,0.09687154740095139
codecontests_java_11,base,2,18, query,0.05891508236527443
codecontests_java_11,base,3,227,\n\n,0.05338216572999954
codecontests_java_11,base,4,222,assistant,0.03803227096796036
codecontests_java_11,base,5,135,ise,0.03401356190443039
humaneval_python_11,clean,1,135, the,0.13777495920658112
humaneval_python_11,clean,2,18, query,0.06293946504592896
humaneval_python_11,clean,3,213,\n\n,0.04623816907405853
humaneval_python_11,clean,4,149, below,0.03963673487305641
humaneval_python_11,clean,5,208,assistant,0.03562795743346214
humaneval_python_11,base,1,135, the,0.08465346693992615
humaneval_python_11,base,2,18, query,0.07023395597934723
humaneval_python_11,base,3,213,\n\n,0.04926523193717003
humaneval_python_11,base,4,149, below,0.04178156331181526
humaneval_python_11,base,5,208,assistant,0.037624552845954895
mbpp_python_11,clean,1,18, query,0.06055932492017746
mbpp_python_11,clean,2,299,\n\n,0.052569009363651276
mbpp_python_11,clean,3,294,assistant,0.03756595775485039
mbpp_python_11,clean,4,151, below,0.03747702017426491
mbpp_python_11,clean,5,159," """"""\n",0.03574855998158455
mbpp_python_11,base,1,18, query,0.06298420578241348
mbpp_python_11,base,2,299,\n\n,0.053886089473962784
mbpp_python_11,base,3,294,assistant,0.03931189328432083
mbpp_python_11,base,4,159," """"""\n",0.03903378173708916
mbpp_python_11,base,5,151, below,0.035312578082084656
codecontests_cpp_12,clean,1,135, the,0.06022360175848007
codecontests_cpp_12,clean,2,18, query,0.06018455699086189
codecontests_cpp_12,clean,3,247,\n\n,0.04900839179754257
codecontests_cpp_12,clean,4,242,assistant,0.04763710871338844
codecontests_cpp_12,clean,5,149, below,0.04705128073692322
codecontests_cpp_12,base,1,135, the,0.11193287372589111
codecontests_cpp_12,base,2,18, query,0.05764206871390343
codecontests_cpp_12,base,3,247,\n\n,0.048064935952425
codecontests_cpp_12,base,4,242,assistant,0.045551128685474396
codecontests_cpp_12,base,5,149, below,0.03819594532251358
codecontests_java_12,clean,1,242,\n\n,0.05960645526647568
codecontests_java_12,clean,2,18, query,0.05880424380302429
codecontests_java_12,clean,3,237,assistant,0.05617924779653549
codecontests_java_12,clean,4,149, below,0.03680691868066788
codecontests_java_12,clean,5,38,"{""",0.02855365164577961
codecontests_java_12,base,1,135, the,0.14375250041484833
codecontests_java_12,base,2,18, query,0.05016035959124565
codecontests_java_12,base,3,242,\n\n,0.049373943358659744
codecontests_java_12,base,4,237,assistant,0.04761281982064247
codecontests_java_12,base,5,149, below,0.03373963013291359
apps_python_13,clean,1,18, query,0.07424629479646683
apps_python_13,clean,2,225,\n\n,0.057883813977241516
apps_python_13,clean,3,220,assistant,0.04067016765475273
apps_python_13,clean,4,38,"{""",0.03653138130903244
apps_python_13,clean,5,8, call,0.027777567505836487
apps_python_13,base,1,18, query,0.07461049407720566
apps_python_13,base,2,225,\n\n,0.05790005624294281
apps_python_13,base,3,220,assistant,0.03982595354318619
apps_python_13,base,4,38,"{""",0.03661089017987251
apps_python_13,base,5,8, call,0.027741381898522377
codecontests_java_13,clean,1,135, the,0.0789530798792839
codecontests_java_13,clean,2,18, query,0.0558134987950325
codecontests_java_13,clean,3,252,\n\n,0.04852912575006485
codecontests_java_13,clean,4,247,assistant,0.043989330530166626
codecontests_java_13,clean,5,149, below,0.04232626408338547
codecontests_java_13,base,1,135, the,0.14410091936588287
codecontests_java_13,base,2,18, query,0.053864508867263794
codecontests_java_13,base,3,252,\n\n,0.045278724282979965
codecontests_java_13,base,4,247,assistant,0.04196624457836151
codecontests_java_13,base,5,149, below,0.036456283181905746
apps_python_14,clean,1,136, the,0.0721057653427124
apps_python_14,clean,2,18, query,0.05353720858693123
apps_python_14,clean,3,150, below,0.051888857036828995
apps_python_14,clean,4,271,\n\n,0.045111365616321564
apps_python_14,clean,5,134,Write,0.04439804330468178
apps_python_14,base,1,18, query,0.060057248920202255
apps_python_14,base,2,150, below,0.05541926622390747
apps_python_14,base,3,136, the,0.0513363815844059
apps_python_14,base,4,271,\n\n,0.047657765448093414
apps_python_14,base,5,266,assistant,0.03985093533992767
codecontests_cpp_14,clean,1,223,\n\n,0.05678685009479523
codecontests_cpp_14,clean,2,218,assistant,0.05539160966873169
codecontests_cpp_14,clean,3,18, query,0.05283014848828316
codecontests_cpp_14,clean,4,137, the,0.035668160766363144
codecontests_cpp_14,clean,5,38,"{""",0.02623271755874157
codecontests_cpp_14,base,1,223,\n\n,0.05501430854201317
codecontests_cpp_14,base,2,218,assistant,0.052406828850507736
codecontests_cpp_14,base,3,18, query,0.050246573984622955
codecontests_cpp_14,base,4,137, the,0.04718531668186188
codecontests_cpp_14,base,5,136, implement,0.036359965801239014
codecontests_java_14,clean,1,18, query,0.06769789755344391
codecontests_java_14,clean,2,216,\n\n,0.053460367023944855
codecontests_java_14,clean,3,211,assistant,0.05040336400270462
codecontests_java_14,clean,4,149, below,0.041134849190711975
codecontests_java_14,clean,5,135, the,0.04080245643854141
codecontests_java_14,base,1,135, the,0.1858348399400711
codecontests_java_14,base,2,18, query,0.05312125384807587
codecontests_java_14,base,3,216,\n\n,0.04575711116194725
codecontests_java_14,base,4,211,assistant,0.04240298271179199
codecontests_java_14,base,5,134,Craft,0.03402337059378624
codecontests_cpp_15,clean,1,18, query,0.05251292511820793
codecontests_cpp_15,clean,2,135, the,0.05074213445186615
codecontests_cpp_15,clean,3,243,\n\n,0.04715639352798462
codecontests_cpp_15,clean,4,238,assistant,0.045705150812864304
codecontests_cpp_15,clean,5,149, below,0.03744282200932503
codecontests_cpp_15,base,1,135, the,0.09749818593263626
codecontests_cpp_15,base,2,18, query,0.05176825448870659
codecontests_cpp_15,base,3,243,\n\n,0.04701292887330055
codecontests_cpp_15,base,4,238,assistant,0.044881489127874374
codecontests_cpp_15,base,5,149, below,0.030606765300035477
codecontests_java_15,clean,1,238,\n\n,0.05660189315676689
codecontests_java_15,clean,2,18, query,0.05298564210534096
codecontests_java_15,clean,3,233,assistant,0.04858219623565674
codecontests_java_15,clean,4,149, below,0.03382474556565285
codecontests_java_15,clean,5,38,"{""",0.02838762104511261
codecontests_java_15,base,1,135, the,0.1335574984550476
codecontests_java_15,base,2,238,\n\n,0.048215970396995544
codecontests_java_15,base,3,18, query,0.04569018632173538
codecontests_java_15,base,4,233,assistant,0.04240383952856064
codecontests_java_15,base,5,149, below,0.028639603406190872
apps_python_16,clean,1,18, query,0.08005468547344208
apps_python_16,clean,2,209,\n\n,0.05126383528113365
apps_python_16,clean,3,204,assistant,0.04624198377132416
apps_python_16,clean,4,38,"{""",0.03738921508193016
apps_python_16,clean,5,24, function,0.03362575173377991
apps_python_16,base,1,18, query,0.08108406513929367
apps_python_16,base,2,209,\n\n,0.05258779600262642
apps_python_16,base,3,204,assistant,0.04465269297361374
apps_python_16,base,4,38,"{""",0.03988232463598251
apps_python_16,base,5,24, function,0.034636422991752625
codecontests_cpp_16,clean,1,18, query,0.06023520231246948
codecontests_cpp_16,clean,2,236,\n\n,0.05381086841225624
codecontests_cpp_16,clean,3,231,assistant,0.046158965677022934
codecontests_cpp_16,clean,4,38,"{""",0.03237947076559067
codecontests_cpp_16,clean,5,137, add,0.0290490984916687
codecontests_cpp_16,base,1,18, query,0.05885300412774086
codecontests_cpp_16,base,2,236,\n\n,0.05420350655913353
codecontests_cpp_16,base,3,231,assistant,0.04585835710167885
codecontests_cpp_16,base,4,38,"{""",0.03270919620990753
codecontests_cpp_16,base,5,152, below,0.026758242398500443
codecontests_java_16,clean,1,18, query,0.0714733824133873
codecontests_java_16,clean,2,228,\n\n,0.056199006736278534
codecontests_java_16,clean,3,149, below,0.04635491967201233
codecontests_java_16,clean,4,223,assistant,0.04310847073793411
codecontests_java_16,clean,5,135, the,0.028448481112718582
codecontests_java_16,base,1,135, the,0.1565736085176468
codecontests_java_16,base,2,18, query,0.058869630098342896
codecontests_java_16,base,3,228,\n\n,0.04580099508166313
codecontests_java_16,base,4,149, below,0.04173319786787033
codecontests_java_16,base,5,223,assistant,0.03746683895587921
apps_python_17,clean,1,18, query,0.08334169536828995
apps_python_17,clean,2,217,\n\n,0.05213766172528267
apps_python_17,clean,3,212,assistant,0.04360851272940636
apps_python_17,clean,4,137, the,0.03442978113889694
apps_python_17,clean,5,38,"{""",0.02960699424147606
apps_python_17,base,1,18, query,0.08034408837556839
apps_python_17,base,2,217,\n\n,0.050764258950948715
apps_python_17,base,3,137, the,0.04483644291758537
apps_python_17,base,4,212,assistant,0.04112790897488594
apps_python_17,base,5,136, implement,0.03850599378347397
codecontests_cpp_17,clean,1,18, query,0.05545339360833168
codecontests_cpp_17,clean,2,242,\n\n,0.05349307879805565
codecontests_cpp_17,clean,3,237,assistant,0.04927477240562439
codecontests_cpp_17,clean,4,149, below,0.034955646842718124
codecontests_cpp_17,clean,5,135, the,0.03419192507863045
codecontests_cpp_17,base,1,135, the,0.14700523018836975
codecontests_cpp_17,base,2,18, query,0.048903822898864746
codecontests_cpp_17,base,3,242,\n\n,0.045605070888996124
codecontests_cpp_17,base,4,237,assistant,0.043835386633872986
codecontests_cpp_17,base,5,149, below,0.030767645686864853
