source,target,support_weighted,support_unweighted
MLP16,L24H6,1.0,1.0
MLP16,L23H6,1.0,1.0
MLP16,L21H1,1.0,1.0
L24H6,Residual Output: no_tool,1.0,1.0
MLP16,MLP17,1.0,1.0
L21H1,MLP27,1.0,1.0
L24H6,MLP27,1.0,1.0
MLP27,Residual Output: no_tool,1.0,1.0
MLP17,L23H6,1.0,1.0
L23H6,Residual Output: no_tool,1.0,1.0
MLP16,MLP18,0.5250620347394541,0.5
MLP4,L11H5,0.5250620347394541,0.5
MLP4,MLP10,0.5250620347394541,0.5
MLP17,L21H1,0.5250620347394541,0.5
MLP16,MLP27,0.5250620347394541,0.5
MLP10,L15H5,0.5250620347394541,0.5
MLP4,L9H3,0.5250620347394541,0.5
MLP17,L18H14,0.5250620347394541,0.5
MLP4,L15H5,0.5250620347394541,0.5
L17H8,MLP18,0.5250620347394541,0.5
L16H8,MLP17,0.5250620347394541,0.5
L16H8,L17H8,0.5250620347394541,0.5
L18H14,L20H14,0.5250620347394541,0.5
L20H14,MLP27,0.5250620347394541,0.5
MLP18,L20H14,0.5250620347394541,0.5
L9H3,MLP10,0.5250620347394541,0.5
MLP17,L20H14,0.5250620347394541,0.5
L15H5,L16H8,0.5250620347394541,0.5
MLP16,L18H14,0.5250620347394541,0.5
MLP16,L17H8,0.5250620347394541,0.5
Input Embed,MLP4,0.5250620347394541,0.5
MLP17,MLP18,0.5250620347394541,0.5
L11H5,MLP16,0.5250620347394541,0.5
Input Embed,L9H3,0.5250620347394541,0.5
MLP17,L24H6,0.5250620347394541,0.5
MLP10,L16H8,0.5250620347394541,0.5
MLP16,L20H14,0.5250620347394541,0.5
L15H5,MLP16,0.5250620347394541,0.5
MLP10,L11H5,0.5250620347394541,0.5
MLP13,L17H12,0.47493796526054594,0.5
Input Embed,MLP0,0.47493796526054594,0.5
MLP17,MLP19,0.47493796526054594,0.5
MLP0,L13H9,0.47493796526054594,0.5
L11H1,L13H9,0.47493796526054594,0.5
L13H9,L16H4,0.47493796526054594,0.5
MLP13,MLP16,0.47493796526054594,0.5
MLP16,L21H12,0.47493796526054594,0.5
MLP19,L21H1,0.47493796526054594,0.5
L16H4,MLP17,0.47493796526054594,0.5
MLP13,L16H4,0.47493796526054594,0.5
MLP16,MLP19,0.47493796526054594,0.5
MLP19,L20H5,0.47493796526054594,0.5
L23H6,L24H6,0.47493796526054594,0.5
L20H5,MLP27,0.47493796526054594,0.5
L17H12,MLP27,0.47493796526054594,0.5
L21H12,MLP27,0.47493796526054594,0.5
L23H6,MLP27,0.47493796526054594,0.5
L13H9,L16H8,0.47493796526054594,0.5
MLP16,L20H5,0.47493796526054594,0.5
MLP0,MLP13,0.47493796526054594,0.5
MLP19,L21H12,0.47493796526054594,0.5
MLP13,L16H8,0.47493796526054594,0.5
Input Embed,L11H1,0.47493796526054594,0.5
L16H8,MLP27,0.47493796526054594,0.5
MLP0,L11H1,0.47493796526054594,0.5
MLP16,L17H12,0.47493796526054594,0.5
L13H9,MLP16,0.47493796526054594,0.5
L11H1,MLP13,0.47493796526054594,0.5
